@relation aux
@attribute Firm {'Aiden','Ando_Iron_Works','Asahi_Seiko','Chuo_Seikakusho','Chuyu','Dai-Nippon_Sugar_Mfg','Doko_Spinning','Fuji_Seito','Fujiya_Electric','Gisen','Hamaguchi_Senco','Hikari_Bussiness_For','Hitachi_Ferrite','Ishii_Precision_Tool','Japan_Drop_Forge','Kohjin','Kojima_Iron_Works','Maeda_Metal_Ind.','Mamiya_Camera','Marine_Techno','Meiji_Sugar_Mfg.','Metalart','Mie_Horo','Mino_Ceramic','Miroku_Firearms_Mfg.','Monde_Distilleries','Morio_Denki','Nagahama_Gohan','Nagoya_Lumber','Nagoya_Seito','Nankai_Worsted_Spin','Nihon_Aeroplane_Mfg.','Nihon_Sugar_Refining','Nippon_Orimono_Kato','Nippon_Tile_Industri','Osaka_Meter','Osaka_Yogyo','SR_Suntour','Saga_Paper_Board','Sakonic','Sakurai_Iron_Works','Sankyo_Special_Steel','Sansei_Mfg.','Shoun_Machine_Tool','Takeni_Senka','Toa_Electronics','Tokuyama','Toyo_Sugar','Tsunoda','Uemori_Agricultural','Yamato_Woolen_Textil','Yoshida_Machine_Tool'}
@attribute EBIT.TA numeric
@attribute NI.TC numeric
@attribute Sales.TA numeric
@attribute EBIT.Sales numeric
@attribute NI.Sales numeric
@attribute WC.TA numeric
@attribute Equity.TL numeric
@attribute Equity.TA numeric
@attribute class {'minority','majority'}
@data
'Fuji_Seito',-0.337,0.779,2.948,-0.114,-0.135,-1.042,-0.4,-0.667,'majority'
'Nihon_Sugar_Refining',-0.01,-0.008,1.853,-0.005,-0.003,0.29,1.881,0.653,'majority'
'Toyo_Sugar',-0.002,-0.302,2.176,-0.001,-0.01,-0.543,0.007,0.006,'majority'
'Chuyu',0.047,0.007,1.176,0.04,0.001,-0.05,0.125,0.111,'majority'
'Doko_Spinning',0.083,0.061,0.803,0.104,0.034,0.017,0.375,0.273,'majority'
'Nippon_Orimono_Kato',-0.079,-0.192,1.263,-0.062,-0.072,-0.007,0.07,0.065,'majority'
'Tokuyama',0.118,0.069,0.709,0.167,0.057,0.064,0.367,0.269,'majority'
'Mie_Horo',0.004,-0.041,1.273,0.003,-0.012,0.106,0.316,0.24,'majority'
'Mino_Ceramic',0.046,0.049,1.121,0.041,0.023,0.21,0.597,0.374,'majority'
'Japan_Drop_Forge',0.062,0.045,1.371,0.046,0.013,0.049,0.162,0.139,'majority'
'Metalart',0.038,0.002,0.832,0.045,0.001,0.034,0.11,0.099,'majority'
'Kojima_Iron_Works',0.091,0.078,1.106,0.082,0.034,0.212,0.819,0.45,'majority'
'Shoun_Machine_Tool',0.044,0.076,1.021,0.043,0.023,0.133,0.273,0.215,'majority'
'Maeda_Metal_Ind.',0.106,0.05,1.105,0.096,0.023,0.309,0.599,0.374,'majority'
'Ishii_Precision_Tool',0.191,0.159,0.948,0.202,0.099,0.099,0.631,0.387,'majority'
'Toa_Electronics',0.038,-0.027,0.896,0.042,-0.013,0.197,0.355,0.262,'majority'
'Chuo_Seikakusho',0.096,0.089,1.505,0.064,0.027,0.35,0.708,0.414,'majority'
'Morio_Denki',0.108,0.075,1.143,0.094,0.041,0.401,1.387,0.581,'majority'
'Miroku_Firearms_Mfg.',0.079,0.028,0.706,0.112,0.019,0.168,0.212,0.175,'majority'
'Tsunoda',0.065,0.07,0.903,0.072,0.02,-0.026,0.216,0.178,'majority'
'Sakonic',0.096,0.095,2.216,0.043,0.014,0.135,0.379,0.275,'majority'
'Marine_Techno',0.083,0.071,0.861,0.097,0.047,0.239,0.738,0.425,'majority'
