@relation aux
@attribute Length.of.service numeric
@attribute CAP numeric
@attribute PA.normalized numeric
@attribute Minority {'0','1'}
@attribute class {'majority','minority'}
@data
3.17,7,3.33,'1','minority'
4.47,8,3.33,'1','minority'
0.69,11,4.44,'1','minority'
1.52,16,1.11,'1','minority'
7.43,6,13.32,'1','minority'
10.95,7,14.44,'1','minority'
9.53,7,16.68,'1','minority'
6.41,16,9.99,'1','minority'
7.41,15,13.32,'0','minority'
7,13,15.56,'1','minority'
1.82,27,3.33,'1','minority'
7.78,11,17.79,'0','minority'
8.76,12,16.68,'1','minority'
7,16,13.32,'1','minority'
7.39,13,16.68,'0','minority'
15.52,15,12.23,'1','minority'
6.84,16,14.44,'1','minority'
6.84,13,17.79,'0','minority'
21.91,8,17.79,'1','minority'
8.64,14,16.68,'1','majority'
1.52,32,1.11,'0','majority'
7.33,18,13.32,'1','majority'
3.32,30,3.33,'1','majority'
10.28,19,12.23,'0','majority'
5.1,21,12.21,'1','majority'
1.82,31,3.33,'1','majority'
3.17,25,9.99,'1','majority'
23.18,10,18.9,'1','majority'
7.82,19,16.68,'0','majority'
8.23,20,15.56,'1','majority'
8.81,19,16.68,'1','majority'
8.05,18,18.9,'1','majority'
21.53,13,20.01,'0','majority'
23.01,13,20.01,'1','majority'
6.67,8,20.01,'0','majority'
7.43,20,18.9,'1','majority'
7.1,21,18.9,'0','majority'
7.06,24,16.68,'1','majority'
3.4,32,9.99,'1','majority'
29.32,16,17.79,'0','majority'
1.06,40,3.33,'0','majority'
4.87,30,12.21,'0','majority'
7.33,27,14.45,'0','majority'
3.17,33,9.99,'1','majority'
6.82,24,17.79,'0','majority'
4.53,30,13.33,'1','majority'
6.49,24,18.9,'1','majority'
17.37,16,23.34,'0','majority'
9.73,22,20.01,'1','majority'
7.19,24,18.9,'1','majority'
3.75,32,12.21,'1','majority'
13.5,21,20.01,'0','majority'
7.52,27,16.68,'1','majority'
20.83,13,26.67,'1','majority'
8.5,25,18.9,'0','majority'
22.71,16,23.34,'0','majority'
7.21,29,15.56,'1','majority'
3.11,36,9.99,'1','majority'
10.41,28,15.56,'1','majority'
42.89,13,20.01,'0','majority'
6.96,25,20.01,'1','majority'
11.28,25,18.9,'0','majority'
8.19,25,20.01,'0','majority'
4.75,33,13.33,'0','majority'
1.82,43,4.44,'0','majority'
1.84,43,4.44,'0','majority'
6.84,27,18.9,'1','majority'
7.69,27,18.9,'1','majority'
23.06,23,17.79,'0','majority'
12.74,21,20.01,'0','majority'
1.82,45,3.33,'0','majority'
8.5,28,18.9,'1','majority'
3.94,32,16.67,'0','majority'
1.78,45,4.44,'0','majority'
7.04,33,15.56,'1','majority'
13.76,23,23.34,'1','majority'
