@relation aux
@attribute group {'1','2','3','4','5','6','7','8','9','10','11','12','13','14','15','16','17','18','19','20','21','22','23','24','25','26','27','28','29','30','31','32','33','34','35','36','37','38','39','40','41','42','43'}
@attribute conc numeric
@attribute age numeric
@attribute at.risk numeric
@attribute class {'majority','minority'}
@data
'1',0,22.5,2595529,'minority'
'1',0,27.5,1846189,'minority'
'1',0,32.5,1402764,'minority'
'1',0,37.5,1215899,'minority'
'1',0,42.5,1191615,'minority'
'1',0,47.5,1111810,'minority'
'1',0,52.5,957985,'minority'
'1',0,57.5,774836,'minority'
'1',0,62.5,634758,'minority'
'1',0,67.5,492203,'minority'
'1',0,72.5,342767,'minority'
'1',0,77.5,199630,'minority'
'1',0,82.5,96293,'minority'
'2',10,22.5,934,'majority'
'2',10,27.5,489,'majority'
'2',10,32.5,276,'majority'
'2',10,37.5,317,'majority'
'2',10,42.5,374,'majority'
'2',10,47.5,435,'majority'
'2',10,52.5,342,'majority'
'2',10,57.5,277,'majority'
'2',10,62.5,203,'majority'
'2',10,67.5,175,'minority'
'2',10,72.5,105,'majority'
'2',10,77.5,78,'majority'
'2',10,82.5,38,'majority'
'3',11,22.5,666,'majority'
'3',11,27.5,267,'majority'
'3',11,32.5,310,'majority'
'3',11,37.5,221,'majority'
'3',11,42.5,311,'majority'
'3',11,47.5,292,'majority'
'3',11,52.5,295,'majority'
'3',11,57.5,265,'majority'
'3',11,62.5,203,'majority'
'3',11,67.5,143,'majority'
'3',11,72.5,93,'majority'
'3',11,77.5,69,'majority'
'3',11,82.5,59,'majority'
'4',30,22.5,1003,'majority'
'4',30,27.5,591,'majority'
'4',30,32.5,481,'majority'
'4',30,37.5,405,'majority'
'4',30,42.5,462,'majority'
'4',30,47.5,397,'majority'
'4',30,52.5,392,'majority'
'4',30,57.5,353,'majority'
'4',30,62.5,317,'majority'
'4',30,67.5,199,'majority'
'4',30,72.5,115,'majority'
'4',30,77.5,71,'majority'
'4',30,82.5,75,'majority'
'5',32,22.5,1545,'majority'
'5',32,27.5,865,'majority'
'5',32,32.5,673,'majority'
'5',32,37.5,709,'majority'
'5',32,42.5,744,'majority'
'5',32,47.5,644,'majority'
'5',32,52.5,563,'majority'
'5',32,57.5,439,'majority'
'5',32,62.5,318,'majority'
'5',32,67.5,238,'majority'
'5',32,72.5,167,'majority'
'5',32,77.5,92,'majority'
'5',32,82.5,36,'majority'
'6',32,22.5,469,'majority'
'6',32,27.5,260,'majority'
'6',32,32.5,198,'majority'
'6',32,37.5,199,'majority'
'6',32,42.5,183,'majority'
'6',32,47.5,227,'majority'
'6',32,52.5,162,'majority'
'6',32,57.5,219,'majority'
'6',32,62.5,194,'majority'
'6',32,67.5,126,'majority'
'6',32,72.5,77,'majority'
'6',32,77.5,35,'majority'
'6',32,82.5,43,'majority'
'7',42,22.5,2063,'majority'
'7',42,27.5,1267,'majority'
'7',42,32.5,1101,'majority'
'7',42,37.5,1038,'majority'
'7',42,42.5,984,'majority'
'7',42,47.5,932,'majority'
'7',42,52.5,738,'majority'
'7',42,57.5,567,'majority'
'7',42,62.5,497,'majority'
'7',42,67.5,427,'majority'
'7',42,72.5,321,'majority'
'7',42,77.5,178,'majority'
'7',42,82.5,114,'majority'
'8',45,22.5,1432,'majority'
'8',45,27.5,830,'majority'
'8',45,32.5,553,'majority'
'8',45,37.5,520,'majority'
'8',45,42.5,650,'majority'
'8',45,47.5,710,'majority'
'8',45,52.5,662,'majority'
'8',45,57.5,456,'majority'
'8',45,62.5,320,'majority'
'8',45,67.5,232,'majority'
'8',45,72.5,213,'majority'
'8',45,77.5,129,'majority'
'8',45,82.5,113,'majority'
'9',50,22.5,1100,'majority'
'9',50,27.5,603,'majority'
'9',50,32.5,436,'majority'
'9',50,37.5,525,'majority'
'9',50,42.5,624,'majority'
'9',50,47.5,636,'majority'
'9',50,52.5,466,'majority'
'9',50,57.5,366,'majority'
'9',50,62.5,370,'majority'
'9',50,67.5,309,'majority'
'9',50,72.5,214,'majority'
'9',50,77.5,111,'majority'
'9',50,82.5,128,'majority'
'10',56,22.5,1105,'majority'
'10',56,27.5,480,'majority'
'10',56,32.5,414,'majority'
'10',56,37.5,466,'majority'
'10',56,42.5,582,'majority'
'10',56,47.5,563,'majority'
'10',56,52.5,447,'majority'
'10',56,57.5,365,'majority'
'10',56,62.5,283,'majority'
'10',56,67.5,168,'majority'
'10',56,72.5,125,'majority'
'10',56,77.5,57,'majority'
'10',56,82.5,39,'majority'
'11',60,22.5,1893,'majority'
'11',60,27.5,1032,'majority'
'11',60,32.5,668,'majority'
'11',60,37.5,787,'majority'
'11',60,42.5,950,'majority'
'11',60,47.5,878,'majority'
'11',60,52.5,807,'majority'
'11',60,57.5,629,'majority'
'11',60,62.5,559,'majority'
'11',60,67.5,455,'majority'
'11',60,72.5,298,'majority'
'11',60,77.5,150,'majority'
'11',60,82.5,121,'majority'
'12',65,22.5,1199,'majority'
'12',65,27.5,587,'majority'
'12',65,32.5,451,'majority'
'12',65,37.5,491,'majority'
'12',65,42.5,521,'majority'
'12',65,47.5,553,'majority'
'12',65,52.5,537,'majority'
'12',65,57.5,487,'majority'
'12',65,62.5,404,'majority'
'12',65,67.5,299,'majority'
'12',65,72.5,197,'majority'
'12',65,77.5,103,'majority'
'12',65,82.5,98,'majority'
'13',73,22.5,2394,'majority'
'13',73,27.5,1360,'majority'
'13',73,32.5,1183,'majority'
'13',73,37.5,1209,'majority'
'13',73,42.5,1261,'majority'
'13',73,47.5,1046,'majority'
'13',73,52.5,853,'majority'
'13',73,57.5,725,'majority'
'13',73,62.5,671,'majority'
'13',73,67.5,546,'majority'
'13',73,72.5,355,'majority'
'13',73,77.5,192,'majority'
'13',73,82.5,142,'majority'
'14',80,22.5,2149,'majority'
'14',80,27.5,1318,'majority'
'14',80,32.5,1018,'majority'
'14',80,37.5,857,'majority'
'14',80,42.5,988,'majority'
'14',80,47.5,1018,'majority'
'14',80,52.5,879,'majority'
'14',80,57.5,709,'majority'
'14',80,62.5,483,'majority'
'14',80,67.5,417,'majority'
'14',80,72.5,220,'majority'
'14',80,77.5,137,'majority'
'14',80,82.5,139,'majority'
'15',100,22.5,1439,'majority'
'15',100,27.5,744,'majority'
'15',100,32.5,415,'majority'
'15',100,37.5,510,'majority'
'15',100,42.5,564,'majority'
'15',100,47.5,573,'majority'
'15',100,52.5,467,'majority'
'15',100,57.5,402,'majority'
'15',100,62.5,385,'majority'
'15',100,67.5,335,'majority'
'15',100,72.5,254,'majority'
'15',100,77.5,168,'majority'
'15',100,82.5,136,'majority'
'16',110,22.5,1110,'majority'
'16',110,27.5,586,'majority'
'16',110,32.5,477,'majority'
'16',110,37.5,502,'majority'
'16',110,42.5,575,'majority'
'16',110,47.5,521,'majority'
'16',110,52.5,447,'majority'
'16',110,57.5,392,'majority'
'16',110,62.5,302,'majority'
'16',110,67.5,195,'majority'
'16',110,72.5,101,'majority'
'16',110,77.5,65,'majority'
'16',110,82.5,37,'majority'
'17',110,22.5,718,'majority'
'17',110,27.5,449,'majority'
'17',110,32.5,290,'majority'
'17',110,37.5,329,'majority'
'17',110,42.5,397,'majority'
'17',110,47.5,401,'majority'
'17',110,52.5,333,'majority'
'17',110,57.5,251,'majority'
'17',110,62.5,203,'majority'
'17',110,67.5,175,'majority'
'17',110,72.5,156,'majority'
'17',110,77.5,62,'majority'
'17',110,82.5,69,'majority'
'18',123,22.5,674,'majority'
'18',123,27.5,436,'majority'
'18',123,32.5,360,'majority'
'18',123,37.5,440,'majority'
'18',123,42.5,385,'majority'
'18',123,47.5,396,'majority'
'18',123,52.5,363,'majority'
'18',123,57.5,313,'majority'
'18',123,62.5,280,'majority'
'18',123,67.5,272,'majority'
'18',123,72.5,210,'majority'
'18',123,77.5,113,'majority'
'18',123,82.5,49,'majority'
'19',126,22.5,1196,'majority'
'19',126,27.5,501,'majority'
'19',126,32.5,443,'majority'
'19',126,37.5,510,'majority'
'19',126,42.5,609,'majority'
'19',126,47.5,610,'majority'
'19',126,52.5,544,'majority'
'19',126,57.5,453,'majority'
'19',126,62.5,408,'majority'
'19',126,67.5,295,'majority'
'19',126,72.5,226,'majority'
'19',126,77.5,142,'majority'
'19',126,82.5,89,'majority'
'20',256,22.5,1949,'majority'
'20',256,27.5,981,'majority'
'20',256,32.5,755,'majority'
'20',256,37.5,787,'majority'
'20',256,42.5,912,'majority'
'20',256,47.5,872,'majority'
'20',256,52.5,759,'majority'
'20',256,57.5,540,'majority'
'20',256,62.5,464,'majority'
'20',256,67.5,352,'majority'
'20',256,72.5,262,'majority'
'20',256,77.5,111,'majority'
'20',256,82.5,125,'majority'
'21',256,22.5,686,'majority'
'21',256,27.5,240,'majority'
'21',256,32.5,277,'majority'
'21',256,37.5,254,'majority'
'21',256,42.5,234,'majority'
'21',256,47.5,376,'majority'
'21',256,52.5,362,'majority'
'21',256,57.5,241,'majority'
'21',256,62.5,285,'majority'
'21',256,67.5,188,'majority'
'21',256,72.5,165,'majority'
'21',256,77.5,61,'majority'
'21',256,82.5,43,'majority'
'22',259,22.5,1100,'majority'
'22',259,27.5,572,'majority'
'22',259,32.5,401,'majority'
'22',259,37.5,365,'majority'
'22',259,42.5,521,'majority'
'22',259,47.5,453,'majority'
'22',259,52.5,480,'majority'
'22',259,57.5,389,'majority'
'22',259,62.5,289,'majority'
'22',259,67.5,193,'majority'
'22',259,72.5,131,'majority'
'22',259,77.5,101,'majority'
'22',259,82.5,84,'majority'
'23',307,22.5,547,'majority'
'23',307,27.5,320,'majority'
'23',307,32.5,164,'majority'
'23',307,37.5,196,'majority'
'23',307,42.5,266,'majority'
'23',307,47.5,299,'majority'
'23',307,52.5,271,'majority'
'23',307,57.5,196,'majority'
'23',307,62.5,153,'majority'
'23',307,67.5,122,'majority'
'23',307,72.5,94,'majority'
'23',307,77.5,56,'majority'
'23',307,82.5,74,'majority'
'24',307,22.5,793,'majority'
'24',307,27.5,466,'majority'
'24',307,32.5,356,'majority'
'24',307,37.5,490,'majority'
'24',307,42.5,556,'majority'
'24',307,47.5,520,'majority'
'24',307,52.5,388,'majority'
'24',307,57.5,268,'majority'
'24',307,62.5,237,'majority'
'24',307,67.5,188,'majority'
'24',307,72.5,127,'majority'
'24',307,77.5,60,'majority'
'24',307,82.5,56,'majority'
'25',350,22.5,659,'majority'
'25',350,27.5,346,'majority'
'25',350,32.5,273,'majority'
'25',350,37.5,283,'majority'
