@relation aux
@attribute group {'1','2','3','4','5','6','7','8','9','10','11','12','13','14','15','16','17','18','19','20','21','22','23','24','25','26','27','28','29','30','31','32','33','34','35','36','37','38','39','40','41','42','43'}
@attribute conc numeric
@attribute age numeric
@attribute at.risk numeric
@attribute class {'majority','minority'}
@data
'1',0,22.5,2956638,'minority'
'1',0,27.5,2175046,'minority'
'1',0,32.5,1580019,'minority'
'1',0,37.5,1320637,'minority'
'1',0,42.5,1327866,'minority'
'1',0,47.5,1334769,'minority'
'1',0,52.5,1214443,'minority'
'1',0,57.5,977820,'minority'
'1',0,62.5,739460,'minority'
'1',0,67.5,520965,'minority'
'1',0,72.5,320158,'minority'
'1',0,77.5,158750,'minority'
'1',0,82.5,63236,'minority'
'2',10,22.5,1128,'majority'
'2',10,27.5,634,'majority'
'2',10,32.5,389,'majority'
'2',10,37.5,313,'majority'
'2',10,42.5,364,'majority'
'2',10,47.5,410,'majority'
'2',10,52.5,325,'majority'
'2',10,57.5,227,'majority'
'2',10,62.5,141,'majority'
'2',10,67.5,104,'majority'
'2',10,72.5,63,'majority'
'2',10,77.5,39,'majority'
'2',10,82.5,22,'majority'
'3',11,22.5,904,'majority'
'3',11,27.5,545,'majority'
'3',11,32.5,270,'majority'
'3',11,37.5,283,'majority'
'3',11,42.5,241,'majority'
'3',11,47.5,298,'majority'
'3',11,52.5,280,'majority'
'3',11,57.5,218,'majority'
'3',11,62.5,168,'majority'
'3',11,67.5,138,'majority'
'3',11,72.5,124,'majority'
'3',11,77.5,33,'majority'
'3',11,82.5,27,'majority'
'4',30,22.5,1187,'majority'
'4',30,27.5,782,'majority'
'4',30,32.5,549,'majority'
'4',30,37.5,472,'majority'
'4',30,42.5,469,'majority'
'4',30,47.5,421,'majority'
'4',30,52.5,379,'majority'
'4',30,57.5,323,'majority'
'4',30,62.5,312,'majority'
'4',30,67.5,232,'majority'
'4',30,72.5,157,'majority'
'4',30,77.5,60,'majority'
'4',30,82.5,45,'majority'
'5',32,22.5,1792,'majority'
'5',32,27.5,1217,'majority'
'5',32,32.5,854,'majority'
'5',32,37.5,745,'majority'
'5',32,42.5,733,'majority'
'5',32,47.5,671,'majority'
'5',32,52.5,570,'majority'
'5',32,57.5,463,'majority'
'5',32,62.5,317,'majority'
'5',32,67.5,220,'majority'
'5',32,72.5,159,'majority'
'5',32,77.5,59,'majority'
'5',32,82.5,51,'majority'
'6',32,22.5,584,'majority'
'6',32,27.5,393,'majority'
'6',32,32.5,237,'majority'
'6',32,37.5,222,'majority'
'6',32,42.5,232,'majority'
'6',32,47.5,216,'majority'
'6',32,52.5,194,'majority'
'6',32,57.5,162,'majority'
'6',32,62.5,173,'majority'
'6',32,67.5,122,'majority'
'6',32,72.5,88,'majority'
'6',32,77.5,38,'majority'
'6',32,82.5,28,'majority'
'7',42,22.5,2188,'majority'
'7',42,27.5,1509,'majority'
'7',42,32.5,1065,'majority'
'7',42,37.5,1036,'majority'
'7',42,42.5,1051,'majority'
'7',42,47.5,951,'majority'
'7',42,52.5,820,'majority'
'7',42,57.5,637,'majority'
'7',42,62.5,511,'majority'
'7',42,67.5,408,'majority'
'7',42,72.5,247,'majority'
'7',42,77.5,122,'majority'
'7',42,82.5,84,'majority'
'8',45,22.5,1981,'majority'
'8',45,27.5,1203,'majority'
'8',45,32.5,719,'majority'
'8',45,37.5,574,'majority'
'8',45,42.5,644,'majority'
'8',45,47.5,709,'majority'
'8',45,52.5,637,'majority'
'8',45,57.5,458,'majority'
'8',45,62.5,282,'majority'
'8',45,67.5,157,'majority'
'8',45,72.5,155,'majority'
'8',45,77.5,122,'majority'
'8',45,82.5,75,'majority'
'9',50,22.5,1468,'majority'
'9',50,27.5,807,'majority'
'9',50,32.5,553,'majority'
'9',50,37.5,508,'majority'
'9',50,42.5,619,'majority'
'9',50,47.5,621,'majority'
'9',50,52.5,485,'majority'
'9',50,57.5,359,'majority'
'9',50,62.5,325,'majority'
'9',50,67.5,247,'majority'
'9',50,72.5,235,'majority'
'9',50,77.5,155,'majority'
'9',50,82.5,119,'majority'
'10',56,22.5,1543,'majority'
'10',56,27.5,777,'majority'
'10',56,32.5,464,'majority'
'10',56,37.5,499,'majority'
'10',56,42.5,617,'majority'
'10',56,47.5,898,'majority'
'10',56,52.5,460,'majority'
'10',56,57.5,373,'majority'
'10',56,62.5,244,'majority'
'10',56,67.5,174,'majority'
'10',56,72.5,97,'majority'
'10',56,77.5,41,'majority'
'10',56,82.5,51,'majority'
'11',60,22.5,2527,'majority'
'11',60,27.5,1443,'majority'
'11',60,32.5,816,'majority'
'11',60,37.5,747,'majority'
'11',60,42.5,902,'majority'
'11',60,47.5,944,'majority'
'11',60,52.5,810,'majority'
'11',60,57.5,607,'majority'
'11',60,62.5,475,'majority'
'11',60,67.5,381,'majority'
'11',60,72.5,249,'majority'
'11',60,77.5,146,'majority'
'11',60,82.5,60,'majority'
'12',65,22.5,1563,'majority'
'12',65,27.5,944,'majority'
'12',65,32.5,592,'majority'
'12',65,37.5,498,'majority'
'12',65,42.5,583,'majority'
'12',65,47.5,512,'majority'
'12',65,52.5,426,'majority'
'12',65,57.5,382,'majority'
'12',65,62.5,377,'majority'
'12',65,67.5,314,'majority'
'12',65,72.5,183,'majority'
'12',65,77.5,120,'majority'
'12',65,82.5,80,'majority'
'13',73,22.5,2796,'majority'
'13',73,27.5,1759,'majority'
'13',73,32.5,1302,'majority'
'13',73,37.5,1289,'majority'
'13',73,42.5,1401,'majority'
'13',73,47.5,1066,'majority'
'13',73,52.5,864,'majority'
'13',73,57.5,653,'majority'
'13',73,62.5,550,'majority'
'13',73,67.5,442,'majority'
'13',73,72.5,350,'majority'
'13',73,77.5,214,'majority'
'13',73,82.5,81,'majority'
'14',80,22.5,2477,'majority'
'14',80,27.5,1667,'majority'
'14',80,32.5,939,'majority'
'14',80,37.5,782,'majority'
'14',80,42.5,878,'majority'
'14',80,47.5,1028,'majority'
'14',80,52.5,1147,'majority'
'14',80,57.5,1030,'majority'
'14',80,62.5,589,'majority'
'14',80,67.5,348,'majority'
'14',80,72.5,223,'majority'
'14',80,77.5,113,'majority'
'14',80,82.5,86,'majority'
'15',100,22.5,1613,'majority'
'15',100,27.5,1042,'majority'
'15',100,32.5,638,'majority'
'15',100,37.5,510,'majority'
'15',100,42.5,624,'majority'
'15',100,47.5,628,'majority'
'15',100,52.5,513,'majority'
'15',100,57.5,405,'majority'
'15',100,62.5,326,'majority'
'15',100,67.5,252,'majority'
'15',100,72.5,169,'majority'
'15',100,77.5,107,'majority'
'15',100,82.5,68,'majority'
'16',110,22.5,1508,'majority'
'16',110,27.5,809,'majority'
