@relation aux
@attribute ID numeric
@attribute length numeric
@attribute even_odd {'0','1'}
@attribute first_char_vowel {'0','1'}
@attribute second_char_vowel {'0','1'}
@attribute vowels numeric
@attribute consonants numeric
@attribute vowel_consonant_ratio numeric
@attribute spaces numeric
@attribute dots numeric
@attribute words numeric
@attribute class {'minority','majority'}
@data
1,15,'0','1','1',7,7,1,1,0,2,'majority'
2,20,'1','1','0',6,11,0.55,2,1,3,'minority'
3,12,'1','1','0',4,7,0.57,1,0,2,'minority'
4,11,'0','1','0',6,4,1.5,1,0,2,'minority'
5,15,'0','1','0',5,7,0.71,2,1,3,'minority'
6,12,'1','1','0',2,7,0.29,2,1,3,'minority'
7,13,'0','1','0',5,7,0.71,1,0,2,'minority'
8,13,'0','1','0',4,8,0.5,1,0,2,'minority'
9,18,'1','1','0',8,9,0.89,1,0,2,'minority'
10,16,'1','1','0',8,7,1.14,1,0,2,'minority'
11,16,'1','1','0',6,9,0.67,1,0,2,'minority'
12,11,'0','1','0',4,6,0.67,1,0,2,'minority'
13,16,'1','1','0',8,7,1.14,1,0,2,'minority'
14,12,'1','1','1',6,5,1.2,1,0,2,'majority'
15,10,'1','1','0',3,6,0.5,1,0,2,'minority'
16,20,'1','0','1',8,11,0.73,1,0,2,'majority'
17,20,'1','0','1',7,10,0.7,2,1,3,'majority'
18,19,'0','0','1',5,13,0.38,1,0,2,'majority'
19,16,'1','0','0',5,10,0.5,1,0,2,'minority'
20,10,'1','0','1',2,7,0.29,1,0,2,'majority'
21,9,'0','0','1',3,5,0.6,1,0,2,'majority'
22,9,'0','0','1',3,5,0.6,1,0,2,'majority'
23,20,'1','0','0',5,12,0.42,2,1,3,'minority'
24,17,'0','0','0',5,9,0.56,2,1,3,'minority'
25,12,'1','0','0',4,7,0.57,1,0,2,'minority'
26,18,'1','0','0',6,9,0.67,2,1,3,'minority'
27,13,'0','0','1',2,8,0.25,2,1,3,'majority'
28,16,'1','0','1',5,8,0.62,2,1,3,'majority'
29,15,'0','0','0',3,9,0.33,2,1,3,'minority'
30,12,'1','0','0',2,7,0.29,2,1,3,'minority'
31,14,'1','0','0',5,8,0.62,1,0,2,'minority'
32,12,'1','0','0',3,8,0.38,1,0,2,'minority'
33,14,'1','0','0',3,10,0.3,1,0,2,'minority'
34,12,'1','0','0',3,8,0.38,1,0,2,'minority'
35,13,'0','0','0',6,6,1,1,0,2,'minority'
36,19,'0','0','0',6,11,0.55,2,0,3,'minority'
37,13,'0','0','0',5,7,0.71,1,0,2,'minority'
38,19,'0','0','0',8,10,0.8,1,0,2,'minority'
39,14,'1','0','0',4,9,0.44,1,0,2,'minority'
40,20,'1','0','0',6,13,0.46,1,0,2,'minority'
41,17,'0','0','0',7,9,0.78,1,0,2,'minority'
42,15,'0','0','1',4,10,0.4,1,0,2,'majority'
43,12,'1','0','1',4,7,0.57,1,0,2,'majority'
44,8,'1','0','1',2,5,0.4,1,0,2,'majority'
45,12,'1','0','1',5,6,0.83,1,0,2,'majority'
46,8,'1','0','1',3,4,0.75,1,0,2,'majority'
47,15,'0','0','1',5,9,0.56,1,0,2,'majority'
48,17,'0','0','1',6,10,0.6,1,0,2,'majority'
49,16,'1','0','1',5,8,0.62,2,1,3,'majority'
50,13,'0','0','1',5,7,0.71,1,0,2,'majority'
51,15,'0','0','1',4,8,0.5,2,1,3,'majority'
52,10,'1','0','1',3,6,0.5,1,0,2,'majority'
53,12,'1','0','1',4,7,0.57,1,0,2,'majority'
54,13,'0','0','1',4,8,0.5,1,0,2,'majority'
55,14,'1','0','1',5,8,0.62,1,0,2,'majority'
56,14,'1','0','1',4,9,0.44,1,0,2,'majority'
57,17,'0','0','1',6,10,0.6,1,0,2,'majority'
58,13,'0','0','1',5,7,0.71,1,0,2,'majority'
59,16,'1','0','1',5,10,0.5,1,0,2,'majority'
60,12,'1','0','1',5,6,0.83,1,0,2,'majority'
61,12,'1','0','1',4,5,0.8,2,1,3,'majority'
62,14,'1','0','1',4,7,0.57,2,1,3,'majority'
63,16,'1','0','1',4,9,0.44,2,1,3,'majority'
64,12,'1','0','1',5,6,0.83,1,0,2,'majority'
65,12,'1','0','1',4,7,0.57,1,0,2,'majority'
66,12,'1','0','0',4,7,0.57,1,0,2,'minority'
67,14,'1','0','1',5,8,0.62,1,0,2,'majority'
68,18,'1','1','1',4,9,0.44,3,2,4,'majority'
69,11,'0','1','0',4,6,0.67,1,0,2,'minority'
70,12,'1','1','0',4,7,0.57,1,0,2,'minority'
71,11,'0','1','0',4,6,0.67,1,0,2,'minority'
72,13,'0','1','0',5,7,0.71,1,0,2,'minority'
73,13,'0','1','0',5,7,0.71,1,0,2,'minority'
74,9,'0','1','0',4,4,1,1,0,2,'minority'
75,16,'1','1','0',6,9,0.67,1,0,2,'minority'
76,16,'1','0','1',7,8,0.88,1,0,2,'majority'
77,12,'1','0','1',5,6,0.83,1,0,2,'majority'
78,17,'0','0','1',4,10,0.4,2,1,3,'majority'
79,13,'0','0','0',3,9,0.33,1,0,2,'minority'
80,14,'1','0','1',3,8,0.38,2,1,3,'majority'
81,10,'1','0','1',3,6,0.5,1,0,2,'majority'
82,15,'0','0','1',5,9,0.56,1,0,2,'majority'
83,17,'0','0','1',6,8,0.75,2,1,3,'majority'
84,11,'0','0','1',4,6,0.67,1,0,2,'majority'
