@relation aux
@attribute left.weight numeric
@attribute left.distance numeric
@attribute right.weight numeric
@attribute right.distance numeric
@attribute class {'minority','majority'}
@data
1,1,1,1,'majority'
1,1,1,2,'majority'
1,1,1,3,'majority'
1,1,1,4,'majority'
1,1,1,5,'majority'
1,1,2,1,'majority'
1,1,2,2,'majority'
1,1,2,3,'majority'
1,1,2,4,'majority'
1,1,2,5,'majority'
1,1,3,1,'majority'
1,1,3,2,'majority'
1,1,3,3,'majority'
1,1,3,4,'majority'
1,1,3,5,'majority'
1,1,4,1,'majority'
1,1,4,2,'majority'
1,1,4,3,'majority'
1,1,4,4,'majority'
1,1,4,5,'majority'
1,1,5,1,'majority'
1,1,5,2,'majority'
1,1,5,3,'majority'
1,1,5,4,'majority'
1,1,5,5,'majority'
1,2,1,1,'minority'
1,2,1,2,'majority'
1,2,1,3,'majority'
1,2,1,4,'majority'
1,2,1,5,'majority'
1,2,2,1,'majority'
1,2,2,2,'majority'
1,2,2,3,'majority'
1,2,2,4,'majority'
1,2,2,5,'majority'
1,2,3,1,'majority'
1,2,3,2,'majority'
1,2,3,3,'majority'
1,2,3,4,'majority'
1,2,3,5,'majority'
1,2,4,1,'majority'
1,2,4,2,'majority'
1,2,4,3,'majority'
1,2,4,4,'majority'
1,2,4,5,'majority'
1,2,5,1,'majority'
1,2,5,2,'majority'
1,2,5,3,'majority'
1,2,5,4,'majority'
1,2,5,5,'majority'
1,3,1,1,'minority'
1,3,1,2,'minority'
1,3,1,3,'majority'
1,3,1,4,'majority'
1,3,1,5,'majority'
1,3,2,1,'minority'
1,3,2,2,'majority'
1,3,2,3,'majority'
1,3,2,4,'majority'
1,3,2,5,'majority'
1,3,3,1,'majority'
1,3,3,2,'majority'
1,3,3,3,'majority'
1,3,3,4,'majority'
1,3,3,5,'majority'
1,3,4,1,'majority'
1,3,4,2,'majority'
1,3,4,3,'majority'
1,3,4,4,'majority'
1,3,4,5,'majority'
1,3,5,1,'majority'
1,3,5,2,'majority'
1,3,5,3,'majority'
1,3,5,4,'majority'
1,3,5,5,'majority'
1,4,1,1,'minority'
1,4,1,2,'minority'
1,4,1,3,'minority'
1,4,1,4,'majority'
1,4,1,5,'majority'
1,4,2,1,'minority'
1,4,2,2,'majority'
1,4,2,3,'majority'
1,4,2,4,'majority'
1,4,2,5,'majority'
1,4,3,1,'minority'
1,4,3,2,'majority'
1,4,3,3,'majority'
1,4,3,4,'majority'
1,4,3,5,'majority'
1,4,4,1,'majority'
1,4,4,2,'majority'
1,4,4,3,'majority'
1,4,4,4,'majority'
1,4,4,5,'majority'
1,4,5,1,'majority'
1,4,5,2,'majority'
1,4,5,3,'majority'
1,4,5,4,'majority'
1,4,5,5,'majority'
1,5,1,1,'minority'
1,5,1,2,'minority'
1,5,1,3,'minority'
1,5,1,4,'minority'
1,5,1,5,'majority'
1,5,2,1,'minority'
1,5,2,2,'minority'
1,5,2,3,'majority'
1,5,2,4,'majority'
1,5,2,5,'majority'
1,5,3,1,'minority'
1,5,3,2,'majority'
1,5,3,3,'majority'
1,5,3,4,'majority'
1,5,3,5,'majority'
1,5,4,1,'minority'
1,5,4,2,'majority'
1,5,4,3,'majority'
1,5,4,4,'majority'
1,5,4,5,'majority'
1,5,5,1,'majority'
1,5,5,2,'majority'
1,5,5,3,'majority'
1,5,5,4,'majority'
1,5,5,5,'majority'
2,1,1,1,'minority'
2,1,1,2,'majority'
2,1,1,3,'majority'
2,1,1,4,'majority'
2,1,1,5,'majority'
2,1,2,1,'majority'
2,1,2,2,'majority'
2,1,2,3,'majority'
2,1,2,4,'majority'
2,1,2,5,'majority'
2,1,3,1,'majority'
2,1,3,2,'majority'
2,1,3,3,'majority'
2,1,3,4,'majority'
2,1,3,5,'majority'
2,1,4,1,'majority'
2,1,4,2,'majority'
2,1,4,3,'majority'
