@relation aux
@attribute V1 {'high','low','medium'}
@attribute V2 {'left','middle','right'}
@attribute V3 {'impression','news','political','scientific','tourism'}
@attribute V4 {'no','yes'}
@attribute V5 {'no','yes'}
@attribute class {'minority','majority'}
@data
'high','left','impression','yes','yes','majority'
'high','left','political','yes','yes','majority'
'medium','middle','tourism','yes','yes','majority'
'high','left','political','yes','yes','majority'
'medium','middle','news','yes','yes','majority'
'medium','middle','news','yes','yes','majority'
'high','left','political','yes','yes','majority'
'high','right','political','yes','no','majority'
'high','right','political','yes','no','minority'
'medium','right','tourism','yes','no','majority'
'high','right','tourism','yes','yes','majority'
'medium','left','news','yes','no','majority'
'high','left','political','yes','yes','minority'
'low','right','news','no','yes','minority'
'high','left','political','yes','yes','majority'
'medium','left','impression','yes','yes','majority'
'medium','left','political','yes','yes','majority'
'high','right','political','yes','yes','majority'
'medium','left','impression','yes','yes','majority'
'high','right','tourism','yes','yes','minority'
'high','left','political','yes','yes','majority'
'medium','left','news','yes','yes','majority'
'high','right','political','no','yes','minority'
'low','left','tourism','yes','no','minority'
'high','left','news','yes','yes','majority'
'high','left','political','yes','yes','majority'
'low','right','impression','no','no','majority'
'high','right','political','yes','yes','majority'
'high','left','impression','no','no','majority'
'medium','left','scientific','yes','yes','minority'
'high','right','political','yes','yes','majority'
'low','left','scientific','yes','yes','minority'
'medium','right','tourism','yes','yes','minority'
'low','right','political','yes','yes','majority'
'high','left','impression','yes','no','majority'
'medium','left','tourism','yes','no','majority'
'medium','middle','scientific','yes','no','majority'
'medium','middle','impression','no','yes','minority'
'medium','right','scientific','yes','yes','minority'
'medium','left','impression','no','no','majority'
'high','left','political','yes','yes','minority'
'medium','left','news','no','yes','majority'
'high','left','political','yes','yes','majority'
'medium','right','news','yes','yes','minority'
'medium','left','tourism','yes','no','majority'
'medium','middle','news','yes','yes','majority'
'low','middle','impression','yes','no','minority'
'low','right','impression','yes','no','minority'
'medium','right','news','yes','yes','minority'
'medium','left','impression','yes','yes','majority'
'high','left','political','yes','yes','majority'
'high','left','political','yes','yes','majority'
'medium','middle','tourism','yes','yes','majority'
'high','left','political','yes','yes','majority'
'medium','middle','news','yes','yes','majority'
'medium','middle','news','yes','yes','majority'
'high','left','political','yes','yes','majority'
'high','right','political','yes','no','majority'
'high','right','political','yes','no','minority'
'medium','right','tourism','yes','no','majority'
'medium','right','tourism','yes','yes','majority'
'medium','left','news','yes','no','majority'
'high','left','impression','yes','yes','minority'
'low','right','news','no','yes','minority'
'high','left','political','yes','yes','majority'
'medium','left','impression','yes','yes','majority'
'medium','left','political','yes','yes','majority'
'high','right','political','yes','yes','majority'
'medium','left','political','yes','yes','majority'
'high','right','impression','yes','yes','minority'
'medium','left','political','yes','yes','majority'
'medium','left','news','yes','yes','majority'
'medium','right','political','no','yes','minority'
'low','left','tourism','yes','no','minority'
'high','left','news','yes','yes','majority'
'high','left','political','yes','yes','majority'
'low','right','impression','no','no','majority'
'high','right','political','yes','yes','majority'
'high','left','impression','no','no','majority'
'medium','left','scientific','yes','yes','minority'
'high','right','political','yes','yes','majority'
'low','left','scientific','yes','yes','minority'
'medium','right','tourism','yes','yes','minority'
'low','right','political','yes','yes','majority'
'high','left','impression','yes','no','majority'
'medium','left','tourism','yes','no','majority'
'medium','middle','impression','yes','no','majority'
'medium','middle','impression','no','yes','minority'
'medium','right','scientific','yes','yes','minority'
'medium','left','impression','no','no','majority'
'high','left','political','yes','yes','minority'
'medium','left','news','no','yes','majority'
'high','left','political','yes','yes','majority'
'medium','right','news','yes','yes','minority'
'medium','left','tourism','yes','no','majority'
'medium','middle','impression','yes','yes','majority'
'low','middle','impression','yes','no','minority'
'low','right','impression','yes','no','minority'
'medium','right','news','yes','yes','minority'
'medium','left','impression','yes','yes','majority'
