@relation aux
@attribute V1 numeric
@attribute V2 numeric
@attribute V3 numeric
@attribute V4 numeric
@attribute class {'majority','minority'}
@data
2,50,12500,98,'minority'
0,13,3250,28,'minority'
1,16,4000,35,'minority'
2,20,5000,45,'minority'
1,24,6000,77,'majority'
4,4,1000,4,'majority'
2,7,1750,14,'minority'
1,12,3000,35,'majority'
2,9,2250,22,'minority'
5,46,11500,98,'minority'
4,23,5750,58,'majority'
0,3,750,4,'majority'
2,10,2500,28,'minority'
1,13,3250,47,'majority'
2,6,1500,15,'minority'
2,5,1250,11,'minority'
2,14,3500,48,'minority'
2,15,3750,49,'minority'
2,6,1500,15,'minority'
2,3,750,4,'minority'
2,3,750,4,'minority'
4,11,2750,28,'majority'
2,6,1500,16,'minority'
2,6,1500,16,'minority'
9,9,2250,16,'majority'
4,14,3500,40,'majority'
4,6,1500,14,'majority'
4,12,3000,34,'minority'
4,5,1250,11,'minority'
4,8,2000,21,'majority'
1,14,3500,58,'majority'
4,10,2500,28,'minority'
4,10,2500,28,'minority'
4,9,2250,26,'minority'
2,16,4000,64,'majority'
2,8,2000,28,'minority'
2,12,3000,47,'minority'
4,6,1500,16,'minority'
2,14,3500,57,'minority'
4,7,1750,22,'minority'
2,13,3250,53,'minority'
2,5,1250,16,'majority'
2,5,1250,16,'minority'
2,5,1250,16,'majority'
4,20,5000,69,'minority'
4,9,2250,28,'minority'
2,9,2250,36,'majority'
2,2,500,2,'majority'
2,2,500,2,'majority'
2,2,500,2,'majority'
2,11,2750,46,'majority'
2,11,2750,46,'minority'
2,6,1500,22,'majority'
2,12,3000,52,'majority'
4,5,1250,14,'minority'
4,19,4750,69,'minority'
4,8,2000,26,'minority'
2,7,1750,28,'minority'
2,16,4000,81,'majority'
3,6,1500,21,'majority'
2,7,1750,29,'majority'
2,8,2000,35,'minority'
2,10,2500,49,'majority'
4,5,1250,16,'minority'
2,3,750,9,'minority'
3,16,4000,74,'majority'
2,4,1000,14,'minority'
0,2,500,4,'majority'
4,7,1750,25,'majority'
1,9,2250,51,'majority'
2,4,1000,16,'majority'
2,4,1000,16,'majority'
4,17,4250,71,'minority'
2,2,500,4,'majority'
2,2,500,4,'minority'
2,2,500,4,'minority'
2,4,1000,16,'minority'
2,2,500,4,'majority'
2,2,500,4,'majority'
2,2,500,4,'majority'
4,6,1500,23,'minority'
2,4,1000,16,'majority'
2,4,1000,16,'majority'
2,4,1000,16,'majority'
2,6,1500,28,'minority'
2,6,1500,28,'majority'
4,2,500,4,'majority'
4,2,500,4,'majority'
4,2,500,4,'majority'
2,7,1750,35,'minority'
4,2,500,4,'minority'
4,2,500,4,'majority'
4,2,500,4,'majority'
4,2,500,4,'majority'
12,11,2750,23,'majority'
4,7,1750,28,'majority'
3,17,4250,86,'majority'
4,9,2250,38,'minority'
4,4,1000,14,'minority'
5,7,1750,26,'minority'
4,8,2000,34,'minority'
2,13,3250,76,'minority'
4,9,2250,40,'majority'
2,5,1250,26,'majority'
2,5,1250,26,'majority'
6,17,4250,70,'majority'
0,8,2000,59,'majority'
3,5,1250,26,'majority'
2,3,750,14,'majority'
2,10,2500,64,'majority'
4,5,1250,23,'minority'
4,9,2250,46,'majority'
4,5,1250,23,'majority'
4,8,2000,40,'minority'
2,12,3000,82,'majority'
11,24,6000,64,'majority'
2,7,1750,46,'minority'
4,11,2750,61,'majority'
1,7,1750,57,'majority'
2,11,2750,79,'minority'
2,3,750,16,'minority'
4,5,1250,26,'minority'
2,6,1500,41,'minority'
2,5,1250,33,'minority'
2,4,1000,26,'majority'
2,5,1250,34,'majority'
4,8,2000,46,'minority'
2,4,1000,26,'majority'
4,8,2000,48,'minority'
2,2,500,10,'minority'
4,5,1250,28,'majority'
2,12,3000,95,'majority'
2,2,500,10,'majority'
4,6,1500,35,'majority'
2,11,2750,88,'majority'
2,3,750,19,'majority'
2,5,1250,37,'majority'
2,12,3000,98,'majority'
9,5,1250,19,'majority'
2,2,500,11,'majority'
2,9,2250,74,'majority'
5,14,3500,86,'majority'
4,3,750,16,'majority'
4,3,750,16,'majority'
4,2,500,9,'minority'
4,3,750,16,'minority'
6,3,750,14,'majority'
2,2,500,11,'majority'
2,2,500,11,'minority'
2,2,500,11,'majority'
2,7,1750,58,'minority'
4,6,1500,39,'majority'
4,11,2750,78,'majority'
2,1,250,2,'minority'
2,1,250,2,'majority'
2,1,250,2,'majority'
2,1,250,2,'majority'
2,1,250,2,'majority'
2,1,250,2,'majority'
2,1,250,2,'majority'
2,1,250,2,'majority'
2,1,250,2,'majority'
2,1,250,2,'majority'
2,1,250,2,'minority'
2,1,250,2,'minority'
2,1,250,2,'minority'
2,1,250,2,'majority'
2,1,250,2,'majority'
2,1,250,2,'majority'
2,1,250,2,'majority'
2,1,250,2,'majority'
2,1,250,2,'majority'
2,1,250,2,'majority'
2,1,250,2,'majority'
2,1,250,2,'majority'
11,10,2500,35,'majority'
11,4,1000,16,'minority'
4,5,1250,33,'minority'
4,6,1500,41,'minority'
2,3,750,22,'majority'
4,4,1000,26,'minority'
10,4,1000,16,'majority'
2,4,1000,35,'majority'
4,12,3000,88,'majority'
13,8,2000,26,'majority'
11,9,2250,33,'majority'
4,5,1250,34,'majority'
4,4,1000,26,'majority'
8,15,3750,77,'majority'
4,5,1250,35,'minority'
4,7,1750,52,'majority'
4,7,1750,52,'majority'
2,4,1000,35,'majority'
11,11,2750,42,'majority'
2,2,500,14,'majority'
2,5,1250,47,'minority'
9,8,2000,38,'minority'
4,6,1500,47,'majority'
11,7,1750,29,'majority'
9,9,2250,45,'majority'
4,6,1500,52,'majority'
4,7,1750,58,'majority'
6,2,500,11,'minority'
4,7,1750,58,'majority'
11,9,2250,38,'majority'
11,6,1500,26,'majority'
2,2,500,16,'majority'
2,7,1750,76,'majority'
11,6,1500,27,'majority'
11,3,750,14,'majority'
4,1,250,4,'majority'
4,1,250,4,'majority'
4,1,250,4,'majority'
4,1,250,4,'majority'
4,1,250,4,'majority'
4,1,250,4,'minority'
4,1,250,4,'majority'
4,1,250,4,'majority'
4,1,250,4,'majority'
4,1,250,4,'majority'
4,1,250,4,'majority'
4,1,250,4,'minority'
4,1,250,4,'minority'
4,1,250,4,'majority'
4,1,250,4,'minority'
4,1,250,4,'minority'
4,1,250,4,'majority'
4,3,750,24,'majority'
4,1,250,4,'majority'
4,1,250,4,'majority'
4,1,250,4,'majority'
4,1,250,4,'minority'
4,1,250,4,'majority'
10,8,2000,39,'majority'
14,7,1750,26,'majority'
8,10,2500,63,'majority'
11,3,750,15,'majority'
4,2,500,14,'majority'
2,4,1000,43,'majority'
8,9,2250,58,'majority'
8,8,2000,52,'minority'
11,22,5500,98,'majority'
4,3,750,25,'minority'
11,17,4250,79,'minority'
9,2,500,11,'majority'
4,5,1250,46,'majority'
11,12,3000,58,'majority'
7,12,3000,86,'majority'
11,2,500,11,'majority'
11,2,500,11,'majority'
11,2,500,11,'majority'
2,6,1500,75,'majority'
11,8,2000,41,'minority'
11,3,750,16,'minority'
12,13,3250,59,'majority'
2,3,750,35,'majority'
16,8,2000,28,'majority'
11,7,1750,37,'majority'
4,3,750,28,'majority'
12,12,3000,58,'majority'
4,4,1000,41,'majority'
11,14,3500,73,'minority'
2,2,500,23,'majority'
2,3,750,38,'minority'
4,5,1250,58,'majority'
4,4,1000,43,'minority'
3,2,500,23,'majority'
11,8,2000,46,'majority'
4,7,1750,82,'majority'
13,4,1000,21,'majority'
16,11,2750,40,'majority'
16,7,1750,28,'majority'
7,2,500,16,'majority'
4,5,1250,58,'majority'
4,5,1250,58,'majority'
4,4,1000,46,'majority'
14,13,3250,57,'majority'
4,3,750,34,'majority'
14,18,4500,78,'majority'
11,8,2000,48,'majority'
14,16,4000,70,'majority'
14,4,1000,22,'minority'
14,5,1250,26,'majority'
8,2,500,16,'majority'
11,5,1250,33,'majority'
11,2,500,14,'majority'
4,2,500,23,'majority'
9,2,500,16,'minority'
14,5,1250,28,'minority'
14,3,750,19,'minority'
14,4,1000,23,'minority'
16,12,3000,50,'majority'
11,4,1000,28,'majority'
11,5,1250,35,'majority'
11,5,1250,35,'majority'
2,4,1000,70,'majority'
14,5,1250,28,'majority'
14,2,500,14,'majority'
14,2,500,14,'majority'
14,2,500,14,'majority'
14,2,500,14,'majority'
14,2,500,14,'majority'
14,2,500,14,'majority'
2,3,750,52,'majority'
14,6,1500,34,'majority'
11,5,1250,37,'minority'
4,5,1250,74,'majority'
11,3,750,23,'majority'
16,4,1000,23,'majority'
16,3,750,19,'majority'
11,5,1250,38,'majority'
11,2,500,16,'majority'
12,9,2250,60,'majority'
9,1,250,9,'majority'
9,1,250,9,'majority'
4,2,500,29,'majority'
11,2,500,17,'majority'
14,4,1000,26,'majority'
11,9,2250,72,'minority'
11,5,1250,41,'majority'
15,16,4000,82,'majority'
9,5,1250,51,'minority'
11,4,1000,34,'majority'
14,8,2000,50,'minority'
16,7,1750,38,'majority'
14,2,500,16,'majority'
2,2,500,41,'majority'
14,16,4000,98,'majority'
14,4,1000,28,'minority'
16,7,1750,39,'majority'
14,7,1750,47,'majority'
16,6,1500,35,'majority'
16,6,1500,35,'minority'
11,7,1750,62,'minority'
16,2,500,16,'majority'
16,3,750,21,'minority'
11,3,750,28,'majority'
11,7,1750,64,'majority'
11,1,250,11,'minority'
9,3,750,34,'majority'
14,4,1000,30,'majority'
23,38,9500,98,'majority'
11,6,1500,58,'majority'
11,1,250,11,'majority'
11,1,250,11,'majority'
11,1,250,11,'majority'
11,1,250,11,'majority'
11,1,250,11,'majority'
11,1,250,11,'majority'
11,1,250,11,'majority'
11,1,250,11,'majority'
11,2,500,21,'majority'
11,5,1250,50,'majority'
11,2,500,21,'majority'
16,4,1000,28,'majority'
4,2,500,41,'majority'
16,6,1500,40,'majority'
14,3,750,26,'majority'
9,2,500,26,'majority'
21,16,4000,64,'majority'
14,6,1500,51,'majority'
11,2,500,24,'majority'
4,3,750,71,'majority'
21,13,3250,57,'majority'
11,6,1500,71,'majority'
14,2,500,21,'minority'
23,15,3750,57,'majority'
14,4,1000,38,'majority'
11,2,500,26,'majority'
16,5,1250,40,'minority'
4,2,500,51,'minority'
14,3,750,31,'majority'
4,2,500,52,'majority'
9,4,1000,65,'majority'
14,4,1000,40,'majority'
11,3,750,40,'minority'
14,5,1250,50,'majority'
14,1,250,14,'majority'
14,1,250,14,'majority'
14,1,250,14,'majority'
14,1,250,14,'majority'
14,1,250,14,'majority'
14,1,250,14,'majority'
14,1,250,14,'majority'
14,1,250,14,'majority'
14,7,1750,72,'majority'
14,1,250,14,'majority'
14,1,250,14,'majority'
9,3,750,52,'majority'
14,7,1750,73,'majority'
11,4,1000,58,'majority'
11,4,1000,59,'majority'
4,2,500,59,'majority'
11,4,1000,61,'majority'
16,4,1000,40,'majority'
16,10,2500,89,'majority'
21,2,500,21,'minority'
21,3,750,26,'majority'
16,8,2000,76,'majority'
21,3,750,26,'minority'
18,2,500,23,'majority'
23,5,1250,33,'majority'
23,8,2000,46,'majority'
16,3,750,34,'majority'
14,5,1250,64,'majority'
14,3,750,41,'majority'
16,1,250,16,'majority'
16,1,250,16,'majority'
16,1,250,16,'majority'
16,1,250,16,'majority'
16,1,250,16,'majority'
16,1,250,16,'majority'
16,1,250,16,'majority'
16,4,1000,45,'majority'
16,1,250,16,'majority'
16,1,250,16,'majority'
16,1,250,16,'majority'
16,1,250,16,'majority'
16,1,250,16,'majority'
16,2,500,26,'majority'
21,2,500,23,'majority'
16,2,500,27,'majority'
21,2,500,23,'majority'
21,2,500,23,'majority'
14,4,1000,57,'majority'
16,5,1250,60,'majority'
23,2,500,23,'majority'
14,5,1250,74,'majority'
23,3,750,28,'majority'
16,3,750,40,'majority'
9,2,500,52,'majority'
9,2,500,52,'majority'
16,7,1750,87,'minority'
14,4,1000,64,'majority'
14,2,500,35,'majority'
16,7,1750,93,'majority'
21,2,500,25,'majority'
14,3,750,52,'majority'
23,14,3500,93,'majority'
18,8,2000,95,'majority'
16,3,750,46,'majority'
11,3,750,76,'majority'
11,2,500,52,'majority'
11,3,750,76,'majority'
23,12,3000,86,'majority'
21,3,750,35,'majority'
23,2,500,26,'majority'
23,2,500,26,'majority'
