@relation aux
@attribute RUN numeric
@attribute SPEED1 numeric
@attribute TOTAL numeric
@attribute SPEED2 numeric
@attribute NUMBER2 numeric
@attribute SENS numeric
@attribute TIME numeric
@attribute class {'majority','minority'}
@data
25,2,10,1.5,0,6,5.7,'majority'
24,2,10,1.5,0,10,17.56,'minority'
30,2,10,1.5,2,6,11.28,'majority'
2,2,10,1.5,2,10,8.39,'majority'
40,2,10,2.5,0,6,16.67,'majority'
37,2,10,2.5,0,10,12.04,'majority'
16,2,10,2.5,2,6,9.22,'majority'
22,2,10,2.5,2,10,3.94,'majority'
33,2,30,1.5,0,6,27.02,'majority'
17,2,30,1.5,0,10,19.46,'majority'
28,2,30,1.5,2,6,18.54,'majority'
27,2,30,1.5,2,10,25.7,'majority'
14,2,30,2.5,0,6,19.02,'majority'
13,2,30,2.5,0,10,22.39,'majority'
4,2,30,2.5,2,6,23.85,'majority'
21,2,30,2.5,2,10,30.12,'majority'
23,6,10,1.5,0,6,13.42,'majority'
35,6,10,1.5,0,10,34.26,'minority'
19,6,10,1.5,2,6,39.74,'minority'
34,6,10,1.5,2,10,10.6,'majority'
31,6,10,2.5,0,6,28.89,'minority'
9,6,10,2.5,0,10,35.61,'minority'
38,6,10,2.5,2,6,17.2,'minority'
15,6,10,2.5,2,10,6,'majority'
39,6,30,1.5,0,6,129.45,'minority'
8,6,30,1.5,0,0,107.38,'minority'
26,6,30,1.5,2,6,111.66,'minority'
11,6,30,1.5,2,0,109.1,'minority'
6,6,30,2.5,0,6,100.43,'minority'
20,6,30,2.5,0,0,109.28,'minority'
10,6,30,2.5,2,6,106.46,'minority'
32,6,30,2.5,2,0,134.01,'minority'
1,4,20,2,1,8,10.78,'majority'
3,4,20,2,1,8,9.39,'majority'
5,4,20,2,1,8,9.84,'majority'
7,4,20,2,1,8,13.94,'majority'
12,4,20,2,1,8,12.33,'majority'
18,4,20,2,1,8,7.32,'majority'
29,4,20,2,1,8,7.91,'majority'
36,4,20,2,1,8,15.58,'majority'
