@relation aux
@attribute buying {'vhigh','high','med','low'}
@attribute maint {'vhigh','high','med','low'}
@attribute doors {'2','3','4','5more'}
@attribute persons {'2','4','more'}
@attribute lug_boot {'small','med','big'}
@attribute safety {'low','med','high'}
@attribute class {'majority','minority'}
@data
'vhigh','vhigh','2','2','small','low','majority'
'vhigh','vhigh','2','2','small','med','majority'
'vhigh','vhigh','2','2','small','high','majority'
'vhigh','vhigh','2','2','med','low','majority'
'vhigh','vhigh','2','2','med','med','majority'
'vhigh','vhigh','2','2','med','high','majority'
'vhigh','vhigh','2','2','big','low','majority'
'vhigh','vhigh','2','2','big','med','majority'
'vhigh','vhigh','2','2','big','high','majority'
'vhigh','vhigh','2','4','small','low','majority'
'vhigh','vhigh','2','4','small','med','majority'
'vhigh','vhigh','2','4','small','high','majority'
'vhigh','vhigh','2','4','med','low','majority'
'vhigh','vhigh','2','4','med','med','majority'
'vhigh','vhigh','2','4','med','high','majority'
'vhigh','vhigh','2','4','big','low','majority'
'vhigh','vhigh','2','4','big','med','majority'
'vhigh','vhigh','2','4','big','high','majority'
'vhigh','vhigh','2','more','small','low','majority'
'vhigh','vhigh','2','more','small','med','majority'
'vhigh','vhigh','2','more','small','high','majority'
'vhigh','vhigh','2','more','med','low','majority'
'vhigh','vhigh','2','more','med','med','majority'
'vhigh','vhigh','2','more','med','high','majority'
'vhigh','vhigh','2','more','big','low','majority'
'vhigh','vhigh','2','more','big','med','majority'
'vhigh','vhigh','2','more','big','high','majority'
'vhigh','vhigh','3','2','small','low','majority'
'vhigh','vhigh','3','2','small','med','majority'
'vhigh','vhigh','3','2','small','high','majority'
'vhigh','vhigh','3','2','med','low','majority'
'vhigh','vhigh','3','2','med','med','majority'
'vhigh','vhigh','3','2','med','high','majority'
'vhigh','vhigh','3','2','big','low','majority'
'vhigh','vhigh','3','2','big','med','majority'
'vhigh','vhigh','3','2','big','high','majority'
'vhigh','vhigh','3','4','small','low','majority'
'vhigh','vhigh','3','4','small','med','majority'
'vhigh','vhigh','3','4','small','high','majority'
'vhigh','vhigh','3','4','med','low','majority'
'vhigh','vhigh','3','4','med','med','majority'
'vhigh','vhigh','3','4','med','high','majority'
'vhigh','vhigh','3','4','big','low','majority'
'vhigh','vhigh','3','4','big','med','majority'
'vhigh','vhigh','3','4','big','high','majority'
'vhigh','vhigh','3','more','small','low','majority'
'vhigh','vhigh','3','more','small','med','majority'
'vhigh','vhigh','3','more','small','high','majority'
'vhigh','vhigh','3','more','med','low','majority'
'vhigh','vhigh','3','more','med','med','majority'
'vhigh','vhigh','3','more','med','high','majority'
'vhigh','vhigh','3','more','big','low','majority'
'vhigh','vhigh','3','more','big','med','majority'
'vhigh','vhigh','3','more','big','high','majority'
'vhigh','vhigh','4','2','small','low','majority'
'vhigh','vhigh','4','2','small','med','majority'
'vhigh','vhigh','4','2','small','high','majority'
'vhigh','vhigh','4','2','med','low','majority'
'vhigh','vhigh','4','2','med','med','majority'
'vhigh','vhigh','4','2','med','high','majority'
'vhigh','vhigh','4','2','big','low','majority'
'vhigh','vhigh','4','2','big','med','majority'
'vhigh','vhigh','4','2','big','high','majority'
'vhigh','vhigh','4','4','small','low','majority'
'vhigh','vhigh','4','4','small','med','majority'
'vhigh','vhigh','4','4','small','high','majority'
'vhigh','vhigh','4','4','med','low','majority'
'vhigh','vhigh','4','4','med','med','majority'
'vhigh','vhigh','4','4','med','high','majority'
'vhigh','vhigh','4','4','big','low','majority'
