@relation aux
@attribute col_1 numeric
@attribute col_2 numeric
@attribute class {'minority','majority'}
@data
1,4.4,'majority'
1,3.9,'majority'
1,4,'minority'
1,4,'majority'
1,3.5,'majority'
1,4.1,'majority'
1,2.3,'minority'
1,4.7,'majority'
1,1.7,'minority'
1,4.9,'majority'
1,1.7,'minority'
1,4.6,'majority'
1,3.4,'majority'
2,4.3,'majority'
2,1.7,'minority'
2,3.9,'majority'
2,3.7,'minority'
2,3.1,'minority'
2,4,'majority'
2,1.8,'minority'
2,4.1,'majority'
2,1.8,'minority'
2,3.2,'majority'
2,1.9,'minority'
2,4.6,'majority'
2,2,'minority'
3,4.5,'majority'
3,3.9,'majority'
3,4.3,'majority'
3,2.3,'minority'
3,3.8,'majority'
3,1.9,'minority'
3,4.6,'majority'
3,1.8,'minority'
3,4.7,'majority'
3,1.8,'minority'
3,4.6,'majority'
3,1.9,'minority'
3,3.5,'majority'
4,4,'majority'
4,3.7,'majority'
4,3.7,'minority'
4,4.3,'minority'
4,3.6,'majority'
4,3.8,'majority'
4,3.8,'majority'
4,3.8,'majority'
4,2.5,'minority'
4,4.5,'majority'
4,4.1,'minority'
4,3.7,'majority'
4,3.8,'minority'
4,3.4,'majority'
5,4,'minority'
5,2.3,'minority'
5,4.4,'majority'
5,4.1,'majority'
5,4.3,'majority'
5,3.3,'majority'
5,2,'minority'
5,4.3,'majority'
5,2.9,'minority'
5,4.6,'majority'
5,1.9,'minority'
5,3.6,'minority'
5,3.7,'majority'
5,3.7,'majority'
6,1.8,'minority'
6,4.6,'majority'
6,3.5,'majority'
6,4,'minority'
6,3.7,'majority'
6,1.7,'minority'
6,4.6,'majority'
6,1.7,'minority'
6,4,'majority'
6,1.8,'minority'
6,4.4,'majority'
6,1.9,'minority'
6,4.6,'majority'
6,2.9,'majority'
7,3.5,'majority'
7,2,'minority'
7,4.3,'majority'
7,1.8,'minority'
7,4.1,'majority'
7,1.8,'minority'
7,4.7,'majority'
7,4.2,'majority'
7,3.9,'majority'
7,4.3,'majority'
7,1.8,'minority'
7,4.5,'majority'
7,2,'minority'
8,4.2,'majority'
8,4.4,'majority'
8,4.1,'minority'
8,4.1,'majority'
8,4,'majority'
8,4.1,'majority'
8,2.7,'minority'
8,4.6,'majority'
8,1.9,'minority'
8,4.5,'majority'
8,2,'minority'
8,4.8,'majority'
8,4.1,'majority'
16,4.1,'majority'
16,4.2,'majority'
16,4.5,'majority'
16,1.9,'minority'
16,4.7,'majority'
16,2,'minority'
16,4.7,'majority'
16,2.5,'minority'
16,4.3,'majority'
16,4.4,'majority'
16,4.4,'majority'
16,4.3,'minority'
16,4.6,'majority'
16,2.1,'minority'
17,4.8,'majority'
17,4.1,'minority'
17,4,'minority'
17,4,'majority'
17,4.4,'majority'
17,4.1,'majority'
17,4.3,'majority'
17,4,'minority'
17,3.9,'majority'
17,3.2,'minority'
17,4.5,'majority'
17,2.2,'minority'
17,4.7,'majority'
17,4.6,'majority'
18,2.2,'minority'
18,4.8,'majority'
18,4.3,'majority'
18,3.8,'majority'
18,4,'majority'
18,4.1,'majority'
18,1.8,'minority'
18,4.4,'majority'
18,4,'majority'
18,2.2,'minority'
18,5.1,'majority'
18,1.9,'minority'
18,5,'majority'
18,4.4,'majority'
19,4.5,'majority'
19,3.8,'majority'
19,4.3,'majority'
19,4.4,'majority'
19,2.2,'minority'
19,4.8,'majority'
19,1.9,'minority'
19,4.7,'majority'
19,1.8,'minority'
19,4.8,'majority'
19,2,'minority'
19,4.4,'majority'
19,2.5,'minority'
19,4.3,'majority'
20,4.4,'majority'
20,1.9,'minority'
20,4.7,'majority'
20,4.3,'majority'
20,2.2,'minority'
20,4.7,'majority'
20,2.3,'minority'
20,4.6,'majority'
20,3.3,'minority'
20,4.2,'majority'
20,2.9,'minority'
20,4.6,'majority'
20,3.3,'minority'
20,4.2,'majority'
20,2.6,'minority'
20,4.6,'minority'
21,3.7,'majority'
21,1.8,'minority'
21,4.7,'majority'
21,4.5,'majority'
21,4.5,'minority'
21,4.8,'majority'
21,2,'minority'
21,4.8,'majority'
21,1.9,'minority'
21,4.7,'majority'
21,2,'minority'
21,5.1,'majority'
21,4.3,'majority'
21,4.8,'majority'
22,3,'majority'
22,2.1,'minority'
22,4.6,'majority'
22,4,'majority'
22,2.2,'minority'
22,5.1,'majority'
22,2.9,'minority'
22,4.3,'majority'
22,2.1,'minority'
22,4.7,'majority'
22,4.5,'minority'
22,1.7,'minority'
22,4.2,'majority'
22,4.3,'majority'
23,1.7,'minority'
23,4.4,'majority'
23,4.2,'majority'
23,2.2,'minority'
23,4.7,'majority'
23,4,'minority'
23,1.8,'minority'
23,4.7,'majority'
23,1.8,'minority'
23,4.5,'majority'
23,2.1,'minority'
23,4.2,'majority'
23,2.1,'minority'
23,5.2,'majority'
23,2,'minority'
