@relation aux
@attribute col_1 numeric
@attribute col_2 numeric
@attribute class {'majority','minority'}
@data
1983,1,'majority'
1983,2,'minority'
1983,3,'minority'
1983,4,'minority'
1983,5,'minority'
1983,6,'minority'
1983,7,'minority'
1983,8,'minority'
1983,9,'minority'
1983,10,'minority'
1983,11,'majority'
1983,12,'majority'
1983,13,'majority'
1983,14,'majority'
1983,15,'minority'
1983,16,'minority'
1983,17,'majority'
1983,18,'minority'
1983,19,'minority'
1983,20,'majority'
1983,21,'majority'
1983,22,'minority'
1983,23,'minority'
1983,24,'minority'
1983,25,'minority'
1983,26,'minority'
1983,27,'minority'
1983,28,'minority'
1983,29,'minority'
1983,30,'minority'
1983,31,'minority'
1983,32,'minority'
1983,33,'minority'
1983,34,'minority'
1983,35,'minority'
1983,36,'minority'
1983,37,'minority'
1983,38,'minority'
1983,39,'minority'
1983,40,'minority'
1983,41,'minority'
1983,42,'minority'
1983,43,'minority'
1983,44,'minority'
1983,45,'minority'
1983,46,'majority'
1983,47,'majority'
1983,48,'majority'
1983,49,'majority'
1983,50,'majority'
1983,51,'majority'
1983,52,'majority'
1984,1,'majority'
1984,2,'majority'
1984,3,'minority'
1984,4,'minority'
1984,5,'majority'
1984,6,'minority'
1984,7,'minority'
1984,8,'minority'
1984,9,'minority'
1984,10,'minority'
1984,11,'minority'
1984,12,'majority'
1984,13,'minority'
1984,14,'majority'
1984,15,'majority'
1984,16,'minority'
1984,17,'minority'
1984,18,'minority'
1984,19,'majority'
1984,20,'minority'
1984,21,'minority'
1984,22,'minority'
1984,23,'minority'
1984,24,'minority'
1984,25,'minority'
1984,26,'minority'
1984,27,'minority'
1984,28,'minority'
1984,29,'minority'
1984,30,'minority'
1984,31,'minority'
1984,32,'minority'
1984,33,'minority'
1984,34,'minority'
1984,35,'minority'
1984,36,'majority'
1984,37,'minority'
1984,38,'minority'
1984,39,'majority'
1984,40,'majority'
1984,41,'minority'
1984,42,'majority'
1984,43,'majority'
1984,44,'majority'
1984,45,'minority'
1984,46,'minority'
1984,47,'minority'
1984,48,'minority'
1984,49,'minority'
1984,50,'majority'
1984,51,'majority'
1984,52,'majority'
1985,1,'majority'
1985,2,'majority'
1985,3,'majority'
1985,4,'majority'
1985,5,'majority'
1985,6,'majority'
1985,7,'majority'
1985,8,'majority'
1985,9,'majority'
1985,10,'majority'
1985,11,'majority'
1985,12,'majority'
1985,13,'majority'
1985,14,'majority'
1985,15,'majority'
1985,16,'majority'
1985,17,'majority'
1985,18,'majority'
1985,19,'majority'
1985,20,'majority'
1985,21,'majority'
1985,22,'minority'
1985,23,'majority'
1985,24,'minority'
1985,25,'minority'
1985,26,'minority'
1985,27,'minority'
1985,28,'minority'
1985,29,'minority'
1985,30,'minority'
1985,31,'minority'
1985,32,'minority'
1985,33,'minority'
1985,34,'majority'
1985,35,'majority'
1985,36,'majority'
1985,37,'minority'
1985,38,'minority'
1985,39,'minority'
1985,40,'minority'
1985,41,'minority'
1985,42,'minority'
1985,43,'minority'
1985,44,'minority'
1985,45,'minority'
1985,46,'majority'
1985,47,'majority'
1985,48,'majority'
1985,49,'majority'
1985,50,'majority'
1985,51,'majority'
1985,52,'majority'
1986,1,'majority'
1986,2,'minority'
1986,3,'minority'
1986,4,'minority'
1986,5,'minority'
1986,6,'majority'
1986,7,'majority'
1986,8,'majority'
1986,9,'majority'
1986,10,'majority'
1986,11,'majority'
1986,12,'majority'
1986,13,'majority'
1986,14,'majority'
1986,15,'majority'
1986,16,'majority'
1986,17,'majority'
1986,18,'majority'
1986,19,'majority'
1986,20,'majority'
1986,21,'majority'
1986,22,'majority'
1986,23,'majority'
1986,24,'majority'
1986,25,'majority'
1986,26,'majority'
1986,27,'majority'
1986,28,'majority'
1986,29,'majority'
1986,30,'majority'
1986,31,'majority'
1986,32,'majority'
1986,33,'majority'
1986,34,'majority'
1986,35,'majority'
1986,36,'majority'
1986,37,'majority'
1986,38,'majority'
1986,39,'majority'
1986,40,'majority'
1986,41,'majority'
1986,42,'majority'
1986,43,'majority'
1986,44,'majority'
1986,45,'majority'
1986,46,'majority'
1986,47,'majority'
1986,48,'majority'
1986,49,'majority'
1986,50,'majority'
1986,51,'majority'
1986,52,'majority'
1987,1,'majority'
1987,2,'majority'
1987,3,'majority'
1987,4,'majority'
1987,5,'majority'
1987,6,'minority'
1987,7,'majority'
1987,8,'majority'
1987,9,'minority'
1987,10,'majority'
1987,11,'majority'
1987,12,'majority'
1987,13,'majority'
1987,14,'majority'
1987,15,'majority'
1987,16,'minority'
1987,17,'minority'
1987,18,'minority'
1987,19,'minority'
1987,20,'minority'
1987,21,'minority'
1987,22,'minority'
1987,23,'minority'
1987,24,'minority'
1987,25,'minority'
1987,26,'minority'
1987,27,'minority'
1987,28,'minority'
1987,29,'minority'
1987,30,'minority'
1987,31,'minority'
1987,32,'minority'
1987,33,'minority'
1987,34,'minority'
1987,35,'minority'
1987,36,'minority'
1987,37,'majority'
1987,38,'minority'
1987,39,'majority'
1987,40,'minority'
1987,41,'majority'
1987,42,'majority'
1987,43,'majority'
1987,44,'majority'
1987,45,'majority'
1987,46,'majority'
1987,47,'majority'
1987,48,'majority'
1987,49,'majority'
1987,50,'majority'
1987,51,'majority'
1987,52,'majority'
1988,1,'majority'
1988,2,'majority'
1988,3,'majority'
1988,4,'majority'
1988,5,'majority'
1988,6,'majority'
1988,7,'majority'
1988,8,'majority'
1988,9,'majority'
1988,10,'majority'
1988,11,'majority'
1988,12,'majority'
1988,13,'majority'
1988,14,'majority'
1988,15,'majority'
1988,16,'majority'
1988,17,'majority'
1988,18,'majority'
1988,19,'majority'
1988,20,'majority'
1988,21,'majority'
1988,22,'majority'
1988,23,'majority'
1988,24,'majority'
1988,25,'majority'
1988,26,'majority'
1988,27,'majority'
1988,28,'majority'
1988,29,'majority'
1988,30,'majority'
1988,31,'majority'
1988,32,'majority'
1988,33,'majority'
1988,34,'majority'
1988,35,'minority'
1988,36,'minority'
1988,37,'minority'
1988,38,'majority'
1988,39,'minority'
1988,40,'minority'
1988,41,'minority'
1988,42,'majority'
1988,43,'majority'
1988,44,'majority'
1988,45,'minority'
1988,46,'majority'
1988,47,'majority'
1988,48,'majority'
1988,49,'majority'
1988,50,'majority'
1988,51,'majority'
1988,52,'majority'
1989,1,'majority'
1989,2,'majority'
1989,3,'majority'
1989,4,'majority'
1989,5,'majority'
1989,6,'majority'
1989,7,'majority'
1989,8,'majority'
1989,9,'majority'
1989,10,'majority'
1989,11,'majority'
1989,12,'majority'
1989,13,'majority'
1989,14,'majority'
1989,15,'majority'
1989,16,'majority'
1989,17,'majority'
1989,18,'majority'
1989,19,'majority'
1989,20,'majority'
1989,21,'majority'
1989,22,'majority'
1989,23,'majority'
1989,24,'majority'
1989,25,'majority'
1989,26,'majority'
1989,27,'majority'
1989,28,'majority'
1989,29,'majority'
1989,30,'majority'
1989,31,'majority'
1989,32,'majority'
1989,33,'majority'
1989,34,'majority'
1989,35,'majority'
1989,36,'majority'
1989,37,'majority'
1989,38,'majority'
