@relation aux
@attribute Wifes_age numeric
@attribute Wifes_education {'1','2','3','4'}
@attribute Husbands_education {'1','2','3','4'}
@attribute Number_of_children_ever_born numeric
@attribute Wifes_religion {'0','1'}
@attribute Wifes_now_working. {'0','1'}
@attribute Husbands_occupation {'1','2','3','4'}
@attribute Standard.of.living_index {'1','2','3','4'}
@attribute Media_exposure {'0','1'}
@attribute class {'minority','majority'}
@data
24,'2','3',3,'1','1','2','3','0','minority'
45,'1','3',10,'1','1','3','4','0','minority'
43,'2','3',7,'1','1','3','4','0','minority'
42,'3','2',9,'1','1','3','3','0','minority'
36,'3','3',8,'1','1','3','2','0','minority'
19,'4','4',0,'1','1','3','3','0','minority'
38,'2','3',6,'1','1','3','2','0','minority'
21,'3','3',1,'1','0','3','2','0','minority'
27,'2','3',3,'1','1','3','4','0','minority'
45,'1','1',8,'1','1','2','2','1','minority'
38,'1','3',2,'1','0','3','3','1','minority'
42,'1','4',4,'1','1','1','3','0','minority'
44,'4','4',1,'1','0','1','4','0','minority'
42,'2','4',1,'1','0','3','3','0','minority'
38,'3','4',2,'1','1','2','3','0','minority'
26,'2','4',0,'1','1','4','1','0','minority'
48,'1','1',7,'1','1','2','4','0','minority'
39,'2','2',6,'1','1','2','4','0','minority'
37,'2','2',8,'1','1','2','3','0','minority'
39,'2','1',5,'1','1','2','1','1','minority'
26,'3','4',1,'1','0','4','1','0','minority'
24,'3','4',0,'1','0','3','1','0','minority'
46,'4','4',1,'0','1','1','4','0','minority'
39,'4','4',1,'1','1','1','4','0','minority'
48,'4','4',5,'1','1','1','4','0','minority'
40,'2','4',8,'1','1','3','3','0','minority'
38,'4','4',1,'1','0','1','4','0','minority'
29,'4','4',0,'1','0','1','4','0','minority'
24,'4','4',0,'1','0','2','2','0','minority'
43,'1','2',8,'1','1','2','4','0','minority'
31,'3','4',2,'1','1','1','4','0','minority'
31,'4','4',2,'1','1','3','2','0','minority'
26,'2','4',0,'1','0','1','2','0','minority'
33,'2','2',2,'1','1','3','1','0','minority'
24,'2','3',1,'1','1','3','3','0','minority'
42,'1','3',9,'1','1','3','2','1','minority'
43,'1','2',8,'1','0','3','1','0','minority'
25,'3','3',4,'1','1','3','2','0','minority'
42,'2','2',3,'1','1','3','4','0','minority'
28,'2','2',1,'1','1','2','4','0','minority'
28,'1','1',3,'1','1','3','1','0','minority'
47,'2','3',0,'1','0','1','3','0','minority'
48,'2','4',2,'1','1','1','3','0','minority'
40,'4','4',2,'0','1','1','4','0','minority'
28,'2','2',1,'1','1','3','2','0','minority'
25,'1','4',1,'1','1','2','1','0','minority'
32,'4','4',2,'1','1','2','3','0','minority'
45,'4','4',0,'1','1','2','4','0','minority'
26,'4','4',1,'1','1','1','4','0','minority'
26,'4','4',0,'1','0','1','4','0','minority'
31,'4','4',0,'1','0','1','4','0','minority'
49,'4','4',7,'0','1','2','4','0','minority'
40,'3','4',8,'1','1','3','3','0','minority'
34,'4','4',1,'0','0','2','3','0','minority'
36,'2','4',5,'1','1','2','3','0','minority'
20,'2','2',2,'1','1','2','2','1','minority'
43,'4','4',5,'1','0','1','4','0','minority'
37,'3','4',7,'1','1','2','1','0','minority'
21,'2','3',0,'1','1','3','4','0','minority'
49,'4','4',6,'1','1','1','2','0','minority'
42,'3','3',10,'1','1','3','3','0','minority'
20,'2','3',1,'1','1','2','3','0','minority'
47,'1','2',2,'1','0','1','3','0','minority'
22,'2','3',1,'1','1','2','1','0','minority'
27,'2','4',1,'1','0','1','3','0','minority'
24,'2','4',1,'1','1','3','1','0','minority'
44,'4','2',8,'1','1','3','3','0','minority'
30,'2','3',3,'1','1','3','1','0','minority'
23,'3','4',2,'1','1','3','4','0','minority'
25,'4','4',1,'1','0','3','3','0','minority'
47,'2','3',4,'1','1','2','3','0','minority'
48,'2','3',8,'1','1','1','4','0','minority'
29,'2','3',1,'1','1','1','1','0','minority'
29,'2','3',1,'1','1','1','2','0','minority'
21,'3','4',0,'1','1','2','3','0','minority'
21,'3','4',1,'1','1','2','3','0','minority'
29,'4','4',0,'1','0','2','4','0','minority'
45,'3','4',3,'1','1','1','4','0','minority'
33,'2','3',2,'1','1','3','2','0','minority'
38,'4','4',1,'1','0','1','4','0','minority'
24,'4','4',0,'0','1','1','4','0','minority'
49,'4','4',6,'0','0','1','4','0','minority'
24,'2','4',1,'1','0','4','4','0','minority'
28,'4','4',0,'0','0','1','4','0','minority'
30,'4','4',2,'1','1','1','4','0','minority'
33,'4','4',2,'1','1','1','4','0','minority'
25,'4','4',1,'1','1','1','3','0','minority'
35,'4','4',3,'0','1','1','4','0','minority'
27,'2','4',4,'1','1','1','4','0','minority'
24,'2','2',3,'1','0','2','1','0','minority'
25,'2','3',0,'1','1','2','1','0','minority'
46,'2','4',6,'1','1','1','4','0','minority'
26,'2','2',3,'1','1','2','1','0','minority'
38,'2','2',1,'1','0','3','2','0','minority'
47,'1','2',3,'1','1','1','3','0','minority'
41,'1','3',10,'1','1','2','3','1','minority'
41,'2','3',1,'1','0','2','3','0','minority'
28,'4','4',5,'1','1','2','1','0','minority'
17,'2','2',3,'1','1','3','1','0','minority'
27,'2','3',5,'1','1','2','1','0','minority'
27,'1','2',4,'1','1','3','1','1','minority'
19,'2','3',0,'1','0','2','2','0','minority'
27,'2','4',3,'1','0','3','2','0','minority'
26,'4','3',4,'1','1','2','3','0','minority'
23,'2','4',2,'1','1','3','3','0','minority'
40,'3','3',3,'1','1','3','2','0','minority'
22,'4','4',0,'1','1','1','1','0','minority'
44,'3','4',4,'1','0','1','3','0','minority'
29,'2','3',2,'1','1','3','1','0','minority'
26,'2','3',3,'1','1','3','1','0','minority'
