@relation aux
@attribute vendor {'adviser','amdahl','apollo','basf','bti','burroughs','c.r.d','cdc','cambex','dec','dg','formation','four-phase','gould','hp','harris','honeywell','ibm','ipl','magnuson','microdata','nas','ncr','nixdorf','perkin-elmer','prime','siemens','sperry','sratus','wang'}
@attribute MYCT numeric
@attribute MMIN numeric
@attribute MMAX numeric
@attribute CACH numeric
@attribute CHMIN numeric
@attribute CHMAX numeric
@attribute class {'majority','minority'}
@data
'adviser',125,256,6000,256,16,128,'minority'
'amdahl',29,8000,32000,32,8,32,'minority'
'amdahl',29,8000,32000,32,8,32,'minority'
'amdahl',29,8000,32000,32,8,32,'minority'
'amdahl',29,8000,16000,32,8,16,'minority'
'amdahl',26,8000,32000,64,8,32,'minority'
'amdahl',23,16000,32000,64,16,32,'minority'
'amdahl',23,16000,32000,64,16,32,'minority'
'amdahl',23,16000,64000,64,16,32,'minority'
'amdahl',23,32000,64000,128,32,64,'minority'
'apollo',400,1000,3000,0,1,2,'majority'
'apollo',400,512,3500,4,1,6,'majority'
'basf',60,2000,8000,65,1,8,'majority'
'basf',50,4000,16000,65,1,8,'minority'
'bti',350,64,64,0,1,4,'majority'
'bti',200,512,16000,0,4,32,'majority'
'burroughs',167,524,2000,8,4,15,'majority'
'burroughs',143,512,5000,0,7,32,'majority'
'burroughs',143,1000,2000,0,5,16,'majority'
'burroughs',110,5000,5000,142,8,64,'minority'
'burroughs',143,1500,6300,0,5,32,'majority'
'burroughs',143,3100,6200,0,5,20,'majority'
'burroughs',143,2300,6200,0,6,64,'majority'
'burroughs',110,3100,6200,0,6,64,'majority'
'c.r.d',320,128,6000,0,1,12,'majority'
'c.r.d',320,512,2000,4,1,3,'majority'
'c.r.d',320,256,6000,0,1,6,'majority'
'c.r.d',320,256,3000,4,1,3,'majority'
'c.r.d',320,512,5000,4,1,5,'majority'
'c.r.d',320,256,5000,4,1,6,'majority'
'cdc',25,1310,2620,131,12,24,'minority'
'cdc',25,1310,2620,131,12,24,'minority'
'cdc',50,2620,10480,30,12,24,'majority'
'cdc',50,2620,10480,30,12,24,'majority'
'cdc',56,5240,20970,30,12,24,'minority'
'cdc',64,5240,20970,30,12,24,'minority'
'cdc',50,500,2000,8,1,4,'majority'
'cdc',50,1000,4000,8,1,5,'majority'
'cdc',50,2000,8000,8,1,5,'majority'
'cambex',50,1000,4000,8,3,5,'majority'
'cambex',50,1000,8000,8,3,5,'majority'
'cambex',50,2000,16000,8,3,5,'majority'
'cambex',50,2000,16000,8,3,6,'majority'
'cambex',50,2000,16000,8,3,6,'majority'
'dec',133,1000,12000,9,3,12,'majority'
'dec',133,1000,8000,9,3,12,'majority'
'dec',810,512,512,8,1,1,'majority'
'dec',810,1000,5000,0,1,1,'majority'
'dec',320,512,8000,4,1,5,'majority'
'dec',200,512,8000,8,1,8,'majority'
'dg',700,384,8000,0,1,1,'majority'
'dg',700,256,2000,0,1,1,'majority'
'dg',140,1000,16000,16,1,3,'majority'
'dg',200,1000,8000,0,1,2,'majority'
'dg',110,1000,4000,16,1,2,'majority'
'dg',110,1000,12000,16,1,2,'majority'
'dg',220,1000,8000,16,1,2,'majority'
'formation',800,256,8000,0,1,4,'majority'
'formation',800,256,8000,0,1,4,'majority'
'formation',800,256,8000,0,1,4,'majority'
'formation',800,256,8000,0,1,4,'majority'
'formation',800,256,8000,0,1,4,'majority'
'four-phase',125,512,1000,0,8,20,'majority'
'gould',75,2000,8000,64,1,38,'majority'
'gould',75,2000,16000,64,1,38,'minority'
'gould',75,2000,16000,128,1,38,'minority'
'hp',90,256,1000,0,3,10,'majority'
'hp',105,256,2000,0,3,10,'majority'
'hp',105,1000,4000,0,3,24,'majority'
'hp',105,2000,4000,8,3,19,'majority'
'hp',75,2000,8000,8,3,24,'majority'
'hp',75,3000,8000,8,3,48,'majority'
'hp',175,256,2000,0,3,24,'majority'
'harris',300,768,3000,0,6,24,'majority'
'harris',300,768,3000,6,6,24,'majority'
'harris',300,768,12000,6,6,24,'majority'
