@relation aux
@attribute Age numeric
@attribute Civil numeric
@attribute Can.US numeric
@attribute class {'majority','minority'}
@data
31.18637,22.83411,7.394009,'minority'
55.55914,18.82398,4.649171,'majority'
46.84475,14.74777,7.412544,'minority'
38.65486,16.11274,9.091577,'minority'
31.14866,14.08295,11.007282,'minority'
21.2955,14.26631,14.826195,'minority'
54.14984,15.5977,5.549157,'majority'
41.13384,21.82097,5.629469,'majority'
32.61265,20.9435,15.480536,'majority'
84.19693,18.86272,7.066119,'minority'
53.40041,23.1884,10.86045,'minority'
36.32352,14.18041,7.793161,'minority'
38.24642,17.52741,9.228531,'minority'
16.90371,19.21725,12.119771,'minority'
49.64308,21.88894,9.367929,'majority'
38.69632,17.99165,9.757161,'minority'
51.78011,23.46203,7.163988,'majority'
48.66861,20.55046,3.349288,'majority'
68.20977,20.71243,8.180897,'majority'
40.88956,16.8964,7.623984,'minority'
70.19353,22.46233,4.892901,'minority'
49.78243,24.57066,9.785597,'minority'
29.22088,21.2202,9.920431,'minority'
61.9452,22.34577,8.0944,'majority'
69.92424,24.33128,8.921105,'minority'
22.41093,23.81666,7.92407,'minority'
73.14208,25.81556,5.392962,'minority'
50.25041,18.48134,9.246144,'majority'
59.90858,25.38729,8.250439,'minority'
47.40993,15.54821,8.253026,'minority'
59.22101,21.84382,17.137112,'majority'
38.11056,23.03169,9.639585,'minority'
38.82649,24.6327,5.30688,'minority'
40.49625,18.48409,10.502372,'majority'
46.27111,23.04858,7.546625,'minority'
60.69474,15.60124,12.359905,'majority'
56.9887,21.24923,9.328762,'majority'
50.3076,24.42922,6.436592,'minority'
31.10928,19.38341,8.685407,'majority'
58.87905,20.6005,10.305835,'minority'
32.85657,17.12442,7.96686,'majority'
29.6662,21.65633,12.43705,'minority'
36.12341,21.3262,11.214588,'majority'
44.93738,24.62855,4.594869,'majority'
44.89563,23.35907,9.4516,'majority'
42.55286,19.47317,5.157527,'minority'
39.00749,18.88768,10.276209,'minority'
28.48044,19.01452,11.769225,'minority'
48.10498,19.59423,9.962055,'majority'
70.48336,22.7967,6.384136,'majority'
41.8252,18.17218,11.039347,'majority'
64.93879,22.27267,11.77969,'minority'
67.78167,17.01638,11.967506,'majority'
63.71057,16.96794,12.084795,'minority'
26.6358,18.66263,8.182603,'majority'
32.17431,12.31332,4.042098,'minority'
29.95373,11.29584,5.509431,'minority'
28.72693,10.82765,8.841081,'majority'
37.19417,19.13134,4.167812,'minority'
33.77907,23.11272,11.328474,'majority'
17.25073,20.25152,9.062926,'minority'
34.1775,17.75105,11.36868,'majority'
60.84548,19.47414,6.690848,'minority'
30.85411,17.00643,7.508841,'majority'
35.95761,20.01411,6.456081,'majority'
55.38179,21.8412,9.043536,'minority'
38.01466,13.82133,11.917102,'majority'
31.09277,20.50169,8.384408,'majority'
66.16185,20.98436,7.962789,'minority'
36.88611,26.62899,9.925015,'minority'
26.24839,16.37618,9.206887,'minority'
52.60568,26.44081,12.057291,'majority'
45.49325,15.32068,4.805596,'majority'
54.82461,20.53692,8.685458,'majority'
34.48473,21.45076,4.187657,'minority'
44.16966,11.97941,11.715031,'majority'
53.20888,19.28388,11.385194,'minority'
29.77773,21.62575,7.723369,'minority'
31.48746,18.88074,8.664322,'minority'
53.39722,27.6194,17.945732,'minority'
48.65152,13.79837,11.043041,'minority'
34.55501,20.04578,9.647154,'majority'
29.16693,13.75281,9.239416,'minority'
30.30996,16.85495,12.189791,'minority'
44.45727,21.99979,13.024019,'majority'
19.66987,15.12152,10.161239,'minority'
44.05678,21.30771,10.108403,'minority'
46.87087,22.14846,10.763728,'minority'
51.29583,20.27642,7.493956,'majority'
49.91967,10.24715,13.010366,'minority'
39.07306,18.61345,7.68082,'minority'
50.80356,12.18998,7.530484,'minority'
50.90849,19.67577,8.997192,'minority'
36.3622,21.77894,12.502025,'minority'
53.05573,8.139584,7.405971,'majority'
36.87878,21.065959,9.562442,'minority'
54.33095,24.20832,6.118009,'minority'
28.18625,16.265045,6.60199,'minority'
24.24785,12.435849,6.313998,'minority'
37.62636,27.308125,8.243452,'minority'
38.18392,18.391304,13.57448,'majority'
51.03951,22.727726,8.959712,'minority'
36.06605,28.928272,9.041547,'minority'
50.97347,12.843044,4.782641,'minority'
43.75758,14.928319,3.680485,'minority'
44.09445,15.717843,9.573348,'minority'
52.70474,17.011994,6.779439,'minority'
52.51761,24.448252,8.187178,'minority'
29.5821,18.732784,11.727603,'majority'
45.42079,20.391128,6.966569,'minority'
48.5508,20.766737,7.195625,'majority'
44.05683,28.215953,13.898368,'minority'
40.59795,24.29844,11.505016,'minority'
62.59774,20.919083,10.388981,'minority'
64.52395,21.890008,11.146322,'minority'
30.92853,15.16459,9.504353,'minority'
38.29697,22.088098,7.034256,'majority'
29.53164,26.062636,12.482617,'majority'
35.11554,19.199661,6.712813,'majority'
31.24179,16.232492,7.339393,'minority'
42.1688,21.48458,17.471127,'majority'
55.3512,12.377082,9.109013,'minority'
30.60091,15.007547,11.457449,'minority'
60.88695,17.859766,16.815912,'minority'
36.29126,19.428858,7.082709,'minority'
68.82696,22.461753,15.021384,'minority'
43.89838,17.414551,9.249423,'majority'
30.80643,19.919702,11.187533,'minority'
42.90932,17.627355,10.170691,'minority'
33.03918,11.400503,6.404351,'minority'
54.58098,27.654524,10.258914,'majority'
41.29086,17.79053,12.072433,'majority'
49.88762,30.529624,9.423292,'minority'
55.23307,17.773395,5.016054,'majority'
57.09559,9.726063,12.27063,'minority'
59.86246,18.180797,11.095749,'majority'
24.46155,18.242142,7.086545,'majority'
54.98171,21.274295,8.780093,'minority'
55.61813,16.746416,10.894854,'majority'
57.69144,22.466682,14.11415,'minority'
33.425,9.858587,11.561,'minority'
43.34206,22.688619,9.835175,'majority'
36.48562,20.910889,6.617271,'minority'
38.76935,21.933416,10.116841,'minority'
38.16749,18.797032,7.077623,'minority'
41.34369,13.519761,6.231202,'minority'
49.17934,23.330185,3.628963,'majority'
35.70558,22.617787,5.605206,'minority'
45.12984,18.996999,7.167319,'minority'
46.56104,6.65812,11.099651,'minority'
40.27925,17.691111,5.570295,'minority'
61.63084,19.977704,8.538952,'minority'
35.1276,16.813331,11.137175,'minority'
29.14377,12.271096,9.038587,'minority'
39.1668,21.347435,7.0454,'majority'
29.62863,14.875395,9.950431,'minority'
34.20681,17.661148,8.68912,'minority'
46.66138,12.902335,13.130124,'majority'
35.19904,22.229739,2.556927,'majority'
35.78227,20.435266,8.507245,'majority'
53.31686,18.036062,13.330184,'majority'
35.06906,8.709831,9.465636,'majority'
37.13511,23.812197,10.68145,'minority'
14.37154,18.770591,7.405816,'minority'
41.7808,15.801459,13.842197,'minority'
57.22514,19.712963,7.918347,'minority'
53.65893,19.433449,12.638032,'majority'
30.95053,18.961879,8.706693,'minority'
49.2282,18.87763,5.693897,'minority'
54.09913,11.926927,13.698176,'minority'
33.81192,14.61923,4.701334,'minority'
57.54606,17.33392,13.647675,'minority'
61.79682,12.790605,7.545257,'minority'
39.05817,23.198735,10.64464,'majority'
23.26574,14.75468,7.074944,'majority'
46.60449,23.442024,9.883852,'majority'
38.94647,19.126452,11.535457,'majority'
24.81329,15.740611,6.995572,'minority'
46.23423,24.792988,6.147864,'majority'
70.29629,12.006633,10.939566,'minority'
56.20188,9.823993,5.172895,'majority'
41.84103,16.692216,7.696428,'minority'
47.37795,15.37268,9.916922,'minority'
59.88674,20.321144,12.390783,'majority'
36.37065,14.117194,6.615176,'majority'
47.16227,16.765661,8.526417,'majority'
41.59091,21.145058,11.290545,'minority'
58.10445,10.391472,8.797247,'minority'
23.10132,13.331694,7.797748,'minority'
42.41766,19.863965,8.278627,'majority'
54.98083,14.711447,9.25665,'majority'
16.96162,9.443276,12.299489,'majority'
24.55376,17.227336,11.72417,'minority'
26.33586,21.311578,11.364397,'minority'
60.46877,18.99506,11.076342,'majority'
71.17361,17.724629,9.673689,'minority'
52.03409,22.92203,9.673463,'majority'
54.57599,14.074689,11.509513,'majority'
34.0869,27.941119,8.114843,'minority'
28.93464,15.151774,8.198336,'majority'
29.55655,17.148503,6.944246,'majority'
56.18342,19.764625,9.655405,'minority'
42.23851,18.262393,6.860709,'majority'
52.84455,19.3502,8.871596,'minority'
47.91213,15.538677,8.351936,'majority'
36.0419,11.216219,11.807213,'majority'
30.47829,23.393447,12.673605,'minority'
65.54899,12.05584,11.265896,'minority'
48.33793,16.846848,7.788146,'majority'
56.71327,21.515914,9.121818,'minority'
43.58911,6.419895,10.078188,'minority'
14.79888,11.516309,8.457625,'minority'
58.19262,22.645483,6.172131,'majority'
39.5164,16.291101,7.389027,'majority'
53.60874,21.199402,5.329041,'minority'
69.09475,14.534605,12.274006,'majority'
56.20882,15.296017,7.461629,'majority'
45.82362,24.153173,14.310264,'minority'
41.57724,23.944098,11.222187,'minority'
29.6466,21.842308,12.342195,'majority'
33.63723,14.7186,13.514638,'minority'
40.41466,15.349022,6.369101,'minority'
47.8814,21.949343,11.515462,'minority'
22.74127,14.627164,8.479685,'minority'
26.13136,20.462911,12.679117,'majority'
55.73829,22.162889,11.273514,'minority'
48.78034,11.767219,6.061764,'majority'
46.80493,14.563201,8.064897,'minority'
38.79711,19.180337,6.212635,'minority'
43.17981,16.219139,7.874239,'majority'
52.22239,17.289051,8.011162,'minority'
40.54111,15.563346,9.259186,'majority'
53.2794,19.124688,5.543775,'majority'
63.89846,20.45024,6.861956,'majority'
44.82385,19.974279,11.221296,'majority'
51.91839,17.062731,11.967294,'majority'
53.20617,17.752217,13.321251,'minority'
54.95166,15.104534,9.381776,'minority'
51.62719,15.047487,12.487891,'majority'
91.94459,19.588072,13.678752,'majority'
43.51311,23.198537,8.001716,'minority'
70.12461,14.423045,14.169959,'majority'
37.46485,15.54808,8.493279,'majority'
56.63624,19.480145,10.009363,'minority'
61.03989,22.615826,11.404817,'majority'
45.54119,17.43247,16.94234,'minority'
37.18458,19.633485,9.266108,'minority'
62.52043,26.458374,8.196291,'minority'
57.80513,21.729942,9.455248,'minority'
56.08272,9.117295,9.54956,'minority'
39.22445,27.625101,12.404199,'majority'
32.42597,15.384853,8.413819,'minority'
60.82567,22.273202,9.977028,'majority'
45.40749,13.339865,8.009123,'majority'
23.29609,16.060549,6.579686,'minority'
44.6705,13.013095,11.083303,'minority'
53.78453,6.052379,13.015147,'minority'
25.37142,9.34583,7.320648,'majority'
68.25812,15.937353,16.454549,'minority'
61.42267,16.935752,12.247836,'majority'
41.53368,12.195325,11.816814,'minority'
40.2063,15.436814,10.813097,'minority'
53.4671,12.377111,12.061945,'minority'
65.61153,18.597391,10.01307,'minority'
53.37299,26.434646,10.273378,'majority'
46.4507,19.3341,7.110023,'majority'
29.0559,20.507399,13.104157,'minority'
52.99711,19.309392,12.070356,'majority'
36.84536,22.482558,10.151361,'minority'
30.70343,15.406966,12.692309,'majority'
45.94253,14.706637,4.718794,'minority'
55.86264,15.431608,7.137593,'minority'
69.9651,22.382061,10.800928,'majority'
56.34068,18.495879,10.239097,'minority'
38.36676,18.280234,16.752202,'majority'
49.56986,23.419962,8.97405,'majority'
68.74405,12.436139,8.219016,'majority'
44.62145,21.201032,10.637473,'majority'
33.34112,24.880353,9.491382,'minority'
19.77634,12.156923,11.131433,'majority'
27.22417,20.468225,7.037702,'majority'
36.19063,22.686109,10.542895,'minority'
53.79924,17.374673,11.032784,'minority'
13.59649,15.039345,11.407595,'majority'
14.7543,17.694784,12.241643,'majority'
27.33502,22.780978,9.451763,'majority'
55.25422,22.256701,12.493911,'minority'
36.55557,15.541889,8.662405,'majority'
29.64146,25.258861,6.702272,'minority'
34.83502,21.971171,12.085118,'minority'
57.2056,24.720617,11.888648,'majority'
55.83575,17.593661,8.800183,'minority'
51.52365,16.488702,8.866583,'minority'
60.53169,20.297668,6.559844,'minority'
59.29629,23.000065,11.894792,'majority'
46.40014,15.871355,13.217841,'minority'
64.96523,17.465204,10.280937,'majority'
35.63511,10.577788,3.615873,'majority'
53.65412,22.340214,9.342364,'minority'
14.76188,19.999678,13.248253,'minority'
35.24474,12.642164,13.640046,'minority'
26.43518,16.053349,7.858698,'majority'
37.44892,21.012571,9.340258,'majority'
46.60059,23.367544,8.18216,'minority'
78.21658,17.493271,10.778804,'minority'
33.21391,22.908103,8.570925,'minority'
39.88428,21.290869,8.125732,'minority'
14.61102,9.710113,11.992576,'majority'
34.30317,6.890524,9.875692,'minority'
16.77547,15.077033,9.801464,'minority'
28.08265,14.427995,8.069751,'majority'
27.6012,16.828333,7.556235,'minority'
59.54406,24.950137,10.180288,'minority'
24.5961,27.212773,11.683876,'majority'
53.41126,17.664985,10.078392,'minority'
47.56726,21.31978,9.73627,'minority'
54.33082,21.944831,9.18143,'majority'
63.74151,22.16432,13.850695,'majority'
27.2174,18.047171,8.525893,'minority'
41.84361,19.288455,9.497381,'minority'
26.04513,21.551368,9.212071,'minority'
44.57237,24.121143,15.057086,'minority'
37.3878,23.17131,11.64671,'minority'
38.28696,12.825075,10.941141,'majority'
22.12108,24.133579,12.615256,'minority'
30.30861,18.133094,6.95887,'majority'
19.33831,20.906443,12.330411,'minority'
28.31919,20.562393,10.749802,'majority'
26.31214,18.513534,13.173749,'majority'
35.897613,14.365131,8.753803,'majority'
51.668536,19.338263,13.033627,'minority'
44.149149,18.697752,11.892224,'minority'
34.650692,18.848848,9.524935,'minority'
32.060495,19.597542,6.603394,'minority'
33.74492,12.447207,10.720647,'majority'
25.45733,19.532522,9.785742,'minority'
13.351258,20.846035,10.839996,'minority'
36.859204,19.695427,10.726029,'majority'
34.12618,18.26971,7.733952,'minority'
61.537254,18.123506,13.600122,'minority'
44.402586,17.103921,11.272765,'minority'
28.594007,16.089747,13.144303,'majority'
44.575691,18.59042,14.474273,'majority'
36.617377,22.197914,15.543708,'majority'
69.358881,11.306848,9.504275,'majority'
35.770033,15.31019,7.269958,'minority'
28.237745,14.017516,10.671207,'minority'
26.344159,20.405856,12.134417,'minority'
44.42449,24.706306,8.769124,'majority'
37.702111,21.815332,7.948505,'minority'
34.522211,17.550902,13.942453,'minority'
30.087291,24.255148,11.614764,'minority'
36.84046,18.088481,7.547867,'majority'
8.298575,19.093052,6.019185,'majority'
