@relation aux
@attribute Age numeric
@attribute Civil numeric
@attribute Can.US numeric
@attribute class {'majority','minority'}
@data
31.00364,23.26688,7.230798,'minority'
58.36153,17.76006,4.480846,'majority'
49.43488,14.58399,7.632419,'minority'
40.8756,16.54536,9.448964,'minority'
30.3865,14.09269,10.82812,'minority'
21.51478,14.62777,14.206017,'minority'
52.79831,16.20542,5.881757,'minority'
42.5571,21.26227,5.632542,'majority'
32.50106,20.83966,14.843309,'majority'
82.03417,18.70948,7.309711,'minority'
53.82093,24.90919,11.178427,'minority'
35.45004,14.98645,8.150639,'minority'
35.97384,18.26981,9.701499,'minority'
17.28443,19.28165,11.770937,'minority'
47.84746,21.9185,9.643621,'majority'
40.34323,17.07288,9.569179,'minority'
48.94204,23.28281,7.051396,'majority'
50.78407,20.55171,3.190454,'majority'
70.31722,20.43653,8.282282,'majority'
40.09599,16.5574,7.592497,'minority'
71.25636,22.05316,4.745073,'minority'
49.15592,25.29855,9.402155,'minority'
30.10877,20.51938,9.761904,'minority'
60.10861,21.42536,8.329093,'majority'
73.64907,23.04829,8.914683,'minority'
23.09566,23.14277,8.283638,'minority'
74.50653,26.67545,5.60768,'minority'
53.39023,18.14701,9.13196,'majority'
60.17807,23.91731,8.108079,'majority'
49.07031,15.7657,8.046996,'minority'
59.30952,22.50678,16.309953,'majority'
38.13897,23.45553,9.242191,'minority'
37.8643,24.35871,5.072251,'minority'
40.93404,17.9462,10.789831,'majority'
48.83539,21.78728,7.370431,'minority'
61.15319,15.45962,12.015777,'majority'
54.83277,21.48099,9.210092,'majority'
49.31054,23.79483,6.105405,'minority'
33.24291,19.62174,8.779893,'majority'
59.5954,20.19549,10.643159,'minority'
32.77764,17.36042,7.753344,'majority'
30.00506,20.7241,12.047433,'majority'
36.58341,20.62303,11.447005,'majority'
46.23877,24.32389,4.462721,'majority'
43.86243,23.74024,9.876809,'minority'
42.69428,19.54895,5.318793,'minority'
39.81298,19.33146,10.398321,'minority'
30.16931,18.75827,11.600249,'minority'
47.56914,19.27212,9.87405,'majority'
72.0344,21.73765,6.55889,'majority'
40.96265,19.02519,11.647133,'majority'
65.71708,21.56996,11.836892,'minority'
66.77646,17.31682,12.036039,'majority'
60.83708,16.99439,11.667376,'minority'
27.31667,18.36396,7.861619,'majority'
32.80462,12.07096,4.005709,'minority'
30.708,11.07358,5.301046,'minority'
29.00284,10.80803,9.067069,'majority'
37.59411,18.30526,4.025821,'minority'
34.42687,21.61645,11.537995,'majority'
17.07915,20.17793,8.948571,'minority'
34.36449,17.90967,11.154126,'majority'
59.2687,19.40296,6.94356,'minority'
31.89212,16.98409,7.451597,'majority'
37.56111,19.20495,6.586649,'majority'
55.98981,21.62523,9.481025,'minority'
40.28487,14.21112,11.62173,'majority'
30.46914,21.15591,8.372235,'majority'
66.03676,21.20303,7.654457,'minority'
34.21307,24.81469,9.823174,'minority'
27.37644,16.97518,9.042124,'minority'
53.23168,26.28034,12.118969,'majority'
45.92785,16.01805,4.801961,'majority'
54.18077,20.08232,8.73789,'majority'
38.01772,21.15527,4.208769,'minority'
43.59799,12.05415,11.74575,'majority'
53.09078,18.54568,11.796233,'minority'
29.99265,20.68949,7.729539,'minority'
32.87926,19.33031,8.940657,'minority'
51.41095,27.17447,18.329891,'minority'
47.9779,13.45111,11.132126,'minority'
35.55825,19.4097,9.945236,'majority'
29.14101,13.93297,8.971434,'minority'
29.61948,17.28113,12.037997,'minority'
44.66024,21.05967,13.070463,'majority'
20.11325,15.43279,9.895172,'minority'
46.15706,20.18894,9.892874,'minority'
47.35069,21.03832,10.722192,'minority'
51.10651,20.13089,7.559437,'majority'
48.27315,10.3783,12.464415,'minority'
38.5025,19.29832,7.388185,'minority'
53.28329,12.42103,7.895045,'minority'
49.31968,19.53016,8.827714,'minority'
38.0076,22.62315,12.517871,'minority'
53.36149,8.137238,6.994116,'majority'
35.75494,21.967824,9.813626,'minority'
56.64582,23.837922,5.935521,'minority'
28.05017,16.425267,6.254481,'minority'
24.43639,12.866443,6.416575,'minority'
36.74151,28.701275,8.129796,'minority'
38.44644,17.499035,13.788666,'majority'
51.60427,23.256626,9.162857,'minority'
36.29387,28.219647,8.963647,'minority'
49.3156,12.754421,4.901094,'minority'
42.52603,15.259872,3.753026,'minority'
45.03535,15.910588,9.673983,'minority'
53.58968,17.479152,6.593206,'minority'
50.87313,24.091647,7.940116,'minority'
29.3276,19.529077,10.961814,'majority'
43.23371,20.996555,6.999479,'minority'
47.97023,20.23424,7.154808,'majority'
44.65048,27.328523,14.482146,'minority'
40.88238,24.668105,11.988798,'minority'
60.2047,20.198805,10.273794,'minority'
65.15516,21.949589,10.585712,'minority'
32.20217,14.826891,9.218406,'minority'
37.17285,22.7837,7.315164,'majority'
30.44062,25.138475,12.562336,'majority'
35.86371,19.840702,6.635114,'majority'
30.63162,16.019532,7.514517,'minority'
42.60764,21.602281,17.086731,'majority'
57.73959,12.305945,9.00786,'minority'
31.38305,15.636574,10.525487,'minority'
58.13541,18.106384,16.486638,'minority'
35.82881,19.423973,7.309619,'minority'
68.88249,22.090155,14.8644,'minority'
46.70652,16.885189,9.01801,'majority'
31.12646,21.249885,11.697476,'minority'
42.66868,18.27247,9.760996,'minority'
31.61076,11.234297,6.70918,'minority'
56.33099,26.185505,9.934473,'majority'
39.33735,18.002097,11.847989,'majority'
48.91147,29.133117,9.501423,'minority'
56.47646,17.98387,4.972028,'majority'
56.26601,9.465954,12.34514,'minority'
58.69934,18.436137,11.033998,'majority'
25.31114,17.845583,7.296366,'majority'
57.00776,21.864336,8.63718,'minority'
53.28534,16.547591,11.538002,'majority'
60.53039,22.460815,13.184704,'minority'
33.55877,9.944407,11.112688,'minority'
43.61545,23.225817,9.68971,'majority'
35.07665,20.863693,6.412714,'minority'
39.57854,21.386383,10.567394,'minority'
37.49684,19.443633,7.181405,'minority'
42.52914,13.509524,6.119707,'minority'
50.02612,22.001886,3.777727,'majority'
37.92675,22.056532,5.764179,'minority'
44.07668,18.723714,7.390685,'minority'
45.43558,6.673574,11.40097,'minority'
40.49844,17.008992,5.818384,'minority'
61.05408,20.565637,8.52238,'minority'
35.79037,17.460296,11.633657,'minority'
28.61154,12.219782,8.810261,'majority'
38.61909,22.276471,7.378144,'majority'
30.43024,15.175543,9.922323,'minority'
34.25194,17.393009,8.575006,'minority'
47.02553,12.668068,12.700408,'majority'
36.08651,23.1413,2.608209,'majority'
36.16361,21.482519,8.227578,'majority'
51.27636,18.154857,12.712326,'majority'
34.33741,8.793269,9.926466,'majority'
39.02983,22.989621,11.581594,'minority'
14.54485,18.789259,7.402595,'minority'
40.82427,15.866612,13.035596,'minority'
56.78615,19.68982,8.022191,'minority'
53.02989,19.526131,12.109123,'majority'
31.49878,19.024942,8.896145,'minority'
50.23412,19.787703,5.533031,'minority'
53.99178,12.578931,13.095607,'minority'
34.0723,14.707079,4.89592,'minority'
56.19601,16.503532,13.385656,'minority'
60.22915,12.4947,7.50179,'minority'
38.6807,22.078657,10.618248,'majority'
22.17776,14.642207,7.217923,'majority'
45.0585,24.093971,9.99022,'majority'
39.84981,19.703417,11.699144,'majority'
25.4305,15.429456,7.093608,'minority'
44.76563,23.973883,5.933666,'majority'
73.36733,11.733168,10.995533,'minority'
56.37365,9.906396,5.211267,'majority'
41.03081,16.898016,7.652521,'minority'
45.64587,15.776473,10.100305,'minority'
56.14386,21.03647,11.88276,'majority'
34.79049,14.782463,6.677722,'majority'
44.75844,16.680885,8.766472,'majority'
42.79168,19.906883,11.603682,'minority'
55.41707,10.950193,8.879902,'minority'
23.32133,13.188867,7.662124,'minority'
42.29502,20.429714,8.408323,'majority'
51.27858,15.245707,9.451565,'majority'
16.7886,9.06328,11.997335,'majority'
26.24216,17.089928,11.837653,'minority'
27.75598,20.453001,11.35059,'minority'
61.60231,19.247508,11.361613,'majority'
74.02024,17.04064,10.040783,'minority'
50.88257,22.155829,9.489592,'majority'
54.2211,14.426043,11.446201,'majority'
35.31779,27.423508,8.196755,'minority'
29.05857,14.890987,8.472549,'majority'
29.51807,18.353492,7.181328,'majority'
55.34011,19.231154,9.582971,'minority'
42.91317,17.701509,7.06344,'majority'
51.72282,19.416366,9.005578,'minority'
48.81754,15.339876,8.739845,'majority'
37.51914,10.712529,11.295976,'majority'
31.54455,22.957156,12.259395,'minority'
65.7917,11.886188,11.844376,'minority'
48.02009,17.374585,7.796747,'majority'
58.56229,21.967335,9.257621,'minority'
44.48713,6.315057,9.811712,'minority'
14.57953,11.237777,8.279308,'minority'
58.3122,23.10348,6.086243,'majority'
40.25882,16.020814,7.445751,'majority'
51.29142,21.310604,5.45586,'minority'
69.57234,14.572804,12.102653,'majority'
53.57199,15.918359,7.844542,'majority'
44.9688,23.229244,14.841477,'minority'
41.52814,23.486412,10.526141,'minority'
28.76459,21.327665,12.099712,'majority'
35.05274,14.979399,14.092763,'minority'
38.61933,15.322167,6.472759,'minority'
48.05538,22.367462,10.664142,'minority'
24.50266,14.729203,8.933703,'minority'
25.70732,20.808404,12.411,'majority'
54.26287,22.4126,10.989368,'minority'
48.95898,11.603942,5.828759,'majority'
45.09315,15.266212,8.008589,'minority'
38.29034,18.484617,6.211857,'minority'
41.7139,15.859566,7.773611,'majority'
52.03118,18.611506,8.264502,'minority'
41.71347,14.937521,9.327289,'majority'
54.09985,19.386393,5.541414,'majority'
65.21012,20.593413,7.168427,'majority'
46.40792,20.109781,11.287679,'majority'
52.47934,17.47236,11.657545,'majority'
53.45748,18.45639,13.387248,'minority'
56.02569,15.269285,9.682898,'minority'
