@relation aux
@attribute Age_of_patient_at_time_of_operation numeric
@attribute Patients_year_of_operation {'58','59','60','61','62','63','64','65','66','67','68','69'}
@attribute Number_of_positive_axillary_nodes_detected numeric
@attribute class {'majority','minority'}
@data
30,'64',1,'majority'
30,'62',3,'majority'
30,'65',0,'majority'
31,'59',2,'majority'
31,'65',4,'majority'
33,'58',10,'majority'
33,'60',0,'majority'
34,'59',0,'minority'
34,'66',9,'minority'
34,'58',30,'majority'
34,'60',1,'majority'
34,'61',10,'majority'
34,'67',7,'majority'
34,'60',0,'majority'
35,'64',13,'majority'
35,'63',0,'majority'
36,'60',1,'majority'
36,'69',0,'majority'
37,'60',0,'majority'
37,'63',0,'majority'
37,'58',0,'majority'
37,'59',6,'majority'
37,'60',15,'majority'
37,'63',0,'majority'
38,'69',21,'minority'
38,'59',2,'majority'
38,'60',0,'majority'
38,'60',0,'majority'
38,'62',3,'majority'
38,'64',1,'majority'
38,'66',0,'majority'
38,'66',11,'majority'
38,'60',1,'majority'
38,'67',5,'majority'
39,'66',0,'minority'
39,'63',0,'majority'
39,'67',0,'majority'
39,'58',0,'majority'
39,'59',2,'majority'
39,'63',4,'majority'
40,'58',2,'majority'
40,'58',0,'majority'
40,'65',0,'majority'
41,'60',23,'minority'
41,'64',0,'minority'
41,'67',0,'minority'
41,'58',0,'majority'
41,'59',8,'majority'
41,'59',0,'majority'
41,'64',0,'majority'
41,'69',8,'majority'
41,'65',0,'majority'
41,'65',0,'majority'
42,'69',1,'minority'
42,'59',0,'minority'
42,'58',0,'majority'
42,'60',1,'majority'
42,'59',2,'majority'
42,'61',4,'majority'
42,'62',20,'majority'
42,'65',0,'majority'
42,'63',1,'majority'
43,'58',52,'minority'
43,'59',2,'minority'
43,'64',0,'minority'
43,'64',0,'minority'
43,'63',14,'majority'
43,'64',2,'majority'
43,'64',3,'majority'
43,'60',0,'majority'
43,'63',2,'majority'
43,'65',0,'majority'
43,'66',4,'majority'
44,'64',6,'minority'
44,'58',9,'minority'
44,'63',19,'minority'
44,'61',0,'majority'
44,'63',1,'majority'
44,'61',0,'majority'
44,'67',16,'majority'
