@relation aux
@attribute WMC numeric
@attribute DIT numeric
@attribute NOC numeric
@attribute CBO numeric
@attribute RFC numeric
@attribute LCOM numeric
@attribute NPM numeric
@attribute LOC numeric
@attribute class {'minority','majority'}
@data
4,0,2,1,4,0,4,7,'majority'
5,1,4,9,17,80,5,133,'minority'
3,6,0,26,630,46,1,465,'minority'
2,1,0,14,14,50,1,82,'minority'
4,1,0,15,16,25,4,61,'minority'
4,1,0,3,16,0,4,17,'majority'
5,2,0,17,75,51,3,92,'minority'
1,1,0,8,13,0,1,30,'minority'
4,2,0,4,24,33,0,25,'majority'
3,0,6,0,3,100,0,6,'majority'
6,1,0,5,18,62,5,45,'majority'
3,2,0,5,23,33,0,28,'majority'
5,2,0,5,25,72,0,91,'majority'
5,3,0,5,36,70,5,54,'majority'
4,1,0,1,16,0,3,18,'majority'
4,3,0,5,41,91,3,37,'majority'
5,1,0,5,17,60,3,91,'majority'
3,2,0,5,23,16,0,43,'majority'
8,1,0,5,20,96,8,177,'majority'
4,1,0,0,16,0,3,18,'majority'
3,3,0,3,69,0,3,15,'majority'
5,3,0,5,38,70,5,54,'majority'
3,2,0,4,23,0,0,37,'majority'
3,2,0,5,23,33,0,38,'majority'
5,2,0,7,25,9,0,72,'majority'
3,2,0,3,23,0,0,11,'majority'
5,2,0,5,25,30,0,38,'majority'
5,1,0,5,17,62,3,83,'majority'
4,1,0,1,16,16,3,20,'majority'
3,2,0,3,23,33,0,25,'majority'
4,2,0,3,24,50,0,25,'majority'
14,1,0,6,26,65,10,104,'majority'
7,2,0,5,27,46,0,123,'majority'
8,1,13,3,20,75,0,35,'majority'
46,2,1,34,66,95,26,666,'majority'
2,2,0,12,33,0,1,75,'majority'
6,0,1,3,6,0,6,8,'majority'
2,2,0,13,33,0,1,32,'majority'
12,1,0,4,24,48,0,80,'majority'
2,2,0,7,33,100,1,24,'majority'
3,2,0,9,34,58,2,49,'majority'
2,2,0,6,33,66,1,16,'majority'
4,2,0,10,35,0,2,67,'majority'
4,2,0,9,26,75,2,70,'majority'
2,2,0,5,33,0,1,12,'majority'
4,3,0,6,37,75,4,41,'majority'
7,1,1,0,7,0,7,10,'majority'
6,2,0,8,37,55,5,46,'majority'
0,0,1,1,0,0,0,77,'majority'
4,1,0,5,16,0,4,57,'majority'
2,2,0,6,33,0,2,53,'majority'
2,2,0,4,33,0,1,15,'majority'
2,2,0,6,33,50,1,47,'majority'
43,1,0,16,55,87,28,536,'minority'
2,2,0,3,33,0,1,12,'majority'
10,1,2,11,22,66,7,73,'majority'
86,2,0,37,108,0,84,146,'majority'
8,2,0,20,39,0,1,113,'majority'
49,1,0,6,61,89,6,2001,'majority'
10,1,0,5,22,19,10,50,'majority'
2,2,0,5,33,50,1,15,'majority'
4,2,0,9,35,58,3,63,'majority'
3,2,0,6,34,0,2,35,'majority'
0,0,12,1,0,0,0,246,'majority'
2,2,0,6,33,50,1,22,'majority'
407,1,0,63,419,87,83,6191,'majority'
4,1,0,14,16,41,3,100,'majority'
18,1,0,23,30,77,9,423,'majority'
7,2,0,4,71,0,5,29,'majority'
2,2,0,1,33,50,1,6,'majority'
7,2,0,9,38,71,6,33,'majority'
2,2,0,5,33,0,1,19,'majority'
52,1,1,32,64,93,38,617,'minority'
53,1,0,39,65,93,45,536,'minority'
36,1,0,46,48,0,14,602,'minority'
19,1,35,11,31,87,19,97,'majority'
3,2,0,13,34,66,1,46,'majority'
11,4,0,8,63,68,11,73,'majority'
1,2,0,1,16,0,1,11,'majority'
2,1,0,1,14,93,2,18,'majority'
8,1,0,17,20,52,3,129,'majority'
6,3,0,3,43,96,4,71,'majority'
5,1,0,4,17,70,5,35,'majority'
5,2,0,9,36,40,2,80,'majority'
1,1,0,0,13,0,1,8,'majority'
4,2,0,13,35,75,1,84,'majority'
11,4,0,5,63,72,10,146,'majority'
4,1,0,10,16,75,4,86,'majority'
2,2,0,3,33,50,2,12,'majority'
2,2,0,4,33,50,1,12,'majority'
1,4,0,1,42,0,1,7,'majority'
1,4,0,1,53,0,1,3,'majority'
3,1,1,4,15,66,3,25,'majority'
6,2,0,20,37,85,1,130,'majority'
15,3,3,2,52,63,11,73,'minority'
2,2,0,4,33,0,1,15,'majority'
2,0,1,2,2,0,2,8,'majority'
2,2,0,8,33,56,1,67,'majority'
2,2,0,8,33,50,1,22,'majority'
3,2,0,7,34,0,2,35,'majority'
24,1,0,16,36,92,22,109,'minority'
2,3,0,1,39,0,2,5,'majority'
3,2,0,11,34,66,1,84,'majority'
5,2,0,17,36,70,1,70,'majority'
6,2,0,25,37,0,6,98,'majority'
9,1,0,6,21,44,9,66,'minority'
13,1,0,11,25,75,13,128,'minority'
5,2,0,8,30,53,4,78,'majority'
12,2,0,27,88,71,8,364,'minority'
11,1,0,9,23,87,11,461,'minority'
20,1,0,9,32,88,20,123,'minority'
10,1,0,8,22,62,8,109,'minority'
17,2,0,19,42,85,8,504,'minority'
2,1,0,2,14,88,2,34,'majority'
4,1,0,2,16,50,4,24,'minority'
1,1,0,0,13,19,0,15,'minority'
9,1,0,16,21,80,7,642,'minority'
7,1,0,2,19,53,2,41,'majority'
39,1,0,60,51,97,35,624,'minority'
16,1,0,28,28,72,9,377,'minority'
2,2,0,2,21,0,2,50,'minority'
2,2,0,2,21,0,2,39,'majority'
