@relation aux
@attribute MYCT numeric
@attribute MMIN numeric
@attribute MMAX numeric
@attribute CACH numeric
@attribute CHMIN numeric
@attribute CHMAX numeric
@attribute class {'majority','minority'}
@data
125,256,6000,256,16,128,'minority'
29,8000,32000,32,8,32,'minority'
29,8000,32000,32,8,32,'minority'
29,8000,32000,32,8,32,'minority'
29,8000,16000,32,8,16,'minority'
26,8000,32000,64,8,32,'minority'
23,16000,32000,64,16,32,'minority'
23,16000,32000,64,16,32,'minority'
23,16000,64000,64,16,32,'minority'
23,32000,64000,128,32,64,'minority'
400,1000,3000,0,1,2,'majority'
400,512,3500,4,1,6,'majority'
60,2000,8000,65,1,8,'majority'
50,4000,16000,65,1,8,'minority'
350,64,64,0,1,4,'majority'
200,512,16000,0,4,32,'majority'
167,524,2000,8,4,15,'majority'
143,512,5000,0,7,32,'majority'
143,1000,2000,0,5,16,'majority'
110,5000,5000,142,8,64,'minority'
143,1500,6300,0,5,32,'majority'
143,3100,6200,0,5,20,'majority'
143,2300,6200,0,6,64,'majority'
110,3100,6200,0,6,64,'majority'
320,128,6000,0,1,12,'majority'
320,512,2000,4,1,3,'majority'
320,256,6000,0,1,6,'majority'
320,256,3000,4,1,3,'majority'
320,512,5000,4,1,5,'majority'
320,256,5000,4,1,6,'majority'
25,1310,2620,131,12,24,'minority'
25,1310,2620,131,12,24,'minority'
50,2620,10480,30,12,24,'majority'
50,2620,10480,30,12,24,'majority'
56,5240,20970,30,12,24,'minority'
64,5240,20970,30,12,24,'minority'
50,500,2000,8,1,4,'majority'
50,1000,4000,8,1,5,'majority'
50,2000,8000,8,1,5,'majority'
50,1000,4000,8,3,5,'majority'
50,1000,8000,8,3,5,'majority'
50,2000,16000,8,3,5,'majority'
50,2000,16000,8,3,6,'majority'
50,2000,16000,8,3,6,'majority'
133,1000,12000,9,3,12,'majority'
133,1000,8000,9,3,12,'majority'
810,512,512,8,1,1,'majority'
810,1000,5000,0,1,1,'majority'
320,512,8000,4,1,5,'majority'
200,512,8000,8,1,8,'majority'
700,384,8000,0,1,1,'majority'
700,256,2000,0,1,1,'majority'
140,1000,16000,16,1,3,'minority'
200,1000,8000,0,1,2,'majority'
110,1000,4000,16,1,2,'majority'
110,1000,12000,16,1,2,'majority'
220,1000,8000,16,1,2,'majority'
800,256,8000,0,1,4,'majority'
800,256,8000,0,1,4,'majority'
800,256,8000,0,1,4,'majority'
800,256,8000,0,1,4,'majority'
800,256,8000,0,1,4,'majority'
125,512,1000,0,8,20,'majority'
75,2000,8000,64,1,38,'minority'
75,2000,16000,64,1,38,'minority'
75,2000,16000,128,1,38,'minority'
90,256,1000,0,3,10,'majority'
105,256,2000,0,3,10,'majority'
105,1000,4000,0,3,24,'majority'
105,2000,4000,8,3,19,'majority'
75,2000,8000,8,3,24,'majority'
75,3000,8000,8,3,48,'majority'
175,256,2000,0,3,24,'majority'
300,768,3000,0,6,24,'majority'
300,768,3000,6,6,24,'majority'
300,768,12000,6,6,24,'majority'
300,768,4500,0,1,24,'majority'
300,384,12000,6,1,24,'majority'
300,192,768,6,6,24,'majority'
180,768,12000,6,1,31,'majority'
330,1000,3000,0,2,4,'majority'
