@relation aux
@attribute focal_depth numeric
@attribute latitude numeric
@attribute longitude numeric
@attribute class {'majority','minority'}
@data
33,-52.26,28.3,'minority'
36,45.53,150.93,'majority'
57,41.85,142.78,'majority'
67,29.19,141.15,'minority'
30,-21.66,169.81,'minority'
0,23.09,120.58,'minority'
139,-20.7,169.92,'minority'
60,22.33,93.58,'minority'
50,-13.64,165.96,'minority'
119,-16.31,-71.66,'minority'
197,36.48,70.95,'minority'
13,55.72,-155.95,'minority'
26,55.75,-155.88,'majority'
58,-5.14,151.77,'minority'
33,-44.6,37.34,'minority'
0,-44.2,167.96,'majority'
27,36.23,-7.61,'minority'
50,36.95,95.5,'majority'
46,14.42,56.36,'majority'
373,-6.44,127.96,'majority'
44,59.79,-149.3,'minority'
33,57.2,-153,'majority'
4,58.26,-151.25,'minority'
17,58.83,-149.29,'minority'
23,56.42,-152.01,'minority'
26,57.17,-152.45,'minority'
32,60.05,-148.39,'majority'
160,0.4,122.11,'minority'
25,56.45,-153.94,'minority'
12,60.36,-146.61,'minority'
10,60.51,-146.7,'minority'
35,59.79,-148.67,'minority'
22,56.65,-152.82,'majority'
51,3.91,96.56,'majority'
41,61.62,-147.39,'majority'
36,60.11,-146.71,'majority'
14,56.85,-152.69,'majority'
24,56.3,-154.4,'majority'
2,60.25,-146.71,'majority'
184,0.02,123.18,'majority'
22,56.6,-152.21,'majority'
6,61.51,-147.2,'majority'
33,-5.42,133.99,'minority'
99,-5.07,144.2,'minority'
23,45.35,150.5,'majority'
49,-3.88,35.06,'minority'
22,40.39,139.05,'minority'
16,40.55,139.21,'majority'
49,-2.73,139.33,'majority'
114,-56.45,-27.7,'majority'
101,-56.09,-27.55,'majority'
54,-56.17,-27.66,'minority'
42,43.43,147.05,'minority'
12,38.4,139.26,'minority'
76,43.16,146.17,'minority'
7,-1.76,149.75,'majority'
15,-0.5,122.61,'majority'
26,11.7,144.57,'minority'
96,18.31,-100.5,'minority'
189,-5.54,129.79,'minority'
127,-15.56,167.62,'minority'
20,47.09,153.77,'majority'
7,46.96,153.8,'majority'
4,47.09,153.72,'majority'
4,-27.82,-71.1,'minority'
22,14.17,96.12,'majority'
7,-41.13,-74.99,'minority'
392,-5.48,154.25,'majority'
32,-26.37,-71.78,'minority'
34,78.15,126.65,'minority'
107,-4.42,144.08,'minority'
33,-48.95,164.46,'minority'
89,8.9,93.03,'minority'
50,29.96,80.46,'majority'
41,-10.42,162.42,'majority'
34,40.3,28.23,'majority'
14,-31.4,-110.84,'majority'
585,-7.17,123.86,'majority'
37,28.04,93.75,'majority'
43,19.8,-56.11,'minority'
2,-45.6,96.19,'majority'
77,3.11,128.06,'majority'
33,-31.78,57.32,'majority'
60,-5.75,150.74,'minority'
31,-20.46,-173.89,'majority'
3,-6,150.75,'majority'
607,-4.34,122.14,'majority'
578,-27.46,-63.23,'majority'
25,40.49,139.05,'majority'
33,-20.45,-174.04,'majority'
32,-13.49,166.54,'majority'
23,27.4,87.84,'majority'
0,49.88,78.96,'majority'
94,-56.46,-27.05,'majority'
6,-2.4,125.98,'minority'
23,-2.64,126.04,'majority'
33,-51.7,139.8,'majority'
36,51.29,178.55,'minority'
40,51.39,179.59,'minority'
30,52.74,172.05,'majority'
40,53.05,170.83,'majority'
16,52.37,174.33,'majority'
43,53.14,-161.85,'minority'
32,52.05,175.6,'majority'
33,53.26,-161.74,'minority'
45,51.34,173.44,'majority'
17,28.62,142.42,'majority'
28,52.73,171.99,'majority'
91,2.97,125.91,'majority'
36,-25.67,-70.63,'minority'
41,-5.43,151.97,'majority'
33,-5.36,151.86,'minority'
14,53.02,171.35,'majority'
205,36.42,70.73,'minority'
36,40.75,142.96,'majority'
37,-1.47,126.5,'majority'
58,-31.81,-71.26,'minority'
22,55.2,162,'majority'
68,-32.42,-71.1,'minority'
41,40.73,142.85,'minority'
20,50.32,177.93,'minority'
45,38.38,22.26,'minority'
39,35.06,24.31,'majority'
12,-42.66,174.02,'majority'
5,64.69,-160.23,'majority'
51,54.25,-162.51,'majority'
29,21,120.68,'majority'
116,-7.02,129.61,'majority'
60,47.41,-122.29,'minority'
88,-55.99,-27.62,'majority'
136,-6.2,130.33,'majority'
80,22.41,121.26,'minority'
3,-14.6,167.41,'majority'
31,52.17,175.17,'majority'
98,-56.24,-27.9,'majority'
19,-7.53,128.6,'majority'
27,15.93,-46.69,'majority'
58,44.45,148.84,'minority'
58,7.21,123.53,'majority'
33,-54.59,5.4,'majority'
40,53.03,-167.55,'minority'
18,38.37,22.4,'majority'
18,51.11,-171.3,'minority'
33,-55.9,157.7,'minority'
50,-7.31,-81.27,'majority'
59,-5.21,151.65,'majority'
14,-15.47,166.91,'majority'
31,-15.75,167.12,'minority'
26,-15.86,167.36,'majority'
38,-5.25,152.13,'majority'
36,-0.47,-19.93,'minority'
328,-5.74,128.63,'minority'
79,-18.84,-68.75,'majority'
64,-22.91,-176.05,'majority'
29,16.33,-95.8,'minority'
30,58.29,-152.5,'minority'
22,6.51,-84.44,'majority'
55,-5.33,153.08,'minority'
30,-6.37,151.66,'majority'
62,-6.46,70.76,'minority'
178,7.13,126.58,'majority'
161,-1.4,-77.7,'majority'
41,36.35,141.38,'minority'
195,28.96,128.23,'minority'
45,36.44,141.37,'majority'
33,-54.74,-38.3,'majority'
5,50.02,178.28,'minority'
52,49.45,156.58,'majority'
28,-42.9,-75.13,'minority'
26,12.46,114.45,'majority'
159,44.21,145.45,'minority'
587,-9.04,-71.32,'majority'
35,-22.34,-113.98,'majority'
50,30.68,140.22,'majority'
29,43.87,87.74,'minority'
46,-29.34,-68.09,'majority'
