@relation aux
@attribute V1 {'1','2','3'}
@attribute V2 {'1','2','3'}
@attribute V3 {'1','2','3'}
@attribute V4 {'1','2','3'}
@attribute V5 {'1','2','3'}
@attribute V6 {'1','2','3'}
@attribute class {'minority','majority'}
@data
'3','3','1','1','1','3','majority'
'2','2','1','1','1','2','majority'
'1','1','1','1','1','1','majority'
'3','3','3','3','3','3','majority'
'2','2','3','3','3','2','majority'
'1','1','3','3','3','1','majority'
'3','3','1','3','3','3','majority'
'3','3','3','1','1','3','majority'
'3','3','1','3','1','3','majority'
'3','3','1','1','3','3','majority'
'3','3','3','3','1','3','majority'
'3','3','3','1','3','3','majority'
'2','2','1','3','3','2','majority'
'2','2','3','1','1','2','majority'
'2','2','1','3','1','2','majority'
'2','2','1','3','1','2','majority'
'2','2','1','1','3','2','majority'
'2','2','3','3','1','2','majority'
'2','2','3','1','3','2','majority'
'1','1','1','3','3','1','majority'
'1','1','3','1','1','1','majority'
'1','1','1','3','1','1','majority'
'1','1','1','1','3','1','majority'
'1','1','3','3','1','1','majority'
'1','1','3','1','3','1','majority'
'3','2','1','1','1','3','majority'
'2','3','1','1','1','2','majority'
'3','2','1','1','1','2','majority'
'3','2','3','3','3','3','majority'
'2','3','3','3','3','2','majority'
'3','2','3','3','3','2','majority'
'2','2','1','3','3','3','majority'
'3','2','3','1','1','3','majority'
'2','3','1','3','1','3','majority'
'2','3','1','1','3','2','majority'
'3','2','3','3','1','2','majority'
'2','3','3','1','3','1','majority'
'1','2','1','3','3','1','majority'
'1','3','3','1','1','1','majority'
'1','1','1','3','1','3','majority'
'1','1','1','1','3','2','majority'
'2','1','3','3','3','2','majority'
'1','2','3','1','3','2','majority'
'1','3','3','1','3','2','majority'
'2','2','3','1','3','3','majority'
'2','2','3','3','3','3','majority'
'3','1','3','3','3','2','majority'
'1','3','3','3','3','2','majority'
'1','2','2','1','3','3','majority'
'1','3','3','1','3','3','majority'
'3','1','3','1','3','2','majority'
'1','2','1','1','3','3','majority'
'1','2','1','1','3','2','majority'
'1','2','1','1','3','1','majority'
'1','1','2','3','3','1','majority'
'1','1','2','3','3','3','majority'
'1','3','3','3','3','3','majority'
'1','3','1','1','1','3','majority'
'2','3','2','3','3','1','majority'
'2','2','3','3','3','1','majority'
'1','1','1','3','3','1','majority'
'1','1','1','3','3','3','majority'
'3','1','1','3','3','3','majority'
'1','2','2','3','3','1','majority'
'3','2','2','3','3','1','majority'
'1','1','2','3','3','3','majority'
'3','1','3','2','3','2','majority'
'3','1','2','1','3','2','majority'
'3','3','3','1','3','2','majority'
'3','1','3','2','3','2','majority'
'3','1','1','3','3','2','majority'
'3','3','1','3','3','3','majority'
'3','1','3','1','3','3','majority'
'3','3','1','1','3','2','majority'
'1','1','1','1','1','3','majority'
'3','3','1','3','3','2','majority'
'1','3','2','3','1','3','majority'
'1','3','1','3','1','3','majority'
'3','1','2','1','3','1','majority'
'1','3','2','3','1','3','majority'
'3','1','1','1','3','1','majority'
'1','3','1','3','1','3','majority'
'1','3','3','3','3','3','majority'
'3','1','1','2','3','3','majority'
'1','3','1','1','1','3','majority'
'1','2','2','2','3','3','majority'
'2','3','2','3','3','1','majority'
'3','2','1','2','1','3','majority'
'2','2','3','3','3','1','majority'
'1','1','1','3','3','1','majority'
'1','1','1','3','3','3','majority'
'3','1','1','3','3','3','majority'
'1','2','2','3','3','1','majority'
'1','1','2','3','3','3','majority'
'3','1','3','2','3','2','majority'
'3','3','3','1','3','2','majority'
'3','1','3','2','3','2','majority'
'3','1','1','3','3','2','majority'
'3','3','1','3','3','3','majority'
'3','1','3','1','3','3','majority'
'3','3','1','1','3','2','majority'
'1','1','1','1','1','3','majority'
'3','3','1','3','3','2','majority'
'1','3','2','3','1','3','majority'
'3','1','1','1','3','1','majority'
'1','3','1','3','1','3','majority'
'1','3','2','3','1','3','majority'
'1','3','1','3','1','3','majority'
'3','3','1','1','1','3','majority'
'2','2','1','1','1','2','majority'
'1','1','1','1','1','1','majority'
'3','3','3','3','3','3','majority'
'2','2','3','3','3','2','majority'
'1','1','3','3','3','1','majority'
'3','3','1','3','3','3','majority'
'3','3','3','1','1','3','majority'
'3','3','1','3','1','3','majority'
'3','3','1','1','3','3','majority'
'3','3','3','3','1','3','majority'
'3','3','3','1','3','3','majority'
'2','2','1','3','3','2','majority'
'2','2','3','1','1','2','majority'
'2','2','1','3','1','2','majority'
'2','2','1','3','1','2','majority'
'2','2','1','1','3','2','majority'
'2','2','3','3','1','2','majority'
'2','2','3','1','3','2','majority'
'1','1','1','3','3','1','majority'
'1','1','3','1','1','1','majority'
'1','1','1','3','1','1','majority'
'1','1','1','1','3','1','majority'
'1','1','3','3','1','1','majority'
'1','1','3','1','3','1','majority'
'3','2','1','1','1','3','majority'
'2','3','1','1','1','2','majority'
'3','2','1','1','1','2','majority'
'3','2','3','3','3','3','majority'
'2','3','3','3','3','2','majority'
'3','2','3','3','3','2','majority'
'2','2','1','3','3','3','majority'
'3','2','3','1','1','3','majority'
'2','3','1','3','1','3','majority'
'2','3','1','1','3','2','majority'
'1','2','2','2','2','1','minority'
'3','2','2','2','2','2','minority'
'2','3','2','2','2','2','minority'
'1','3','2','1','2','2','minority'
'2','2','2','2','2','2','minority'
'2','2','2','1','2','1','minority'
'2','2','2','2','2','3','minority'
'2','2','2','2','2','1','minority'
'2','2','2','1','2','3','minority'
'2','2','2','1','2','2','minority'
'2','2','1','2','2','2','minority'
'3','2','2','2','2','2','minority'
'1','2','2','2','2','2','minority'
'2','2','2','2','2','2','minority'
'3','2','2','2','1','1','minority'
'1','2','2','2','2','1','minority'
'1','2','2','2','2','1','minority'
'1','1','2','2','2','3','minority'
'1','2','2','2','2','2','minority'
'3','1','2','2','2','1','minority'
'3','2','2','2','2','3','minority'
'3','1','2','2','2','2','minority'
'3','2','2','2','2','2','minority'
'2','1','2','2','2','3','minority'
'2','2','2','2','2','1','minority'
'1','1','2','2','2','2','minority'
'1','1','2','2','2','2','minority'
'3','3','2','2','2','2','minority'
'1','3','2','2','2','2','minority'
'3','1','2','2','2','2','minority'
'1','2','2','2','2','2','minority'
'2','2','2','2','2','2','minority'
'2','1','2','2','2','2','minority'
'3','2','2','2','2','2','minority'
'2','3','2','2','2','2','minority'
'1','3','2','1','2','2','minority'
'2','2','2','3','2','3','minority'
'2','2','2','2','2','2','minority'
'2','2','2','1','2','1','minority'
'2','2','2','3','2','2','minority'
'2','2','2','2','2','3','minority'
'2','2','2','2','2','1','minority'
'2','2','2','1','2','3','minority'
'2','2','2','1','2','2','minority'
'2','2','1','2','2','2','minority'
'3','2','2','2','2','2','minority'
'1','2','2','2','2','2','minority'
'2','2','2','2','2','2','minority'
'3','2','2','2','1','1','minority'
'3','2','2','2','1','1','minority'
'1','2','2','2','2','1','minority'
'2','2','2','2','2','1','minority'
'2','3','2','2','2','2','minority'
'1','3','2','1','2','2','minority'
'2','2','2','2','2','2','minority'
'2','2','2','1','2','1','minority'
'2','2','2','3','2','2','minority'
'2','2','2','2','2','3','minority'
'2','2','2','2','2','1','minority'
'2','2','2','1','2','3','minority'
'3','2','2','2','2','3','minority'
'3','1','2','2','2','2','minority'
'3','2','2','2','2','2','minority'
'2','1','2','2','2','3','minority'
'2','2','2','2','2','1','minority'
'1','1','2','2','2','2','minority'
'1','1','2','2','2','2','minority'
'2','2','2','1','2','2','minority'
'2','2','1','2','2','2','minority'
'3','2','2','2','2','2','minority'
'1','2','2','2','2','2','minority'
'2','2','2','2','2','2','minority'
'2','1','3','1','2','3','minority'
'3','2','2','2','2','2','minority'
'2','1','2','2','2','3','minority'
'2','2','2','2','2','1','minority'
'1','1','2','2','2','2','minority'
'1','1','2','2','2','3','minority'
'1','2','2','2','2','2','minority'
'3','1','2','2','2','1','minority'
'3','2','2','2','2','3','minority'
'3','1','2','2','2','2','minority'
'3','2','2','2','2','2','minority'
'2','1','2','2','2','3','minority'
'2','2','2','2','2','1','minority'
'1','1','2','2','2','2','minority'
'1','1','2','2','2','2','minority'
'1','3','2','2','2','2','minority'
'3','1','2','2','2','2','minority'
'1','2','2','2','2','2','minority'
'2','2','2','2','2','2','minority'
'2','1','2','2','2','2','minority'
'1','2','2','2','2','1','minority'
'3','2','2','2','2','2','minority'
'2','3','2','2','2','2','minority'
'1','3','2','1','2','2','minority'
'2','2','2','2','2','2','minority'
'2','2','2','1','2','1','minority'
'2','2','2','2','2','3','minority'
'2','2','2','2','2','1','minority'
'2','2','2','1','2','3','minority'
'2','2','2','1','2','2','minority'
'2','2','1','2','2','2','minority'
'3','2','2','2','2','2','minority'
'1','2','2','2','2','2','minority'
'2','2','2','2','2','2','minority'
'3','2','2','2','1','1','minority'
