@relation aux
@attribute heart_rate numeric
@attribute sleep_state {'1','2','3','4'}
@attribute class {'minority','majority'}
@data
152,'4','majority'
156,'4','majority'
147,'4','majority'
145,'4','majority'
129,'4','majority'
131,'4','majority'
137,'4','majority'
138,'4','majority'
139,'4','majority'
141,'4','majority'
142,'4','majority'
128,'4','majority'
142,'4','majority'
155,'4','majority'
150,'4','majority'
146,'4','majority'
150,'4','majority'
146,'4','majority'
151,'4','majority'
145,'4','majority'
146,'4','majority'
146,'4','majority'
139,'4','majority'
135,'4','majority'
141,'4','majority'
145,'4','majority'
149,'4','majority'
140,'4','majority'
146,'4','majority'
147,'4','majority'
144,'4','majority'
140,'4','majority'
135,'4','majority'
118,'4','majority'
120,'4','majority'
135,'4','majority'
146,'4','majority'
139,'4','majority'
138,'4','majority'
129,'4','majority'
130,'4','majority'
128,'4','majority'
125,'4','majority'
127,'4','majority'
131,'4','majority'
132,'4','majority'
145,'4','majority'
153,'4','majority'
154,'4','majority'
145,'4','majority'
146,'4','majority'
140,'4','majority'
134,'4','majority'
128,'4','majority'
127,'4','majority'
140,'4','majority'
143,'4','majority'
138,'4','majority'
124,'4','majority'
123,'4','majority'
131,'4','majority'
151,'4','majority'
136,'4','majority'
126,'2','majority'
127,'2','majority'
129,'2','majority'
124,'2','majority'
128,'2','majority'
130,'2','majority'
121,'2','majority'
141,'2','majority'
128,'2','majority'
130,'2','majority'
124,'2','majority'
128,'1','majority'
122,'1','majority'
130,'1','majority'
130,'1','majority'
135,'1','majority'
125,'1','majority'
123,'1','majority'
127,'1','majority'
125,'1','majority'
125,'1','majority'
129,'1','majority'
128,'1','majority'
130,'1','majority'
128,'1','majority'
130,'1','majority'
129,'1','majority'
129,'1','majority'
129,'1','majority'
130,'1','majority'
131,'1','majority'
131,'1','majority'
130,'1','majority'
131,'1','majority'
131,'1','majority'
132,'1','majority'
129,'1','majority'
131,'1','majority'
131,'1','majority'
128,'1','majority'
127,'1','majority'
128,'1','majority'
129,'1','majority'
131,'1','majority'
131,'1','majority'
131,'1','majority'
131,'1','majority'
129,'1','majority'
125,'1','majority'
124,'1','majority'
130,'1','majority'
125,'1','majority'
126,'1','majority'
127,'1','majority'
124,'1','majority'
122,'1','majority'
128,'1','majority'
128,'1','majority'
126,'1','majority'
130,'1','majority'
114,'1','majority'
123,'1','majority'
116,'3','majority'
127,'3','majority'
123,'3','majority'
131,'3','majority'
125,'3','majority'
123,'3','majority'
125,'3','majority'
123,'3','majority'
114,'3','majority'
120,'3','minority'
130,'3','majority'
126,'3','majority'
112,'3','majority'
114,'3','majority'
125,'3','majority'
128,'3','majority'
115,'3','minority'
121,'3','majority'
124,'3','majority'
128,'3','majority'
118,'3','minority'
119,'3','minority'
121,'3','minority'
130,'3','minority'
115,'3','minority'
124,'3','minority'
129,'3','minority'
125,'3','minority'
120,'3','minority'
118,'3','minority'
121,'3','minority'
120,'3','minority'
119,'3','minority'
127,'3','minority'
120,'3','minority'
124,'3','minority'
121,'3','minority'
120,'3','minority'
122,'3','minority'
118,'3','minority'
112,'3','minority'
115,'3','minority'
120,'3','minority'
123,'3','minority'
125,'3','minority'
113,'2','minority'
124,'2','minority'
133,'2','minority'
117,'2','minority'
121,'2','minority'
121,'2','minority'
117,'2','minority'
124,'2','minority'
133,'2','minority'
129,'2','minority'
120,'2','minority'
129,'2','minority'
114,'2','minority'
119,'2','minority'
123,'2','minority'
131,'2','minority'
114,'2','minority'
124,'1','minority'
123,'1','minority'
128,'1','minority'
117,'1','minority'
118,'1','minority'
118,'1','minority'
120,'1','minority'
119,'1','minority'
120,'1','minority'
124,'1','minority'
126,'1','minority'
124,'1','minority'
122,'1','minority'
122,'1','minority'
118,'1','minority'
123,'1','minority'
122,'1','minority'
124,'1','minority'
124,'1','minority'
125,'1','minority'
124,'1','minority'
122,'1','minority'
122,'1','minority'
124,'1','minority'
124,'1','minority'
121,'1','minority'
123,'1','minority'
123,'1','minority'
124,'1','minority'
121,'1','minority'
124,'1','minority'
124,'1','minority'
123,'1','minority'
120,'1','minority'
123,'1','minority'
121,'1','minority'
124,'1','minority'
122,'1','minority'
123,'1','minority'
124,'1','minority'
122,'1','minority'
122,'1','minority'
119,'1','minority'
123,'1','minority'
120,'1','minority'
121,'1','minority'
120,'1','minority'
122,'1','minority'
119,'1','minority'
119,'1','minority'
116,'1','minority'
119,'1','minority'
117,'1','minority'
120,'1','minority'
110,'1','minority'
112,'1','minority'
112,'1','minority'
