@relation aux
@attribute motor {'E','B','D','C','A'}
@attribute screw {'E','D','A','B','C'}
@attribute pgain {'5','6','4','3'}
@attribute vgain {'4','5','3','2','1'}
@attribute class {'majority','minority'}
@data
'E','E','5','4','majority'
'B','D','6','5','majority'
'D','D','4','3','majority'
'B','A','3','2','minority'
'D','B','6','5','majority'
'E','C','4','3','majority'
'C','A','3','2','minority'
'A','A','3','2','minority'
'C','A','6','5','majority'
'D','A','4','1','majority'
'B','E','6','5','majority'
'E','C','5','4','majority'
'B','C','4','1','majority'
'E','C','3','1','majority'
'C','C','5','4','majority'
'E','B','3','2','minority'
'D','C','3','1','majority'
'B','C','5','4','majority'
'B','B','5','4','majority'
'C','E','4','2','majority'
'E','D','4','3','majority'
'A','D','4','3','majority'
'B','C','6','5','majority'
'A','C','4','2','majority'
'A','B','6','5','majority'
'E','C','6','5','majority'
'A','A','3','1','minority'
'A','E','4','2','majority'
'C','D','3','2','minority'
'B','B','3','2','minority'
'B','E','4','2','majority'
'B','C','3','1','minority'
'C','E','4','1','majority'
'C','A','6','2','majority'
'C','C','6','5','majority'
'E','E','3','2','majority'
'D','E','3','1','majority'
'E','C','4','2','majority'
'C','B','6','5','majority'
'C','D','4','1','majority'
'D','B','4','1','majority'
'C','B','4','3','majority'
'C','C','4','3','majority'
'B','D','4','1','majority'
'B','A','5','3','majority'
'A','B','4','3','majority'
'B','A','4','1','majority'
'E','D','4','2','majority'
'C','E','3','2','minority'
'D','D','3','1','majority'
'D','A','6','5','majority'
'C','B','3','2','minority'
'B','E','3','2','minority'
'C','D','5','4','majority'
'B','B','4','2','majority'
'A','E','4','3','majority'
'A','A','4','2','majority'
'B','D','4','3','majority'
'E','A','3','2','minority'
'B','C','4','3','majority'
'E','B','4','2','majority'
'E','A','5','4','majority'
'E','B','5','4','majority'
'C','A','6','1','majority'
'D','A','4','3','majority'
'C','B','4','2','majority'
'D','B','3','2','minority'
'D','C','3','2','majority'
'C','A','5','2','majority'
'B','D','4','2','majority'
'B','A','6','5','majority'
'D','A','4','2','majority'
'C','B','5','4','majority'
'A','E','6','5','majority'
'A','C','4','1','majority'
'A','E','5','4','majority'
'E','C','4','1','majority'
'B','B','3','1','minority'
'A','D','3','2','minority'
'E','D','3','2','majority'
'E','A','3','1','minority'
'A','C','6','5','majority'
'C','E','5','4','majority'
'C','A','5','4','majority'
'E','A','6','5','majority'
'B','E','5','4','majority'
'E','E','4','3','majority'
'B','A','4','2','majority'
'B','D','5','4','majority'
'C','C','4','2','majority'
'A','A','5','3','majority'
'C','E','4','3','majority'
'A','A','4','3','majority'
'C','A','6','3','majority'
'A','E','4','1','majority'
'A','D','6','5','majority'
'E','D','3','1','majority'
'C','B','4','1','majority'
'B','D','3','2','minority'
'B','B','4','3','majority'
'B','C','4','2','majority'
'A','E','3','2','minority'
'B','D','3','1','minority'
'D','B','5','4','majority'
'C','C','4','1','majority'
'C','D','4','2','majority'
'E','B','4','1','majority'
'D','B','3','1','majority'
'E','B','6','5','majority'
'D','A','3','1','minority'
'A','D','5','4','majority'
'C','A','4','1','majority'
'C','D','6','5','majority'
'B','A','4','3','majority'
'E','A','4','3','majority'
'A','A','4','1','majority'
'A','C','4','3','majority'
'E','D','6','5','majority'
'E','A','4','2','majority'
'C','D','3','1','minority'
'B','B','4','1','majority'
'C','A','4','2','majority'
'C','A','5','1','majority'
'C','E','3','1','majority'
'C','A','3','1','minority'
'C','A','4','3','majority'
'C','C','3','1','minority'
'D','A','5','4','majority'
'A','B','5','4','majority'
'C','C','3','2','minority'
'E','D','5','4','majority'
'D','C','4','3','majority'
'E','E','6','5','majority'
'D','B','4','2','majority'
'A','D','4','2','majority'
'B','B','6','5','majority'
'A','B','4','1','majority'
'A','C','5','4','majority'
'B','E','4','1','majority'
'C','B','3','1','minority'
'E','E','4','2','majority'
'B','E','4','3','majority'
'A','E','3','1','minority'
'A','B','4','2','majority'
'A','C','3','1','minority'
'E','C','3','2','minority'
'B','A','3','1','minority'
'D','D','3','2','minority'
'A','C','3','2','minority'
'E','A','4','1','majority'
'B','A','5','4','majority'
'E','E','3','1','majority'
'D','E','3','2','majority'
'E','B','3','1','minority'
'A','D','4','1','majority'
'A','D','3','1','minority'
'E','B','4','3','majority'
'A','B','3','1','minority'
'D','B','4','3','majority'
'A','A','5','4','majority'
'D','A','3','2','minority'
'C','E','6','5','majority'
'B','C','3','2','minority'
'B','E','3','1','minority'
'C','D','4','3','majority'
'A','B','3','2','minority'
'A','A','6','5','majority'
