@relation aux
@attribute fathers_occupation {'Clerk','Craftsman-Construction','Craftsman-Manufacturing','Craftsmen-Other','Farm_Laborer','Farmer/Farm_Manager','Laborer-Manufacturing','Laborer-Nonmanufacturing','Manager','Operative-Manufacturing','Operative-Nonmanufacturing','Professional-Salaried','Professional_Self-Employed','Proprietor','Salesman-Nonretail','Salesman-Retail','Service_Worker'}
@attribute sons_occupation {'Clerk','Craftsman-Construction','Craftsman-Manufacturing','Craftsmen-Other','Farm_Laborer','Farmer/Farm_Manager','Laborer-Manufacturing','Laborer-Nonmanufacturing','Manager','Operative-Manufacturing','Operative-Nonmanufacturing','Professional-Salaried','Professional_Self-Employed','Proprietor','Salesman-Nonretail','Salesman-Retail','Service_Worker'}
@attribute family_structure {'intact','nonintact'}
@attribute race {'black','white'}
@attribute counts_for_sons_first_occupation numeric
@attribute class {'majority','minority'}
@data
'Professional_Self-Employed','Professional_Self-Employed','intact','white',22.9,'minority'
'Professional_Self-Employed','Professional-Salaried','intact','white',96.2,'minority'
'Professional_Self-Employed','Manager','intact','white',18.1,'minority'
'Professional_Self-Employed','Salesman-Nonretail','intact','white',8.9,'majority'
'Professional_Self-Employed','Proprietor','intact','white',2.8,'majority'
'Professional_Self-Employed','Clerk','intact','white',22.4,'majority'
'Professional_Self-Employed','Salesman-Retail','intact','white',5.7,'majority'
'Professional_Self-Employed','Craftsman-Manufacturing','intact','white',7.6,'majority'
'Professional_Self-Employed','Craftsmen-Other','intact','white',6.6,'majority'
'Professional_Self-Employed','Craftsman-Construction','intact','white',6.8,'majority'
'Professional_Self-Employed','Service_Worker','intact','white',3.9,'majority'
'Professional_Self-Employed','Operative-Nonmanufacturing','intact','white',9.6,'majority'
'Professional_Self-Employed','Operative-Manufacturing','intact','white',8,'majority'
'Professional_Self-Employed','Laborer-Manufacturing','intact','white',2.4,'majority'
'Professional_Self-Employed','Laborer-Nonmanufacturing','intact','white',5.9,'majority'
'Professional_Self-Employed','Farmer/Farm_Manager','intact','white',1.4,'majority'
'Professional_Self-Employed','Farm_Laborer','intact','white',0,'majority'
'Professional-Salaried','Professional_Self-Employed','intact','white',7.3,'minority'
'Professional-Salaried','Professional-Salaried','intact','white',338.6,'minority'
'Professional-Salaried','Manager','intact','white',54.5,'minority'
'Professional-Salaried','Salesman-Nonretail','intact','white',36.2,'minority'
'Professional-Salaried','Proprietor','intact','white',8.4,'majority'
'Professional-Salaried','Clerk','intact','white',96.6,'minority'
'Professional-Salaried','Salesman-Retail','intact','white',33.1,'minority'
'Professional-Salaried','Craftsman-Manufacturing','intact','white',26.8,'minority'
'Professional-Salaried','Craftsmen-Other','intact','white',54.7,'minority'
'Professional-Salaried','Craftsman-Construction','intact','white',13.1,'minority'
'Professional-Salaried','Service_Worker','intact','white',24.8,'minority'
'Professional-Salaried','Operative-Nonmanufacturing','intact','white',48.4,'minority'
'Professional-Salaried','Operative-Manufacturing','intact','white',62.3,'minority'
'Professional-Salaried','Laborer-Manufacturing','intact','white',15.2,'majority'
'Professional-Salaried','Laborer-Nonmanufacturing','intact','white',23.4,'minority'
'Professional-Salaried','Farmer/Farm_Manager','intact','white',3.3,'majority'
'Professional-Salaried','Farm_Laborer','intact','white',11.1,'majority'
'Manager','Professional_Self-Employed','intact','white',12.8,'minority'
'Manager','Professional-Salaried','intact','white',293.2,'minority'
'Manager','Manager','intact','white',112.8,'minority'
'Manager','Salesman-Nonretail','intact','white',82,'minority'
'Manager','Proprietor','intact','white',4.4,'minority'
'Manager','Clerk','intact','white',128.1,'minority'
'Manager','Salesman-Retail','intact','white',59,'minority'
'Manager','Craftsman-Manufacturing','intact','white',35.4,'minority'
'Manager','Craftsmen-Other','intact','white',49.8,'minority'
'Manager','Craftsman-Construction','intact','white',28.5,'minority'
'Manager','Service_Worker','intact','white',28.6,'minority'
'Manager','Operative-Nonmanufacturing','intact','white',72.9,'minority'
'Manager','Operative-Manufacturing','intact','white',82.9,'minority'
'Manager','Laborer-Manufacturing','intact','white',13,'majority'
'Manager','Laborer-Nonmanufacturing','intact','white',52.8,'minority'
'Manager','Farmer/Farm_Manager','intact','white',5.4,'majority'
'Manager','Farm_Laborer','intact','white',5.2,'majority'
'Salesman-Nonretail','Professional_Self-Employed','intact','white',6.5,'majority'
'Salesman-Nonretail','Professional-Salaried','intact','white',114,'minority'
'Salesman-Nonretail','Manager','intact','white',29.1,'minority'
'Salesman-Nonretail','Salesman-Nonretail','intact','white',40.5,'minority'
'Salesman-Nonretail','Proprietor','intact','white',1.7,'majority'
'Salesman-Nonretail','Clerk','intact','white',67.9,'minority'
'Salesman-Nonretail','Salesman-Retail','intact','white',26.3,'minority'
'Salesman-Nonretail','Craftsman-Manufacturing','intact','white',12.4,'minority'
'Salesman-Nonretail','Craftsmen-Other','intact','white',23.1,'minority'
'Salesman-Nonretail','Craftsman-Construction','intact','white',6.1,'majority'
'Salesman-Nonretail','Service_Worker','intact','white',9.5,'minority'
'Salesman-Nonretail','Operative-Nonmanufacturing','intact','white',26.7,'minority'
'Salesman-Nonretail','Operative-Manufacturing','intact','white',30.2,'minority'
'Salesman-Nonretail','Laborer-Manufacturing','intact','white',4.7,'majority'
'Salesman-Nonretail','Laborer-Nonmanufacturing','intact','white',18.9,'majority'
'Salesman-Nonretail','Farmer/Farm_Manager','intact','white',1.3,'majority'
'Salesman-Nonretail','Farm_Laborer','intact','white',4,'majority'
'Proprietor','Professional_Self-Employed','intact','white',16.2,'minority'
'Proprietor','Professional-Salaried','intact','white',165.7,'minority'
'Proprietor','Manager','intact','white',58.4,'minority'
'Proprietor','Salesman-Nonretail','intact','white',46,'minority'
'Proprietor','Proprietor','intact','white',29.1,'minority'
'Proprietor','Clerk','intact','white',97.1,'minority'
'Proprietor','Salesman-Retail','intact','white',76.1,'minority'
'Proprietor','Craftsman-Manufacturing','intact','white',29,'minority'
'Proprietor','Craftsmen-Other','intact','white',41.6,'minority'
'Proprietor','Craftsman-Construction','intact','white',30.8,'minority'
'Proprietor','Service_Worker','intact','white',23.6,'minority'
'Proprietor','Operative-Nonmanufacturing','intact','white',59.7,'minority'
'Proprietor','Operative-Manufacturing','intact','white',79.5,'minority'
'Proprietor','Laborer-Manufacturing','intact','white',19.1,'majority'
'Proprietor','Laborer-Nonmanufacturing','intact','white',54.5,'minority'
'Proprietor','Farmer/Farm_Manager','intact','white',11,'majority'
'Proprietor','Farm_Laborer','intact','white',11.5,'majority'
'Clerk','Professional_Self-Employed','intact','white',1.9,'majority'
'Clerk','Professional-Salaried','intact','white',154.3,'minority'
'Clerk','Manager','intact','white',32.7,'minority'
'Clerk','Salesman-Nonretail','intact','white',22.2,'minority'
'Clerk','Proprietor','intact','white',4.1,'majority'
'Clerk','Clerk','intact','white',110.3,'minority'
'Clerk','Salesman-Retail','intact','white',27.3,'majority'
'Clerk','Craftsman-Manufacturing','intact','white',16.6,'minority'
'Clerk','Craftsmen-Other','intact','white',36.9,'minority'
'Clerk','Craftsman-Construction','intact','white',9.8,'minority'
'Clerk','Service_Worker','intact','white',15.1,'minority'
'Clerk','Operative-Nonmanufacturing','intact','white',52,'minority'
'Clerk','Operative-Manufacturing','intact','white',63.2,'minority'
'Clerk','Laborer-Manufacturing','intact','white',19.6,'majority'
'Clerk','Laborer-Nonmanufacturing','intact','white',27.8,'minority'
'Clerk','Farmer/Farm_Manager','intact','white',2.3,'majority'
'Clerk','Farm_Laborer','intact','white',8.9,'majority'
'Salesman-Retail','Professional_Self-Employed','intact','white',4.7,'minority'
'Salesman-Retail','Professional-Salaried','intact','white',60,'minority'
