@relation aux
@attribute V1 {'1','2','3','4','5','6','7'}
@attribute V2 numeric
@attribute V3 numeric
@attribute V4 {'1','2','3'}
@attribute V5 {'1','2'}
@attribute V6 {'1','2'}
@attribute V7 {'1','2'}
@attribute V8 {'1','2'}
@attribute V9 {'1','2'}
@attribute V10 {'1','2','3','4'}
@attribute V11 {'1','2'}
@attribute V12 {'1','2'}
@attribute V13 {'1','2'}
@attribute V14 {'1','2'}
@attribute V15 {'1','2'}
@attribute V16 numeric
@attribute class {'minority','majority'}
@data
'2',2.88,2.16,'2','1','1','1','2','2','4','1','1','1','2','1',60,'majority'
'3',3.4,1.88,'1','1','1','1','1','1','2','1','1','1','2','1',51,'majority'
'3',2.76,2.08,'2','1','1','1','2','1','1','1','1','1','2','1',59,'majority'
'3',3.68,3.04,'1','1','1','1','1','1','1','1','1','1','1','1',54,'majority'
'3',2.44,0.96,'3','1','2','1','2','2','1','1','1','1','2','1',73,'minority'
'3',2.48,1.88,'2','1','1','1','2','1','1','1','1','1','1','1',51,'majority'
'3',4.36,3.28,'2','1','1','1','2','1','2','2','1','1','2','1',59,'minority'
'2',3.19,2.5,'2','1','1','1','2','1','1','1','1','2','2','1',66,'minority'
'3',3.16,2.64,'3','1','1','1','2','2','1','1','1','1','2','1',68,'majority'
'3',2.32,2.16,'2','1','1','1','2','1','1','1','1','1','2','1',54,'majority'
'3',2.56,2.32,'1','1','2','1','2','1','2','1','1','1','1','1',60,'majority'
'3',4.28,4.44,'2','1','1','1','1','1','2','1','1','1','2','1',58,'majority'
'3',3,2.36,'2','1','1','1','2','2','1','1','1','1','2','1',68,'majority'
'2',3.98,3.06,'3','1','1','1','2','2','4','1','1','1','2','1',80,'minority'
'3',1.96,1.4,'2','1','1','1','2','1','1','1','1','1','2','1',77,'majority'
'3',4.68,4.16,'2','1','1','1','2','1','2','1','1','1','2','1',62,'majority'
'2',2.21,1.88,'1','1','2','1','1','1','2','1','1','1','2','1',56,'majority'
'2',2.96,1.67,'1','1','1','1','1','1','2','1','1','1','2','1',61,'majority'
'3',2.6,1.68,'2','1','1','1','2','1','2','1','1','1','2','1',70,'majority'
'3',2.88,2.48,'1','1','1','1','1','1','1','1','1','1','2','1',71,'majority'
'3',4.48,3.48,'1','1','1','1','1','1','2','1','1','1','2','1',51,'majority'
'4',3.32,2.84,'1','1','1','1','1','1','2','1','1','1','2','1',62,'majority'
'3',2.36,1.68,'1','1','1','1','1','1','2','1','1','1','2','1',62,'majority'
'3',3.68,2.32,'1','1','1','1','1','1','1','1','1','1','2','1',62,'majority'
'7',4.32,3.2,'1','1','1','1','1','1','1','1','1','1','1','1',58,'minority'
'5',4.56,72.8,'1','2','2','1','2','1','2','1','1','1','2','1',57,'majority'
'3',3.24,3.08,'2','1','1','1','2','1','1','1','1','1','2','1',60,'majority'
'3',3.4,3.06,'2','1','1','1','2','2','1','1','1','1','2','1',68,'minority'
'3',3.16,2.69,'2','1','1','1','2','2','1','1','1','1','2','1',56,'majority'
'6',3.96,3.28,'1','1','1','1','1','1','1','1','1','1','2','1',61,'majority'
'3',3.24,2.4,'2','2','2','1','1','1','4','1','1','1','2','1',55,'minority'
'3',4.44,3.48,'2','1','1','1','2','1','2','1','1','1','1','1',52,'majority'
'5',2.48,1.95,'2','2','1','1','1','1','2','2','1','1','1','1',72,'majority'
'3',1.81,1.4,'2','1','1','1','2','1','2','2','1','1','1','1',68,'majority'
'2',2.76,2.2,'2','1','1','1','2','1','1','1','1','1','1','1',76,'majority'
'3',2.36,1.6,'1','1','1','1','1','1','1','1','1','1','2','1',58,'majority'
'3',2.2,1.96,'2','1','1','1','2','1','2','1','1','1','2','1',71,'majority'
'3',3.68,2.44,'2','1','2','2','1','1','2','2','1','1','1','1',61,'majority'
'3',4.2,3.08,'1','1','1','1','1','1','1','1','1','1','2','1',56,'majority'
'3',4.6,3.52,'2','1','1','1','2','1','1','1','1','1','2','1',52,'majority'
'5',3.8,2.98,'2','1','1','1','2','1','1','1','1','1','2','1',60,'minority'
'2',3.24,2.52,'2','1','1','1','2','1','2','1','1','1','2','1',63,'minority'
'3',3.2,2.82,'2','1','1','1','2','1','2','1','1','1','2','1',68,'majority'
'5',2.68,2.12,'1','1','1','1','2','1','2','1','1','1','2','1',51,'minority'
'3',3.56,2.68,'2','2','1','1','2','1','2','1','1','1','2','1',60,'majority'
'3',2.48,2.08,'1','1','1','1','1','1','1','1','1','1','2','1',60,'majority'
'3',4.16,3.28,'2','1','1','1','2','1','2','1','1','1','2','1',67,'majority'
'3',2.64,2.12,'2','1','1','1','2','1','2','1','1','1','2','1',72,'minority'
'3',4.44,3.12,'3','1','1','1','2','2','2','1','1','1','2','1',59,'majority'
'3',4.56,3.92,'1','1','1','1','1','1','2','1','1','1','1','1',55,'majority'
'3',2.52,1.96,'2','1','1','1','2','1','2','1','1','1','1','1',79,'majority'
'3',4,2.88,'2','1','1','1','2','1','1','1','1','1','2','1',69,'majority'
'3',3.2,2.52,'3','2','2','2','2','1','2','1','1','1','2','1',68,'majority'
'4',3.76,2.52,'2','1','1','1','2','1','2','1','1','1','2','1',75,'majority'
'3',3.68,3.08,'2','1','1','1','2','1','2','1','1','1','2','1',63,'majority'
'4',3.28,2.36,'2','1','1','1','2','1','2','1','1','1','2','1',65,'majority'
'3',3.72,2.88,'2','1','1','2','2','1','1','1','1','1','1','1',37,'majority'
'3',3.4,2.8,'2','2','1','1','2','2','1','2','1','1','2','1',64,'minority'
'4',5.12,4.28,'1','1','1','1','1','1','2','1','1','1','2','1',62,'majority'
'3',3.84,3.72,'1','1','1','1','1','1','2','1','1','1','2','1',58,'majority'
'3',3.52,2.28,'1','1','1','1','1','1','3','1','1','1','2','1',51,'minority'
'3',3.04,2.04,'3','1','1','1','2','2','2','1','1','1','2','1',77,'majority'
'3',4.96,3.6,'1','1','1','1','1','1','1','1','1','1','2','1',56,'majority'
'3',3.72,2.84,'1','1','1','1','1','1','1','2','1','1','1','1',55,'majority'
'2',3.15,2.76,'2','1','2','1','2','1','2','1','1','1','2','1',59,'majority'
'3',2.88,2.6,'2','1','1','1','2','1','2','1','1','1','1','1',54,'majority'
'3',2.36,2,'1','1','1','1','1','1','1','1','1','1','1','1',39,'majority'
'4',2.32,1.76,'2','1','2','1','2','2','1','1','1','1','2','1',62,'minority'
'3',2.72,2.2,'2','1','1','1','2','1','2','1','1','1','2','1',61,'majority'
