@relation aux
@attribute top.left.square {'b','o','x'}
@attribute top.middle.square {'b','o','x'}
@attribute top.right.square {'b','o','x'}
@attribute middle.left.square {'b','o','x'}
@attribute middle.middle.square {'b','o','x'}
@attribute middle.right.square {'b','o','x'}
@attribute bottom.left.square {'b','o','x'}
@attribute bottom.middle.square {'b','o','x'}
@attribute bottom.right.square {'b','o','x'}
@attribute class {'minority','majority'}
@data
'x','x','x','x','o','o','x','o','o','majority'
'x','x','x','x','o','o','o','x','o','majority'
'x','x','x','x','o','o','o','o','x','majority'
'x','x','x','x','o','o','o','b','b','majority'
'x','x','x','x','o','o','b','o','b','majority'
'x','x','x','x','o','o','b','b','o','majority'
'x','x','x','x','o','b','o','o','b','majority'
'x','x','x','x','o','b','o','b','o','majority'
'x','x','x','x','o','b','b','o','o','majority'
'x','x','x','x','b','o','o','o','b','majority'
'x','x','x','x','b','o','o','b','o','majority'
'x','x','x','x','b','o','b','o','o','majority'
'x','x','x','o','x','o','x','o','o','majority'
'x','x','x','o','x','o','o','x','o','majority'
'x','x','x','o','x','o','o','o','x','majority'
'x','x','x','o','x','o','o','b','b','majority'
'x','x','x','o','x','o','b','o','b','majority'
'x','x','x','o','x','o','b','b','o','majority'
'x','x','x','o','x','b','o','o','b','majority'
'x','x','x','o','x','b','o','b','o','majority'
'x','x','x','o','x','b','b','o','o','majority'
'x','x','x','o','o','x','x','o','o','majority'
'x','x','x','o','o','x','o','x','o','majority'
'x','x','x','o','o','x','o','o','x','majority'
'x','x','x','o','o','x','o','b','b','majority'
'x','x','x','o','o','x','b','o','b','majority'
'x','x','x','o','o','x','b','b','o','majority'
'x','x','x','o','o','b','x','o','b','majority'
'x','x','x','o','o','b','x','b','o','majority'
'x','x','x','o','o','b','o','x','b','majority'
'x','x','x','o','o','b','o','b','x','majority'
'x','x','x','o','o','b','b','x','o','majority'
'x','x','x','o','o','b','b','o','x','majority'
'x','x','x','o','o','b','b','b','b','majority'
'x','x','x','o','b','x','o','o','b','majority'
'x','x','x','o','b','x','o','b','o','majority'
'x','x','x','o','b','x','b','o','o','majority'
'x','x','x','o','b','o','x','o','b','majority'
'x','x','x','o','b','o','x','b','o','majority'
'x','x','x','o','b','o','o','x','b','majority'
'x','x','x','o','b','o','o','b','x','majority'
'x','x','x','o','b','o','b','x','o','majority'
'x','x','x','o','b','o','b','o','x','majority'
'x','x','x','o','b','o','b','b','b','majority'
'x','x','x','o','b','b','x','o','o','majority'
'x','x','x','o','b','b','o','x','o','majority'
'x','x','x','o','b','b','o','o','x','majority'
'x','x','x','o','b','b','o','b','b','majority'
'x','x','x','o','b','b','b','o','b','majority'
'x','x','x','o','b','b','b','b','o','majority'
'x','x','x','b','x','o','o','o','b','majority'
'x','x','x','b','x','o','o','b','o','majority'
'x','x','x','b','x','o','b','o','o','majority'
'x','x','x','b','o','x','o','o','b','majority'
'x','x','x','b','o','x','o','b','o','majority'
'x','x','x','b','o','x','b','o','o','majority'
'x','x','x','b','o','o','x','o','b','majority'
'x','x','x','b','o','o','x','b','o','majority'
'x','x','x','b','o','o','o','x','b','majority'
'x','x','x','b','o','o','o','b','x','majority'
'x','x','x','b','o','o','b','x','o','majority'
'x','x','x','b','o','o','b','o','x','majority'
'x','x','x','b','o','o','b','b','b','majority'
'x','x','x','b','o','b','x','o','o','majority'
'x','x','x','b','o','b','o','x','o','majority'
'x','x','x','b','o','b','o','o','x','majority'
'x','x','x','b','o','b','o','b','b','majority'
'x','x','x','b','o','b','b','o','b','majority'
'x','x','x','b','o','b','b','b','o','majority'
'x','x','x','b','b','o','x','o','o','majority'
'x','x','x','b','b','o','o','x','o','majority'
'x','x','x','b','b','o','o','o','x','majority'
'x','x','x','b','b','o','o','b','b','majority'
'x','x','x','b','b','o','b','o','b','majority'
'x','x','x','b','b','o','b','b','o','majority'
'x','x','x','b','b','b','o','o','b','majority'
'x','x','x','b','b','b','o','b','o','majority'
'x','x','x','b','b','b','b','o','o','majority'
'x','x','o','x','x','o','o','o','x','majority'
'x','x','o','x','o','x','x','o','o','majority'
'x','x','o','x','o','o','x','o','x','majority'
'x','x','o','x','o','o','x','b','b','majority'
'x','x','o','x','o','b','x','o','b','majority'
'x','x','o','x','o','b','x','b','o','majority'
'x','x','o','x','b','o','x','o','b','majority'
'x','x','o','x','b','b','x','o','o','majority'
'x','x','o','o','x','x','o','x','o','majority'
'x','x','o','o','x','x','o','o','x','majority'
'x','x','o','o','x','o','x','o','x','majority'
'x','x','o','o','x','o','o','x','x','majority'
'x','x','o','o','x','o','b','x','b','majority'
'x','x','o','o','x','o','b','b','x','majority'
'x','x','o','o','x','b','o','x','b','majority'
'x','x','o','o','x','b','o','b','x','majority'
'x','x','o','o','x','b','b','x','o','majority'
'x','x','o','o','x','b','b','o','x','majority'
'x','x','o','b','x','o','o','x','b','majority'
'x','x','o','b','x','o','o','b','x','majority'
'x','x','o','b','x','o','b','o','x','majority'
'x','x','o','b','x','b','o','x','o','majority'
'x','x','o','b','x','b','o','o','x','majority'
'x','x','b','x','o','o','x','o','b','majority'
'x','x','b','x','o','o','x','b','o','majority'
'x','x','b','x','o','b','x','o','o','majority'
'x','x','b','x','b','o','x','o','o','majority'
'x','x','b','o','x','o','o','x','b','majority'
'x','x','b','o','x','o','o','b','x','majority'
'x','x','b','o','x','o','b','x','o','majority'
'x','x','b','o','x','o','b','o','x','majority'
'x','x','b','o','x','b','o','x','o','majority'
'x','x','b','o','x','b','o','o','x','majority'
'x','x','b','b','x','o','o','x','o','majority'
'x','x','b','b','x','o','o','o','x','majority'
'x','o','x','x','x','o','x','o','o','majority'
'x','o','x','x','x','o','o','o','x','majority'
'x','o','x','x','o','o','x','x','o','majority'
'x','o','x','x','o','o','x','b','b','majority'
'x','o','x','x','o','b','x','b','o','majority'
'x','o','x','x','b','o','x','o','b','majority'
'x','o','x','x','b','o','x','b','o','majority'
'x','o','x','x','b','b','x','o','o','majority'
'x','o','x','o','x','x','x','o','o','majority'
'x','o','x','o','x','x','o','o','x','majority'
'x','o','x','o','x','o','x','x','o','majority'
'x','o','x','o','x','o','x','o','x','majority'
'x','o','x','o','x','o','x','b','b','majority'
'x','o','x','o','x','o','o','x','x','majority'
'x','o','x','o','x','o','b','b','x','majority'
'x','o','x','o','x','b','x','o','b','majority'
'x','o','x','o','x','b','x','b','o','majority'
'x','o','x','o','x','b','o','b','x','majority'
'x','o','x','o','x','b','b','o','x','majority'
'x','o','x','o','o','x','o','x','x','majority'
'x','o','x','o','o','x','b','b','x','majority'
'x','o','x','o','b','x','o','b','x','majority'
'x','o','x','o','b','x','b','o','x','majority'
'x','o','x','b','x','o','x','o','b','majority'
'x','o','x','b','x','o','x','b','o','majority'
'x','o','x','b','x','o','o','b','x','majority'
'x','o','x','b','x','o','b','o','x','majority'
'x','o','x','b','x','b','x','o','o','majority'
'x','o','x','b','x','b','o','o','x','majority'
'x','o','x','b','o','x','o','b','x','majority'
'x','o','x','b','b','x','o','o','x','majority'
'x','o','o','x','x','x','x','o','o','majority'
'x','o','o','x','x','x','o','x','o','majority'
'x','o','o','x','x','x','o','o','x','majority'
'x','o','o','x','x','x','o','b','b','majority'
'x','o','o','x','x','x','b','o','b','majority'
'x','o','o','x','x','x','b','b','o','majority'
'x','o','o','x','x','o','x','o','x','majority'
'x','o','o','x','x','o','x','b','b','majority'
'x','o','o','x','x','o','o','x','x','majority'
'x','o','o','x','x','o','b','b','x','majority'
'x','o','o','x','x','b','x','o','b','majority'
'x','o','o','x','x','b','x','b','o','majority'
'x','o','o','x','x','b','o','b','x','majority'
'x','o','o','x','x','b','b','o','x','majority'
'x','o','o','x','o','x','x','x','o','majority'
'x','o','o','x','o','x','x','b','b','majority'
'x','o','o','x','o','o','x','x','x','majority'
'x','o','o','x','o','b','x','x','b','majority'
'x','o','o','x','o','b','x','b','x','majority'
'x','o','o','x','b','x','x','o','b','majority'
'x','o','o','x','b','x','x','b','o','majority'
'x','o','o','x','b','o','x','x','b','majority'
'x','o','o','x','b','o','x','b','x','majority'
'x','o','o','x','b','b','x','x','o','majority'
'x','o','o','x','b','b','x','o','x','majority'
'x','o','o','x','b','b','x','b','b','majority'
'x','o','o','o','x','x','x','o','x','majority'
'x','o','o','o','x','x','o','x','x','majority'
'x','o','o','o','x','x','b','b','x','majority'
'x','o','o','o','x','o','x','x','x','majority'
'x','o','o','o','x','b','x','b','x','majority'
'x','o','o','o','x','b','b','x','x','majority'
'x','o','o','o','o','x','x','x','x','majority'
'x','o','o','o','b','b','x','x','x','majority'
'x','o','o','b','x','x','o','b','x','majority'
'x','o','o','b','x','x','b','o','x','majority'
'x','o','o','b','x','o','x','b','x','majority'
'x','o','o','b','x','o','b','x','x','majority'
'x','o','o','b','x','b','x','o','x','majority'
'x','o','o','b','x','b','o','x','x','majority'
'x','o','o','b','x','b','b','b','x','majority'
'x','o','o','b','o','b','x','x','x','majority'
'x','o','o','b','b','o','x','x','x','majority'
'x','o','b','x','x','x','o','o','b','majority'
'x','o','b','x','x','x','o','b','o','majority'
'x','o','b','x','x','x','b','o','o','majority'
'x','o','b','x','x','o','x','o','b','majority'
'x','o','b','x','x','o','x','b','o','majority'
'x','o','b','x','x','o','o','b','x','majority'
'x','o','b','x','x','o','b','o','x','majority'
'x','o','b','x','x','b','x','o','o','majority'
'x','o','b','x','x','b','o','o','x','majority'
'x','o','b','x','o','x','x','b','o','majority'
'x','o','b','x','o','o','x','x','b','majority'
