@relation aux
@attribute year numeric
@attribute field_goals numeric
@attribute class {'minority','majority'}
@data
85,3,'minority'
85,7,'majority'
85,5,'minority'
85,12,'majority'
85,7,'majority'
85,0,'minority'
85,2,'minority'
85,2,'minority'
85,2,'minority'
85,4,'minority'
85,1,'minority'
85,11,'majority'
85,5,'majority'
85,14,'majority'
85,3,'minority'
85,10,'majority'
85,10,'majority'
85,4,'minority'
85,3,'minority'
85,10,'majority'
85,8,'majority'
85,2,'minority'
85,7,'majority'
85,6,'minority'
85,9,'majority'
85,2,'minority'
85,11,'majority'
85,3,'minority'
85,4,'minority'
85,1,'minority'
85,6,'majority'
85,2,'minority'
85,4,'minority'
85,7,'majority'
85,7,'majority'
85,8,'majority'
85,7,'majority'
85,11,'majority'
85,6,'majority'
85,7,'majority'
85,5,'minority'
85,8,'majority'
85,10,'majority'
85,4,'majority'
85,5,'minority'
85,6,'minority'
85,5,'majority'
85,4,'majority'
85,6,'minority'
85,11,'majority'
85,12,'majority'
85,3,'minority'
85,7,'minority'
85,5,'minority'
85,11,'majority'
85,1,'minority'
85,6,'majority'
85,4,'minority'
85,5,'minority'
85,7,'majority'
85,3,'minority'
85,6,'majority'
85,5,'minority'
85,6,'minority'
85,6,'majority'
85,2,'minority'
85,4,'minority'
85,1,'minority'
85,9,'majority'
85,10,'majority'
85,5,'minority'
85,8,'majority'
85,3,'majority'
85,8,'majority'
85,3,'minority'
85,7,'minority'
85,9,'majority'
85,10,'majority'
85,2,'minority'
85,8,'majority'
85,9,'majority'
85,4,'minority'
85,1,'minority'
86,7,'majority'
86,5,'majority'
86,11,'majority'
86,9,'majority'
86,6,'majority'
86,7,'majority'
86,9,'majority'
86,1,'minority'
86,9,'majority'
86,10,'majority'
86,11,'majority'
86,6,'minority'
86,9,'majority'
86,5,'minority'
86,9,'majority'
86,10,'majority'
86,6,'majority'
86,12,'majority'
86,4,'minority'
86,7,'majority'
86,7,'majority'
86,5,'minority'
86,10,'majority'
86,3,'minority'
86,6,'majority'
86,7,'majority'
86,5,'majority'
86,5,'majority'
86,3,'minority'
86,8,'majority'
86,8,'majority'
86,10,'majority'
86,8,'majority'
86,7,'majority'
86,3,'minority'
86,3,'majority'
86,8,'minority'
86,7,'majority'
86,8,'majority'
86,6,'minority'
86,3,'minority'
86,11,'majority'
86,9,'majority'
86,10,'majority'
86,8,'majority'
86,6,'majority'
86,2,'minority'
86,5,'majority'
86,6,'majority'
86,4,'minority'
86,4,'minority'
86,7,'majority'
86,1,'minority'
86,13,'majority'
86,7,'majority'
86,10,'majority'
86,8,'majority'
86,4,'minority'
86,2,'minority'
86,12,'majority'
86,3,'minority'
86,6,'majority'
86,7,'majority'
86,3,'minority'
86,7,'majority'
86,15,'majority'
86,3,'minority'
86,9,'majority'
86,10,'majority'
86,7,'majority'
86,4,'minority'
86,7,'majority'
86,7,'majority'
86,7,'majority'
86,9,'majority'
86,6,'majority'
86,7,'majority'
86,4,'majority'
86,6,'majority'
86,6,'majority'
86,8,'majority'
86,5,'majority'
86,6,'majority'
86,2,'minority'
86,2,'minority'
86,6,'majority'
86,7,'majority'
86,7,'minority'
86,6,'majority'
86,12,'majority'
86,8,'majority'
86,9,'majority'
86,5,'minority'
87,6,'majority'
87,6,'majority'
87,5,'majority'
87,13,'majority'
87,6,'majority'
87,9,'majority'
87,9,'majority'
87,2,'minority'
87,9,'majority'
87,8,'majority'
87,6,'minority'
87,4,'majority'
87,9,'majority'
87,6,'minority'
87,7,'majority'
87,4,'minority'
87,0,'minority'
87,5,'minority'
87,2,'minority'
87,4,'minority'
87,3,'minority'
87,1,'minority'
87,2,'minority'
87,3,'minority'
87,12,'majority'
87,7,'majority'
87,4,'majority'
87,8,'majority'
87,9,'majority'
87,3,'minority'
87,10,'majority'
87,6,'minority'
87,8,'majority'
87,3,'minority'
87,9,'majority'
87,7,'majority'
87,9,'majority'
87,1,'minority'
87,2,'minority'
87,2,'minority'
87,0,'minority'
87,7,'majority'
87,5,'majority'
87,5,'minority'
87,4,'minority'
87,2,'minority'
87,10,'majority'
87,5,'majority'
87,1,'minority'
87,7,'majority'
87,6,'majority'
87,3,'minority'
87,0,'minority'
87,8,'majority'
87,3,'minority'
87,5,'minority'
87,0,'minority'
87,6,'minority'
87,3,'minority'
87,6,'majority'
87,3,'minority'
87,7,'majority'
87,5,'minority'
87,4,'minority'
87,1,'minority'
87,0,'minority'
87,1,'minority'
87,9,'majority'
87,5,'minority'
87,7,'majority'
87,4,'minority'
87,3,'minority'
87,4,'minority'
87,6,'minority'
87,4,'minority'
87,7,'minority'
87,6,'minority'
87,7,'minority'
87,6,'minority'
87,4,'minority'
87,8,'majority'
87,9,'majority'
87,0,'minority'
87,2,'minority'
87,3,'minority'
87,3,'minority'
87,4,'minority'
87,4,'majority'
87,2,'minority'
87,9,'majority'
87,7,'minority'
87,3,'minority'
87,5,'minority'
87,9,'majority'
87,5,'minority'
87,1,'minority'
87,0,'minority'
87,10,'majority'
87,7,'minority'
87,3,'majority'
87,3,'minority'
87,6,'minority'
87,8,'majority'
87,2,'minority'
87,5,'majority'
88,4,'minority'
88,1,'minority'
88,8,'majority'
88,7,'minority'
88,3,'minority'
88,1,'minority'
88,3,'minority'
88,2,'minority'
88,2,'minority'
88,6,'majority'
88,6,'minority'
88,4,'minority'
88,8,'majority'
88,5,'majority'
88,5,'minority'
88,1,'minority'
88,7,'majority'
88,0,'minority'
88,4,'minority'
88,3,'minority'
88,2,'minority'
88,3,'minority'
88,7,'majority'
88,9,'majority'
88,8,'majority'
88,5,'majority'
88,2,'minority'
88,9,'majority'
88,9,'majority'
88,4,'minority'
88,2,'minority'
88,7,'majority'
88,5,'minority'
88,7,'minority'
88,7,'minority'
88,7,'minority'
88,9,'majority'
88,8,'majority'
88,10,'majority'
88,10,'majority'
88,4,'majority'
88,9,'majority'
88,10,'majority'
88,9,'majority'
88,4,'minority'
88,8,'majority'
88,1,'minority'
88,9,'majority'
88,9,'majority'
88,3,'minority'
88,3,'minority'
88,3,'minority'
88,13,'majority'
88,6,'minority'
88,7,'minority'
88,4,'minority'
88,4,'minority'
88,3,'minority'
88,4,'minority'
88,9,'minority'
88,12,'majority'
88,6,'majority'
88,0,'minority'
88,2,'minority'
88,5,'minority'
88,4,'majority'
88,0,'minority'
88,10,'majority'
88,1,'minority'
88,10,'majority'
88,4,'majority'
88,6,'majority'
88,11,'majority'
88,9,'majority'
88,7,'minority'
88,13,'majority'
88,3,'minority'
88,5,'minority'
88,4,'minority'
88,7,'majority'
88,1,'minority'
88,10,'majority'
88,1,'minority'
88,5,'minority'
88,10,'majority'
88,5,'minority'
88,7,'majority'
88,5,'minority'
88,1,'minority'
88,3,'minority'
88,4,'minority'
88,6,'majority'
88,3,'minority'
88,8,'majority'
88,3,'majority'
88,9,'majority'
88,8,'majority'
88,8,'minority'
88,5,'minority'
