@relation aux
@attribute animal {'aardvark','antelope','bass','bear','boar','buffalo','calf','carp','catfish','cavy','cheetah','chicken','chub','clam','crab','crayfish','crow','deer','dogfish','dolphin','dove','duck','elephant','flamingo','flea','frog','fruitbat','giraffe','girl','gnat','goat','gorilla','gull','haddock','hamster','hare','hawk','herring','honeybee','housefly','kiwi','ladybird','lark','leopard','lion','lobster','lynx','mink','mole','mongoose','moth','newt','octopus','opossum','oryx','ostrich','parakeet','penguin','pheasant','pike','piranha','pitviper','platypus','polecat','pony','porpoise','puma','pussycat','raccoon','reindeer','rhea','scorpion','seahorse','seal','sealion','seasnake','seawasp','skimmer','skua','slowworm','slug','sole','sparrow','squirrel','starfish','stingray','swan','termite','toad','tortoise','tuatara','tuna','vampire','vole','vulture','wallaby','wasp','wolf','worm','wren'}
@attribute hair {'false','true'}
@attribute feathers {'false','true'}
@attribute eggs {'false','true'}
@attribute milk {'false','true'}
@attribute airborne {'false','true'}
@attribute aquatic {'false','true'}
@attribute predator {'false','true'}
@attribute toothed {'false','true'}
@attribute backbone {'false','true'}
@attribute breathes {'false','true'}
@attribute venomous {'false','true'}
@attribute fins {'false','true'}
@attribute legs numeric
@attribute tail {'false','true'}
@attribute domestic {'false','true'}
@attribute catsize {'false','true'}
@attribute class {'minority','majority'}
@data
'aardvark','true','false','false','true','false','false','true','true','true','true','false','false',4,'false','false','true','minority'
'antelope','true','false','false','true','false','false','false','true','true','true','false','false',4,'true','false','true','minority'
'bass','false','false','true','false','false','true','true','true','true','false','false','true',0,'true','false','false','majority'
'bear','true','false','false','true','false','false','true','true','true','true','false','false',4,'false','false','true','minority'
'boar','true','false','false','true','false','false','true','true','true','true','false','false',4,'true','false','true','minority'
'buffalo','true','false','false','true','false','false','false','true','true','true','false','false',4,'true','false','true','minority'
'calf','true','false','false','true','false','false','false','true','true','true','false','false',4,'true','true','true','minority'
'carp','false','false','true','false','false','true','false','true','true','false','false','true',0,'true','true','false','majority'
'catfish','false','false','true','false','false','true','true','true','true','false','false','true',0,'true','false','false','majority'
'cavy','true','false','false','true','false','false','false','true','true','true','false','false',4,'false','true','false','minority'
'cheetah','true','false','false','true','false','false','true','true','true','true','false','false',4,'true','false','true','minority'
'chicken','false','true','true','false','true','false','false','false','true','true','false','false',2,'true','true','false','majority'
'chub','false','false','true','false','false','true','true','true','true','false','false','true',0,'true','false','false','majority'
'clam','false','false','true','false','false','false','true','false','false','false','false','false',0,'false','false','false','majority'
'crab','false','false','true','false','false','true','true','false','false','false','false','false',4,'false','false','false','majority'
