"","file","size.majority","size.minority","perc.size.majority","perc.size.minority","DIT","N1.minority","N3.minority","L2.minority","L3.minority","CM.minority","wCM9.minority","wCM11.minority","dwCM9.minority","dwCM11.minority","SVM.acc","SVM.acc_majority","SVM.acc_minority","SVM.gmean","RF.acc","RF.acc_majority","RF.acc_minority","RF.gmean","knn.acc","knn.acc_majority","knn.acc_minority","knn.gmean","NaiveBayes.acc","NaiveBayes.acc_majority","NaiveBayes.acc_minority","NaiveBayes.gmean","J48.acc","J48.acc_majority","J48.acc_minority","J48.gmean","MLP.acc","MLP.acc_majority","MLP.acc_minority","MLP.gmean"
"1","acute-inflammations.arff.preproc.gz",61,59,0.508333333333333,0.491666666666667,"None",0.0665248226950354,0,0,0.222754973774643,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0.999166666666667,1,0.998333333333333,0.999148542155127,1,1,1,1,1,1,1,1
"2","analcatdata_apnea2.arff.preproc.gz",411,64,0.865263157894737,0.134736842105263,"None",0.46921568627451,0.310218702865762,0.0988612368024132,0.141855802689988,0.273054298642534,0.226644042232277,0.202828054298643,0.234856711915536,0.212978883861237,0.929284294512878,0.967155451072583,0.685641025641025,0.806904014377777,0.930536394176932,0.9713047311196,0.668205128205128,0.800964130050221,0.934124346771183,0.965703790772847,0.731153846153846,0.837574952607419,0.929284434490481,0.968612988539524,0.677179487179487,0.803218204986205,0.933286814109742,0.961563326476638,0.752179487179487,0.844360793657271,0.935810983575961,0.963273582133412,0.759871794871795,0.851407474451805
"3","analcatdata_asbestos.arff.preproc.gz",46,37,0.55421686746988,0.44578313253012,"None",0.508183908045977,0.254781609195402,0.132390804597701,0.148796298229134,0.281011494252874,0.265655172413793,0.268850574712644,0.244712643678161,0.244620689655172,0.762156862745098,0.801333333333333,0.713928571428571,0.750277601934472,0.771593137254902,0.750444444444445,0.7975,0.767016133175004,0.802696078431373,0.828666666666667,0.771428571428571,0.79290615053489,0.790964052287582,0.755111111111111,0.835714285714286,0.789024233793644,0.742883986928105,0.739555555555556,0.7475,0.734329909561509,0.773415032679739,0.781555555555556,0.762142857142857,0.764817896791048
"4","analcatdata_authorship.arff.preproc.gz",524,317,0.623067776456599,0.376932223543401,"None",0.0166415611092092,0.00638915688898571,0,0,0.00173477327191809,0.00118296971771809,0.00165634434035666,0.00118296971771809,0.00141950141607793,0.997387258450133,0.998093406593407,0.996225198412698,0.997151288166633,0.994295500292737,0.997331501831502,0.989290674603175,0.993290136438014,0.995721992194816,0.994851648351649,0.997157738095238,0.995993317602057,0.989416602129638,0.990655677655678,0.987366071428571,0.98897716916205,0.951017964071856,0.96451282051282,0.92875496031746,0.946322395707052,0.994769594370009,0.995040293040293,0.994325396825397,0.994667771133144
"5","analcatdata_boxing1.arff.preproc.gz",78,42,0.65,0.35,"None",0.542959001782531,0.469144385026738,0.231711229946524,0.305580303852415,0.596791443850267,0.598484848484849,0.635918003565062,0.598484848484849,0.635918003565062,0.661117391304348,1,0.0316666666666667,0.0865685424949238,0.813571014492754,0.8995,0.653611111111111,0.760793743670799,0.611059420289855,0.86825,0.133888888888889,0.24979612284174,0.82041884057971,0.902083333333333,0.668055555555556,0.770110887603822,0.860389855072464,0.950416666666667,0.693333333333333,0.806143641572085,0.822991304347826,0.865,0.744722222222222,0.797952003473138
"6","analcatdata_challenger.arff.preproc.gz",129,9,0.934782608695652,0.0652173913043478,"None",0.908214285714286,0.816428571428571,1,1,1,1,1,1,1,0.935164835164836,1,0,0,0.935164835164836,1,0,0,0.930879120879121,0.995384615384615,0,0,0.919285714285715,0.979876923076923,0.05,0.060918252163262,0.935164835164836,1,0,0,0.933736263736264,0.998461538461539,0,0
"7","analcatdata_creditscore.arff.preproc.gz",73,27,0.73,0.27,"None",0.7,0.555887445887446,0.141082251082251,0.223007227691827,0.67987012987013,0.666103896103896,0.7095670995671,0.65961038961039,0.693722943722944,0.737661654135338,0.975619047619048,0.0933333333333334,0.186225209261618,0.990080200501253,0.986380952380952,1,0.993070296330667,0.751097744360902,0.929428571428571,0.268666666666667,0.442198659036097,0.923854636591479,0.898666666666667,0.992666666666667,0.942920873747294,0.990080200501253,0.986380952380952,1,0.993070296330667,0.834478696741855,0.897142857142857,0.666,0.743694074737891
"8","analcatdata_cyyoung8092.arff.preproc.gz",73,24,0.752577319587629,0.247422680412371,"None",0.826052631578947,0.732473684210526,0.379368421052632,0.353360647791028,0.802578947368421,0.813052631578947,0.837894736842105,0.78078947368421,0.822315789473684,0.809444444444444,0.96847619047619,0.326,0.541284726875092,0.823818713450292,0.924952380952381,0.515,0.657354250032016,0.768853801169591,0.916190476190476,0.32,0.512898335651984,0.683245614035088,0.635904761904762,0.827,0.718135647597931,0.797502923976608,0.886095238095238,0.529,0.651594227050993,0.787046783625731,0.861619047619048,0.559,0.671005493276221
"9","analcatdata_cyyoung9302.arff.preproc.gz",73,19,0.793478260869565,0.206521739130435,"None",0.955,0.951,0.20275,0.280997359002838,0.871166666666667,0.912,0.90925,0.925333333333333,0.92525,0.869920880632955,0.956761904761905,0.533333333333333,0.68295565894044,0.863181974544204,0.951333333333333,0.52,0.666418365363312,0.846845545235638,0.952571428571429,0.44,0.591762223834273,0.682635018919849,0.632285714285714,0.881666666666667,0.739183756607205,0.818111455108359,0.895428571428571,0.523333333333333,0.653023517419131,0.834513243894049,0.903809523809524,0.565,0.692215426602986
"10","analcatdata_fraud.arff.preproc.gz",29,13,0.69047619047619,0.30952380952381,"None",0.803636363636364,0.699818181818182,0.144,0.222230201171378,0.763090909090909,0.798,0.823090909090909,0.757636363636364,0.777272727272727,0.692857142857143,1,0,0,0.723095238095238,0.879333333333333,0.366666666666667,0.468620410724193,0.657539682539683,0.855333333333333,0.206666666666667,0.285040256061484,0.747222222222222,0.844666666666667,0.516666666666667,0.572887738634085,0.674642857142857,0.721333333333333,0.583333333333333,0.494227278933566,0.699365079365079,0.788,0.493333333333333,0.557755367269808
"11","analcatdata_lawsuit.arff.preproc.gz",245,19,0.928030303030303,0.071969696969697,"None",0.449166666666667,0.233333333333333,0.120333333333333,0.0611924349459001,0.243833333333333,0.321583333333333,0.383416666666667,0.289833333333333,0.329416666666667,0.96099419448476,0.988163265306123,0.61,0.758408921551274,0.983730043541364,0.990204081632653,0.9,0.941433756367464,0.96288824383164,0.985714285714286,0.668333333333333,0.79114787512178,0.962902757619739,0.981224489795918,0.726666666666667,0.835075228498451,0.980696661828737,0.986938775510204,0.898333333333333,0.937904040404685,0.979150943396226,0.990612244897959,0.828333333333333,0.895986759133742
